Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
1298,838373821090496516,3,1,2017-03-05 13:01:09,Feux allumés rime avec conduite éclairée! ÊtreVU D,['#VOIRet'],"['https://t.co/JilTJpnfKS', 'https://t.co/pnuyXRgeo']",Feux rime avec conduite treVU,"['Feux', 'rime', 'avec', 'conduite', 'treVU']","[u'feux', u'rime', u'avec', u'conduit', u'trevu']"
1299,838132070341816322,2,0,2017-03-04 21:00:31,: éhicules Ford et Lincoln. Problème d’assemblage: certains coussins gonflables côté conducteur.,"['#Rappel', '#V']","['https://t.co/GHHi6zYqP4', 'https://t.co/G21NUbV2gx']",hicules Ford et Lincoln assemblage certains coussins gonflables conducteur,"['hicules', 'Ford', 'et', 'Lincoln', 'assemblage', 'certains', 'coussins', 'gonflables', 'conducteur']","[u'hicul', u'ford', 'et', u'lincoln', u'assemblag', u'certain', u'coussin', u'gonflabl', u'conducteur']"
1300,838069115084500993,1,0,2017-03-04 16:50:22,"? En , a assuré le transport d’environ ,82 millions de . 2","['#LSV', '#Canadiens']","['https://t.co/ZpgBrVPjjN', 'https://t.co/tLZ21MGCH']",En le transport environ 82 millions de,"['En', 'le', 'transport', 'environ', '82', 'millions', 'de']","['en', 'le', u'transport', u'environ', '82', u'million', 'de']"
1301,837830211118968832,1,1,2017-03-04 01:01:03,Vous irez au ce weekend! Vivez pleinement ce moment! Laissez votre à la maison.,"['#drone', '#DronesInterdits']",['https://t.co/aOgSD7oXWe'],Vous irez au ce weekend Vivez pleinement ce moment Laissez votre la maison,"['Vous', 'irez', 'au', 'ce', 'weekend', 'Vivez', 'pleinement', 'ce', 'moment', 'Laissez', 'votre', 'la', 'maison']","[u'vous', u'irez', 'au', 'ce', u'weekend', u'vivez', u'pleinement', 'ce', u'moment', u'laissez', u'votr', 'la', u'maison']"
1302,837769639597867008,0,0,2017-03-03 21:00:21,: VUTT Polaris. Erreur de production possible: friction excessive des freins avant et risque d’incendie.,['#Rappel'],"['https://t.co/1JGBqwyEGl', 'https://t.co/wFxa9QUhyk']",VUTT Polaris Erreur de production possible friction excessive des freins avant et risque incendie,"['VUTT', 'Polaris', 'Erreur', 'de', 'production', 'possible', 'friction', 'excessive', 'des', 'freins', 'avant', 'et', 'risque', 'incendie']","[u'vutt', u'polari', u'erreur', 'de', u'product', u'possibl', u'friction', u'excess', u'des', u'frein', u'avant', 'et', u'risqu', u'incendi']"
1303,837729999826350081,1,0,2017-03-03 18:22:50,: Materiel de Sensibilisation offre de précieuses ressources pour tout le monde. Découvrez-les sur ht…,['#TMD'],[],Materiel de Sensibilisation offre de cieuses ressources pour tout le monde couvrez les sur,"['Materiel', 'de', 'Sensibilisation', 'offre', 'de', 'cieuses', 'ressources', 'pour', 'tout', 'le', 'monde', 'couvrez', 'les', 'sur']","[u'materiel', 'de', u'sensibilis', u'offr', 'de', u'cieus', u'ressourc', u'pour', u'tout', 'le', u'mond', u'couvrez', u'les', u'sur']"
1304,837696762823454720,2,0,2017-03-03 16:10:46,: NGCC escortant bateaux de pêche à St. Anthony dans une bourrasque de neige ce matin. églaçage Priorité à…,"['#HenryLarsen', '#GCC', '#d']",[],NGCC escortant bateaux de St Anthony dans une bourrasque de neige ce matin age,"['NGCC', 'escortant', 'bateaux', 'de', 'St', 'Anthony', 'dans', 'une', 'bourrasque', 'de', 'neige', 'ce', 'matin', 'age']","[u'ngcc', u'escort', u'bateaux', 'de', 'st', u'anthoni', u'dan', u'une', u'bourrasqu', 'de', u'neig', 'ce', u'matin', u'age']"
1305,837688619737415681,1,0,2017-03-03 15:38:25,: Prestigieux prix pour la : le ministre Bains félicite,"['#CSeries', '#InnovationCdn']",['https://t.co/hd\xe2\x80\xa6'],Prestigieux prix pour la le ministre Bains licite,"['Prestigieux', 'prix', 'pour', 'la', 'le', 'ministre', 'Bains', 'licite']","[u'prestigieux', u'prix', u'pour', 'la', 'le', u'ministr', u'bain', u'licit']"
1306,837649210585526272,1,3,2017-03-03 13:01:49,"Éphéméride mars : er vol international de courrier en Amérique du Nord, de Vancouver à Seattle.",['#'],['https://t.co/GWkQPgtKmv'],ride mars er vol international de courrier en rique du Nord de Vancouver Seattle,"['ride', 'mars', 'er', 'vol', 'international', 'de', 'courrier', 'en', 'rique', 'du', 'Nord', 'de', 'Vancouver', 'Seattle']","[u'ride', u'mar', 'er', u'vol', u'intern', 'de', u'courrier', 'en', u'riqu', 'du', u'nord', 'de', u'vancouv', u'seattl']"
1307,837467819348480001,1,0,2017-03-03 01:01:02,"Si vous croyez que votre auto a un défaut lié à la sécurité, remplissez le formulaire prévu à cet effet :",[],"['https://t.co/6En9B5hFGE', 'https://t.co/lnV0dJBjQH']",Si vous croyez que votre auto un faut la remplissez le formulaire vu cet effet,"['Si', 'vous', 'croyez', 'que', 'votre', 'auto', 'un', 'faut', 'la', 'remplissez', 'le', 'formulaire', 'vu', 'cet', 'effet']","['si', u'vous', u'croyez', u'que', u'votr', u'auto', 'un', u'faut', 'la', u'remplissez', 'le', u'formulair', 'vu', u'cet', u'effet']"
