,shortcode,mediaid,caption,url,is_video,comments,typename,owner_username,tagged_users,date,owner_id,caption_mentions,id,caption_hashtags,likes,video_url
67,BRBzx9SgYe7,1.45968E+18,"L’agente forestière Katalijn MacAfee fait la promotion de la science, des outils et des techniques du SCF pour aider les praticiens de la foresterie et de la régénération forestière ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/6cbf8db0561afaeb82491bd0c14b9419/5AFABD77/t51.2885-15/e35/16908408_1617441248280939_5565421873447043072_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-27T12:21:39,4210755410,[],2017-02-27_12-21-39,"[""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",2,
68,BRDxJoSAaEx,1.46023E+18,"Selon l’entomologiste Johanne Delisle, la science est un privilège qui permet de satisfaire sa curiosité et de réussir de super découvertes. Son travail porte sur l’acquisition d’une connaissance de base de la et du cycle épidémique de l’arpenteuse de la pruche. ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/8da39cd789554ef4ae968099356b1b6b/5AE76372/t51.2885-15/e35/17076146_654846481354595_1755953162281287680_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-28T06:37:09,4210755410,[],2017-02-28_06-37-09,"[""tordeuse"",""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",4,
69,BRDyheWgPRU,1.46023E+18,Catherine McNalty et Cindy Shaw prélèvent des échantillons pour informer sur la régénération forestière dans un manuel d’indice de régénération du sol forestier,https://instagram.fyvr3-1.fna.fbcdn.net/vp/fe1b595adf5dea076237ade767745d51/5AE5AECC/t51.2885-15/e35/16908500_177465406085797_5222219536563961856_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-28T06:49:09,4210755410,[],2017-02-28_06-49-09,"[""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",2,
70,BRG3TyugSbZ,1.4611E+18,"Spécialiste en catalyse et en ingénierie des réactions, Cecile Siewe, Ph. D., est DG de CanmetÉNERGIE. Son labo se penche sur le développement de technologies pour plusieurs options d’ÉnergiePropre.",https://instagram.fyvr3-1.fna.fbcdn.net/vp/2412adf109a2540be523ae9f2eb475ca/5AFEFC90/t51.2885-15/e35/16464018_1646450758994484_3188767046934462464_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-01T11:28:41,4210755410,[],2017-03-01_11-28-41,"[""énergiepropre"",""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",3,
71,BRLZuBgAhkS,1.46238E+18,"Roberta Bondar, re Canadienne à aller dans l’espace, a travaillé au Centre de foresterie des Grands Lacs de RNCan. En , elle a été embauchée comme étudiante pour travailler sur la livrée des forêts. Roberta Bondar, Ph. D., a visité le CFGL peu après son retour de l’espace et a reçu une broche représentant une . ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/fecd5b851dc1db44586a5a79a20c7486/5ADE83D4/t51.2885-15/e35/17076641_1640305082651981_6988899267997859840_n.jpg,FALSE,0,GraphSidecar,ressourcesnaturellescanada,[],2017-03-03T05:46:20,4210755410,[],2017-03-03_05-46-20,"[""tordeuse"",""anecdote"",""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",2,
72,BRLaHY7AC5E,1.46238E+18,La chercheuse scientifique de CanmetMATÉRIAUX Irina Pushkareva fait de la science parce qu’elle adore « résoudre des problèmes complexes touchant les matériaux ».,https://instagram.fyvr3-1.fna.fbcdn.net/vp/7a20839fccee1eb4cd54f5c71c651cc9/5AFAC844/t51.2885-15/e35/17076488_261109881003468_1993607047232356352_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-03T05:49:47,4210755410,[],2017-03-03_05-49-47,"[""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",2,
73,BRLaXnKgS_Z,1.46238E+18,"La scientifique Amanda Roe, Ph. D., étudie la génétique et la génomique des insectes etiques et indigènes qui ravagent les forêts. ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/47b969449950e4bbafe7bc1a3f31b83e/5AF8306F/t51.2885-15/e35/16908463_1895929077350257_3124208766443061248_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-03T05:52:00,4210755410,[],2017-03-03_05-52-00,"[""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",3,
74,BRWl_yXgd3j,1.46553E+18,Voici la spécialiste en recherche sur les feux de forêts Chelene Hanes! Elle étudie les dangers et comportements des feux à l’aide d’outils d’analyse spatiale.,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b35c2128fdb256033e21cb334c0bb501/5AF7C375/t51.2885-15/e35/17126240_1650150735287277_8694475556273520640_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-07T14:05:15,4210755410,[],2017-03-07_14-05-15,"[""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",2,
75,BRWmMiUAs3x,1.46553E+18,"Rencontrez Nikole Bingham-Koslowski, géologue des bassins sédimentaires. Sa recherche aide à démêler la géologie et l'évolution de la marge atlantique du Canada.",https://instagram.fyvr3-1.fna.fbcdn.net/vp/91f49b13a3b96f47b743624d37f5ac2f/5ADE434F/t51.2885-15/e35/17075881_1299306366790466_4265495110155763712_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-07T14:07:00,4210755410,[],2017-03-07_14-07-00,"[""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",2,
76,BRWmUt-A0nR,1.46553E+18,"La scientifique de RNCan Lisa Nykolaishen utilise un GPS pour mesurer les mouvements de la croûte causés par des processus tectoniques qui provoquent des séismes près d’Haida Gwaii, C.-B.",https://instagram.fyvr3-1.fna.fbcdn.net/vp/6dc9a25a4dae9492820893d4eefbfb51/5AF279CF/t51.2885-15/e35/17126439_388912131491112_4636928344384864256_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-07T14:08:07,4210755410,[],2017-03-07_14-08-07,"[""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",2,
