,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
92,92,92,852490154905280_853071948180434,123326971154939_852490154905280,,2017-05-31 14:12:53,0,0,0,0,0,0,0,0,Diane Archie,[],[],Diane Archie,"['Diane', 'Archie']","[u'dian', u'archi']",Line Archie,0.0,0.0,Neutral,Neutral
93,93,93,852490154905280_853045768183052,123326971154939_852490154905280,,2017-05-31 13:12:13,1,1,0,0,0,0,0,0,Vince Teddy,[],[],Vince Teddy,"['Vince', 'Teddy']","[u'vinc', u'teddi']",Since Eddy,0.0,0.0,Neutral,Neutral
94,94,94,852490154905280_858041214350174,123326971154939_852490154905280,,2017-06-08 02:31:59,0,0,0,0,0,0,0,0,Tony Green Lawrence Ruben,[],[],Tony Green Lawrence Ruben,"['Tony', 'Green', 'Lawrence', 'Ruben']","[u'toni', u'green', u'lawrenc', u'ruben']",Bony Green Lawrence Tube,-0.2,-0.2,Neutral,Neutral
95,95,95,852490154905280_853517278135901,123326971154939_852490154905280,,2017-06-01 09:10:29,0,0,0,0,0,0,0,0,Shannon P. O'Hara John Stuart Jr,[],[],Shannon Hara John Stuart Jr,"['Shannon', 'Hara', 'John', 'Stuart', 'Jr']","[u'shannon', u'hara', u'john', u'stuart', 'jr']",Cannon Vara John Stuart Or,0.0,0.0,Neutral,Neutral
96,96,96,852490154905280_854348344719461,123326971154939_852490154905280,,2017-06-02 16:47:22,0,0,0,0,0,0,0,0,Cheryl P. Melanson,[],[],Cheryl Melanson,"['Cheryl', 'Melanson']","[u'cheryl', u'melanson']",Beryl Melanson,0.0,0.0,Neutral,Neutral
97,97,97,852490154905280_856855017802127,123326971154939_852490154905280,,2017-06-06 14:24:22,0,0,0,0,0,0,0,0,Sebastien,[],[],Sebastien,['Sebastien'],[u'sebastien'],Sebastien,0.0,0.0,Neutral,Neutral
98,98,98,841896755964620_841967862624176,123326971154939_841896755964620,,2017-05-12 11:38:45,0,0,0,0,0,0,0,0,How do i submit a suggestion? Nutrition North should be sponsoring the food banks in the north.,[],[],submit suggestion Nutrition North sponsoring food banks north,"['submit', 'suggestion', 'Nutrition', 'North', 'sponsoring', 'food', 'banks', 'north']","[u'submit', u'suggest', u'nutrit', u'north', u'sponsor', u'food', u'bank', u'north']",submit suggestion Nutrition North sponsoring food banks north,0.0,0.0,Neutral,Neutral
99,99,99,841896755964620_841984662622496,123326971154939_841896755964620,841896755964620_841967862624176,2017-05-12 12:12:16,1,1,0,0,0,0,0,0,"Hi Heather, while the official Nutrition North Canada Engagement is now closed (D1), you can still share your thoughts on how to improve the program by mail or email. Mail: Nutrition North Canada: Engagement Eddy Street, th floor Gatineau, Quebec K1A H4 Email: nutritionnorth-aandc.gc.ca",[],['http://ow.ly/lybD30bFS'],Hi Heather official Nutrition North Canada Engagement closed D1 still share thoughts improve program mail email Mail Nutrition North Canada Engagement Eddy Street th floor Gatineau Quebec K1A H4 Email nutritionnorth aandc gc ca,"['Hi', 'Heather', 'official', 'Nutrition', 'North', 'Canada', 'Engagement', 'closed', 'D1', 'still', 'share', 'thoughts', 'improve', 'program', 'mail', 'email', 'Mail', 'Nutrition', 'North', 'Canada', 'Engagement', 'Eddy', 'Street', 'th', 'floor', 'Gatineau', 'Quebec', 'K1A', 'H4', 'Email', 'nutritionnorth', 'aandc', 'gc', 'ca']","['hi', u'heather', u'offici', u'nutrit', u'north', u'canada', u'engag', u'close', 'd1', u'still', u'share', u'thought', u'improv', u'program', u'mail', u'email', u'mail', u'nutrit', u'north', u'canada', u'engag', u'eddi', u'street', 'th', u'floor', u'gatineau', u'quebec', u'k1a', 'h4', u'email', u'nutritionnorth', u'aandc', 'gc', 'ca']",I Weather official Nutrition North Canada Engagement closed Of still share thoughts improve program mail email Nail Nutrition North Canada Engagement Eddy Street th floor Martineau Quebec K1A Of Email nutritionnorth and go ca,-0.1,-0.1,Neutral,Neutral
100,100,100,825942220893407_826016107552685,123326971154939_825942220893407,,2017-04-15 10:25:16,0,0,0,0,0,0,0,0,Why is it voluntary? They got millions of dollars to waste.,[],[],voluntary got millions dollars waste,"['voluntary', 'got', 'millions', 'dollars', 'waste']","[u'voluntari', u'got', u'million', u'dollar', u'wast']",voluntary got millions dollars waste,-0.2,-0.2,Neutral,Neutral
101,101,101,823420274478935_823902301097399,123326971154939_823420274478935,,2017-04-12 05:07:34,0,0,0,0,0,0,0,0,"I'm sure the citizens of Nunavut, Northwest Territories and Yukon who see extreme pricing would be interested in joining this board. When the Northwest Company provides its store managers with a potential bonus up to their annual salary, it doesn't take long to figure out why the prices are high.",[],[],sure citizens Nunavut Northwest Territories Yukon see extreme pricing would interested joining board Northwest Company provides store managers potential bonus annual salary take long figure prices high,"['sure', 'citizens', 'Nunavut', 'Northwest', 'Territories', 'Yukon', 'see', 'extreme', 'pricing', 'would', 'interested', 'joining', 'board', 'Northwest', 'Company', 'provides', 'store', 'managers', 'potential', 'bonus', 'annual', 'salary', 'take', 'long', 'figure', 'prices', 'high']","[u'sure', u'citizen', u'nunavut', u'northwest', u'territori', u'yukon', u'see', u'extrem', u'price', u'would', u'interest', u'join', u'board', u'northwest', u'compani', u'provid', u'store', u'manag', u'potenti', u'bonus', u'annual', u'salari', u'take', u'long', u'figur', u'price', u'high']",sure citizens Nunavut Northwest Territories Upon see extreme pricking would interested joining board Northwest Company provides store managers potential bonus annual salary take long figure prices high,0.1225,0.1225,Neutral,Neutral
102,102,102,771539183000378_771958379625125,123326971154939_771539183000378,,2017-01-19 08:35:28,2,2,0,0,0,0,0,0,"NNC is a scam lol, Prices for nutritional items are more eensive than stuff that are non healthy. We pay way more to eat healthy, how is this possible?? Shouldn't healthy foods be more affordable to buy??",[],[],NNC scam lol Prices nutritional items eensive stuff non healthy pay way eat healthy possible healthy foods affordable buy,"['NNC', 'scam', 'lol', 'Prices', 'nutritional', 'items', 'eensive', 'stuff', 'non', 'healthy', 'pay', 'way', 'eat', 'healthy', 'possible', 'healthy', 'foods', 'affordable', 'buy']","[u'nnc', u'scam', u'lol', u'price', u'nutrit', u'item', u'eensiv', u'stuff', u'non', u'healthi', u'pay', u'way', u'eat', u'healthi', u'possibl', u'healthi', u'food', u'afford', u'buy']",NNC scar ll Prices nutrition items pensive stuff non healthy pay way eat healthy possible healthy foods unfordable buy,0.45999999999999996,0.375,Positive,Positive
103,103,103,771539183000378_774086029412360,123326971154939_771539183000378,,2017-01-22 16:15:15,1,1,0,0,0,0,0,0,"it sucks...it only benefits Northern, subsidize the freight service providers instead, there I had my say",[],[],sucks benefits Northern subsidize freight service providers instead say,"['sucks', 'benefits', 'Northern', 'subsidize', 'freight', 'service', 'providers', 'instead', 'say']","[u'suck', u'benefit', u'northern', u'subsid', u'freight', u'servic', u'provid', u'instead', u'say']",sucks benefits Northern subsidized freight service provides instead say,-0.3,-0.3,Neutral,Neutral
104,104,104,764493393704957_767898330031130,123326971154939_764493393704957,,2017-01-12 14:27:49,0,0,0,0,0,0,0,0,Harper Everett,[],[],Harper Everett,"['Harper', 'Everett']","[u'harper', u'everett']",Harper Everett,0.0,0.0,Neutral,Neutral
105,105,105,742364895917807_764430663711230,123326971154939_742364895917807,,2017-01-06 13:34:19,0,0,0,0,0,0,0,0,Can't do the survey ... doesn't apply to me it says .... ???,[],[],survey apply says,"['survey', 'apply', 'says']","[u'survey', u'appli', u'say']",survey apply says,0.0,0.0,Neutral,Neutral
106,106,106,731159403705023_732987413522222,123326971154939_731159403705023,,2016-11-18 20:39:16,0,0,0,0,0,0,0,0,They even have forms that can be filled out in my office.,[],[],even forms filled office,"['even', 'forms', 'filled', 'office']","[u'even', u'form', u'fill', u'offic']",even forms filled office,0.4,0.4,Positive,Positive
