,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
73,73,73,1965701726789855_1972792206080807,134615279898518_1965701726789855,1965701726789855_1969931223033572,2017-12-27 22:58:25,1,1,0,0,0,0,0,0,"les parcs nationaux et les parcs provinciaux sont pas gérer de la même facon et par la même autorité. si tu avais la carte de parcs canada, ce n'était pas la carte du réseau parcs quebec. si j'ai une carte cadeau valide dans tous les canadian tire, c'est normal qu'ils ne l'acceptent pas chez walmart.",[],[],les parcs nationaux et les parcs provinciaux sont pas rer de la facon et par la si tu avais la carte de parcs canada ce tait pas la carte du seau parcs quebec si ai une carte cadeau valide dans tous les canadian tire est normal qu ils ne acceptent pas chez walmart,"['les', 'parcs', 'nationaux', 'et', 'les', 'parcs', 'provinciaux', 'sont', 'pas', 'rer', 'de', 'la', 'facon', 'et', 'par', 'la', 'si', 'tu', 'avais', 'la', 'carte', 'de', 'parcs', 'canada', 'ce', 'tait', 'pas', 'la', 'carte', 'du', 'seau', 'parcs', 'quebec', 'si', 'ai', 'une', 'carte', 'cadeau', 'valide', 'dans', 'tous', 'les', 'canadian', 'tire', 'est', 'normal', 'qu', 'ils', 'ne', 'acceptent', 'pas', 'chez', 'walmart']","[u'les', u'parc', u'nationaux', 'et', u'les', u'parc', u'provinciaux', u'sont', u'pas', u'rer', 'de', 'la', u'facon', 'et', u'par', 'la', 'si', 'tu', u'avai', 'la', u'cart', 'de', u'parc', u'canada', 'ce', u'tait', u'pas', 'la', u'cart', 'du', u'seau', u'parc', u'quebec', 'si', 'ai', u'une', u'cart', u'cadeau', u'valid', u'dan', u'tous', u'les', u'canadian', u'tire', u'est', u'normal', 'qu', u'il', 'ne', u'accept', u'pas', u'chez', u'walmart']",les parts national et les parts provincial sont pas her de la bacon et par la si tu avail la carte de parts canada ce wait pas la carte du seat parts quebec si ai une carte cadet valid dans thus les canadian tire est normal qu is ne accepted pas cher palmar,0.15,0.15,Neutral,Neutral
74,74,74,1965701726789855_1970068413019853,134615279898518_1965701726789855,,2017-12-25 10:04:44,1,1,0,0,0,0,0,0,"Eric, chaqu' un avec son parc))",[],[],Eric chaqu parc,"['Eric', 'chaqu', 'parc']","[u'eric', u'chaqu', u'parc']",Uric chair part,0.0,0.0,Neutral,Neutral
75,75,75,1965701726789855_1970262369667124,134615279898518_1965701726789855,,2017-12-25 13:36:47,1,1,0,0,0,0,0,0,Dalia Leal Orlando Ramirez,[],[],Dalia Leal Orlando Ramirez,"['Dalia', 'Leal', 'Orlando', 'Ramirez']","[u'dalia', u'leal', u'orlando', u'ramirez']",Valid Real Orlando Ramirez,0.0,0.2,Neutral,Neutral
76,76,76,1965701726789855_1970266543000040,134615279898518_1965701726789855,,2017-12-25 13:43:32,0,0,0,0,0,0,0,0,Quentin Roehn,[],[],Quentin Roehn,"['Quentin', 'Roehn']","[u'quentin', u'roehn']",Luetin John,0.0,0.0,Neutral,Neutral
77,77,77,1965701726789855_1970272032999491,134615279898518_1965701726789855,,2017-12-25 13:52:46,0,0,0,0,0,0,0,0,Yan Ruscica %,[],[],Yan Ruscica,"['Yan', 'Ruscica']","[u'yan', u'ruscica']",An Ruscica,0.0,0.0,Neutral,Neutral
78,78,78,1965701726789855_1970729989620362,134615279898518_1965701726789855,,2017-12-26 01:28:23,0,0,0,0,0,0,0,0,Ouff cest pas donner :/,[],[],Ouff cest donner,"['Ouff', 'cest', 'donner']","[u'ouff', u'cest', u'donner']",Puff west dinner,0.0,0.0,Neutral,Neutral
79,79,79,1965701726789855_1971003026259725,134615279898518_1965701726789855,,2017-12-26 08:17:25,0,0,0,0,0,0,0,0,Jonathan Piccinali,[],[],Jonathan Piccinali,"['Jonathan', 'Piccinali']","[u'jonathan', u'piccinali']",Jonathan Piccinali,0.0,0.0,Neutral,Neutral
80,80,80,1965701726789855_1971048266255201,134615279898518_1965701726789855,,2017-12-26 09:13:06,0,0,0,0,0,0,0,0,Robert Bouchard,[],[],Robert Bouchard,"['Robert', 'Bouchard']","[u'robert', u'bouchard']",Robert Orchard,0.0,0.0,Neutral,Neutral
81,81,81,1965701726789855_1971251276234900,134615279898518_1965701726789855,,2017-12-26 12:33:36,3,3,0,0,0,0,0,0,"Tant que je NE pourrai PAS emmener mon chien dans les sentiers (parc de la Mauricie), votre OFFRE EST REFUSÉE, REFUSÉE!",[],[],Tant que je NE pourrai PAS emmener mon chien dans les sentiers parc de la Mauricie votre OFFRE EST,"['Tant', 'que', 'je', 'NE', 'pourrai', 'PAS', 'emmener', 'mon', 'chien', 'dans', 'les', 'sentiers', 'parc', 'de', 'la', 'Mauricie', 'votre', 'OFFRE', 'EST']","[u'tant', u'que', 'je', 'ne', u'pourrai', u'pas', u'emmen', u'mon', u'chien', u'dan', u'les', u'sentier', u'parc', 'de', 'la', u'maurici', u'votr', u'offr', u'est']",Want que je of hourra PAS emmener mon chief dans les settlers part de la Auricle votre OFFRE EST,0.0,0.0,Neutral,Neutral
82,82,82,1965701726789855_1971251739568187,134615279898518_1965701726789855,1965701726789855_1971251276234900,2017-12-26 12:34:21,0,0,0,0,0,0,0,0,,[],['https://www.facebook.com/groups/1451234228512143/'],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
83,83,83,1965701726789855_1971624866197541,134615279898518_1965701726789855,,2017-12-26 19:58:08,0,0,0,0,0,0,0,0,Stephen Barr,[],[],Stephen Barr,"['Stephen', 'Barr']","[u'stephen', u'barr']",Stephen Parr,0.0,0.0,Neutral,Neutral
84,84,84,1965701726789855_1972350932791601,134615279898518_1965701726789855,,2017-12-27 12:19:32,0,0,0,0,0,0,0,0,C'est plate elle était gratuite l'année passée... pour ma part je ne payerais pas ce prix,[],[],est plate elle tait gratuite pour part je ne payerais pas ce prix,"['est', 'plate', 'elle', 'tait', 'gratuite', 'pour', 'part', 'je', 'ne', 'payerais', 'pas', 'ce', 'prix']","[u'est', u'plate', u'ell', u'tait', u'gratuit', u'pour', u'part', 'je', 'ne', u'payerai', u'pas', 'ce', u'prix']",est plate else wait gratuity pour part je ne payerais pas ce prim,0.0,0.0,Neutral,Neutral
85,85,85,1965701726789855_1972793729413988,134615279898518_1965701726789855,1965701726789855_1972350932791601,2017-12-27 23:00:58,0,0,0,0,0,0,0,0,très peu de parcs nationaux au québec. c'est mieux avec une carte des parcs provinciaux. mais plus cher. alors on oublie,[],[],peu de parcs nationaux au bec est mieux avec une carte des parcs provinciaux mais plus cher alors oublie,"['peu', 'de', 'parcs', 'nationaux', 'au', 'bec', 'est', 'mieux', 'avec', 'une', 'carte', 'des', 'parcs', 'provinciaux', 'mais', 'plus', 'cher', 'alors', 'oublie']","[u'peu', 'de', u'parc', u'nationaux', 'au', u'bec', u'est', u'mieux', u'avec', u'une', u'cart', u'des', u'parc', u'provinciaux', u'mai', u'plus', u'cher', u'alor', u'oubli']",peu de parts national au be est vieux avec une carte des parts provincial mais plus cher also oublie,0.0,0.0,Neutral,Neutral
86,86,86,1965701726789855_1972424376117590,134615279898518_1965701726789855,,2017-12-27 13:47:48,0,0,0,0,0,0,0,0,Jus Jcq intéressant.,[],[],Jus Jcq ressant,"['Jus', 'Jcq', 'ressant']","[u'jus', u'jcq', u'ressant']",Us Act peasant,0.0,0.0,Neutral,Neutral
