"likes","mediaid","video_url","typename","url","shortcode","comments","id","caption","owner_username","tagged_users","date","caption_mentions","is_video","caption_hashtags","owner_id"
3,1380590781299254300,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/4e4a3c6599fdaf21f365894a905258cb/5AD86BB9/t51.2885-15/e35/25022833_1996657550617736_8259405428002127872_n.jpg","BMo2AA7hWP0",1,"2016-11-10_09-34-27","Tout le monde à bord! Le Limnos, un navire de la Garde côtière canadienne, est basé à Burlington, en Ontario. La plupart du temps, il est à quai au Centre canadien des eaux intérieures. Non on ne ve vous monte pas un bateau!\n\nSon nom vient de « limnologie », soit l’étude des eaux intérieures. Le NGCC Limnos a une vocation scientifique : à son bord, nous menons des recherches sur l’environnement et faisons la surveillance des Grands Lacs. Il permet de prélever des échantillons d’eau à l’aide de matériel varié, et il est doté d’un laboratoire à bord où s’effectuent le traitement et l’analyse des échantillons.\n\nGénial, non?","environnementcan","[]","2016-11-10T09:34:27","[]",false,"[]",3913646610
4,1380637190023239000,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1b953315d441a6f832107b9e62e9cb3/5AE61A07/t51.2885-15/e35/25012561_180687112514013_8889567165724753920_n.jpg","BMpAjWbB1TP",1,"2016-11-10_11-06-40","Combien de négociateurs et d’experts ce très petit espace peut-il accueillir? C’est le centre névralgique où toute la magie se passe. C’est là où la délégation #canadienne se réunit avec les autres pays, examine les propositions et discute de la voie à suivre dans la lutte contre les #changementsclimatiques! -Henry #COP22 #EnvironnementCan #Marrakesh #Maroc","environnementcan","[]","2016-11-10T11:06:40","[]",false,"[""canadienne"",""changementsclimatiques"",""cop22"",""environnementcan"",""marrakesh"",""maroc""]",3913646610
5,1381295606739565800,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/1d30e9e09593dfa5a1e8e5f2fd16e211/5AE85A13/t51.2885-15/e35/24845747_168875590374383_5420277168825434112_n.jpg","BMrWQkxhP1K",0,"2016-11-11_08-54-49","Les jeunes montrent l'exemple à #COP22 en plantant un jardin - où avez-vous planté un arbre? #ChangementClimatique #ActionTime @cop22ma #trees4earth","environnementcan","[]","2016-11-11T08:54:49","[""cop22ma""]",false,"[""cop22"",""changementclimatique"",""actiontime"",""trees4earth""]",3913646610
5,1381312257119973000,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/a4001509a814782db8cf0c825d683edc/5AFB5D17/t51.2885-15/e35/25016978_2022312708008297_8035459141629640704_n.jpg","BMraC3ph29c",0,"2016-11-11_09-27-54","J'ai pris un autobus 🚌 électrique pour me rendre au site de la #COP22 aujourd'hui! C'est génial de voir des options respectueuses du #climat pour se déplacer! - Henry","environnementcan","[]","2016-11-11T09:27:54","[]",false,"[""cop22"",""climat""]",3913646610
3,1381375298599543000,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/8d5eaaf5b0f5bb6cef20f69e4cedc2e1/5AE67D21/t51.2885-15/e35/25011649_1503659593020955_7868611009483636736_n.jpg","BMroYPmhmDG",0,"2016-11-11_11-33-09","#CapitainePlanète repéré à #COP22! #ActionTime","environnementcan","[]","2016-11-11T11:33:09","[]",false,"[""capitaineplanète"",""cop22"",""actiontime""]",3913646610
1,1381995696525512700,"https://instagram.fyvr3-1.fna.fbcdn.net/vp/b83b39c68dc98fa41259881edff54068/5A63E0EF/t50.2886-16/24984726_195517544344435_6968311196235595776_n.mp4","GraphVideo","https://instagram.fyvr3-1.fna.fbcdn.net/vp/d9fec09d5984bb8ecc8eaefc97d5ddfe/5A63E774/t51.2885-15/e15/25005680_1759682280709064_3734036776071725056_n.jpg","BMt1cOMhZBE",0,"2016-11-12_08-05-46","J'ai eu la chance de visionner le film Oculus «This is the Arctic» sur les effets du #Changement climatique dans l'Arctique hier au village #COP22. Une expérience assez cool et immersive montrant différents paysages et communautés de l’Arctique. -Henry","environnementcan","[]","2016-11-12T08:05:46","[]",true,"[""changement"",""cop22""]",3913646610
4,1384170300920745700,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/e403830806b765daadef64bb0c7c6419/5AE3933E/t51.2885-15/e35/25006231_745533178974066_942278518656466944_n.jpg","BM1j44XBs6s",0,"2016-11-15_08-06-19","Je m’adresse à vous depuis la cabine #Facebook Live, sur place à la @COP22ma. C’est depuis cette cabine qu’aujourd’hui à 18 h 30 UTC (13 h 30 HNE), la ministre de l’Environnement et du Changement climatique, Catherine McKenna, sera sur Facebook Live en compagnie de trois jeunes déléguées canadiennes (#Canadien) au #Maroc. – Henry","environnementcan","[]","2016-11-15T08:06:19","[""cop22ma""]",false,"[""facebook"",""canadien"",""maroc""]",3913646610
7,1384391872075937300,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/09069c3c4b160a1391af8538b039fa80/5AE543A7/t51.2885-15/e35/24327682_1932955353623125_8137608509198958592_n.jpg","BM2WRKlBjWI",0,"2016-11-15_15-26-33","J’ai rencontré @meredithadler, @maataliii et Dominique Souris avant de faire notre #Facebook Live de #Marrakech @COP22ma. Quel bonheur de rencontrer ces jeunes leaders! Avez-vous vu la vidéo du Facebook Live? C’est à voir! – Henry \n#EnCoulisses #COP22 #COP22Can","environnementcan","[]","2016-11-15T15:26:33","[""meredithadler"",""maataliii"",""cop22ma""]",false,"[""facebook"",""marrakech"",""encoulisses"",""cop22"",""cop22can""]",3913646610
5,1385126189051761400,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/a677cb40a491900baf78ba5c06526a5e/5AF5045D/t51.2885-15/e35/24845255_198504540722240_7853074549405908992_n.jpg","BM49O4jhVKr",0,"2016-11-16_15-45-30","Voici mon collègue et ami, Pierre-Jonathan (ou PJ), qui représente le #Canada à la séance plénière de la #COP22. Il travaille dans le domaine du financement de la lutte contre les changements climatiques. Les fonds viennent en aide aux pays en développement pour qu’ils puissent faire face aux répercussions des #ChangementsClimatiques, déployer des technologies d’énergie propre et gérer les ressources naturelles de façon durable. – Henry #EnCoulisses #COP22Can","environnementcan","[]","2016-11-16T15:45:30","[]",false,"[""canada"",""cop22"",""changementsclimatiques"",""encoulisses"",""cop22can""]",3913646610
6,1387158367650630700,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/42917b7bc0d66e0229d6134be591c3f7/5AFA49B6/t51.2885-15/e35/25014868_1329448373832560_3593473401395609600_n.jpg","BNALS-XBsxm",1,"2016-11-19_11-03-05","Nous accueillons le Sommet des #jeunes. C’est un peu comme un #Hackathon, mais sur les #ChangementsClimatiques. N’est-ce pas génial? Ah, et vous êtes invités! Cliquer sur le lien dans notre biographie pour obtenir plus d’info!","environnementcan","[]","2016-11-19T11:03:05","[]",false,"[""jeunes"",""hackathon"",""changementsclimatiques""]",3913646610
5,1388668634146400800,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/762923ec059efe93ad1d7b280a1611ad/5AF6CE3A/t51.2885-15/e35/25007830_135149190528893_3441522427740291072_n.jpg","BNFisPpBenE",1,"2016-11-21_13-03-43","Êtes-vous un jeune canadien passionné de la prise d'action sur les changements climatiques? Avez-vous des idées et des solutions sur comment nous devons adresser les changements climatiques dans les communautés à travers le pays? Nous voulons vous entendre! 📣 \nLe 23 novembre, la ministre de l’Environnement et du Changement climatique, Catherine McKenna, sera l’hôte d’un dialogue national pour les jeunes sur le thème des changements climatiques. Joignez-vous à nous!","environnementcan","[]","2016-11-21T13:03:43","[]",false,"[]",3913646610
6,1389209613110619000,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/4f00d576095ad1e20285c91ed1a155cf/5AEF587F/t51.2885-15/e35/25005443_1807473872618885_7998330966126886912_n.jpg","BNHdshkBCql",0,"2016-11-22_06-58-32","ALERTE GRAND EXPLORATEUR!\n\nVoici Geoff Green, éducateur, entrepreneur social, aventurier et fondateur de @studentsonice. Il a dirigé plus de 130 expéditions dans les régions polaires, de même que de nombreux autres périples vers des coins éloignés et fascinants de la planète - WOUAH! (nous aussi on l’envie!). Geoff est l’un des conférenciers du Sommet national des jeunes sur les #ChangementsClimatiques. Cliquez sur le lien de sa biographie pour avoir tous les détails sur la façon de participer en ligne. #ActionClimatJeunesse","environnementcan","[]","2016-11-22T06:58:32","[""studentsonice""]",false,"[""changementsclimatiques"",""actionclimatjeunesse""]",3913646610
1,1389925855521952800,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/6d294d7f9ff724d9bfe730137c9958bc/5AEFAB40/t51.2885-15/e35/25012473_2013798585521670_1726885223053918208_n.jpg","BNKAjOShFOy",0,"2016-11-23_06-41-35","On pourrait entendre un criquet tellement les jeunes sont concentrés! #ActionClimatJeunesse","environnementcan","[]","2016-11-23T06:41:35","[]",false,"[""actionclimatjeunesse""]",3913646610
1,1389946907505666300,"https://instagram.fyvr3-1.fna.fbcdn.net/vp/f0718df850f6f898267121b08d94ad0d/5A63FAD3/t50.2886-16/25003202_184856502094100_7139943741560717312_n.mp4","GraphVideo","https://instagram.fyvr3-1.fna.fbcdn.net/vp/bfbace48371342a5db8e8f26089fbeba/5A63E570/t51.2885-15/e15/25006610_303067293522496_6635463286768795648_n.jpg","BNKFVkehylJ",0,"2016-11-23_07-23-25","Nos amis de @letstalkenergy qui rechargent des cellulaires au Sommet des jeunes sur le #ChangementClimatique...trop cool Pouvoir brûler les calories de son déjeuner en chargeant son appareil... Ça c'est de l'efficacité! #ActionClimatJeunesse","environnementcan","[]","2016-11-23T07:23:25","[""letstalkenergy""]",true,"[""changementclimatique"",""actionclimatjeunesse""]",3913646610
4,1389955483582231300,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1869c20fffa9c941b357cc45858f744/5ADF7BB2/t51.2885-15/e35/25008375_328661770945365_1258878283374657536_n.jpg","BNKHSXkhnMn",1,"2016-11-23_07-40-27","Geoff Green the @studentsonice... une grande inspiration 💯 #ActionClimatJeunesse","environnementcan","[]","2016-11-23T07:40:27","[""studentsonice""]",false,"[""actionclimatjeunesse""]",3913646610
