,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name,words_matched_list,sentiment,FSDS_Goal_Category,FSDS_Goal_Category_word_list
22,2017-01-11_14-10-08,2017-01-11T14:10:08,https://instagram.fyvr3-1.fna.fbcdn.net/vp/233a27c0b9a84fbd2ad48b0801be4481/5AF45240/t51.2885-15/e35/15877482_1638944449735213_5537612209313546240_n.jpg,LEED Platinum is the highest performance rating of LEED green building standards. The solar panels on our CanmetMATERIALS Laboratory roof are one of the ways that we work to ensure our building is as green as possible.,LEED Platinum highest performance rating LEED green building standards solar panels CanmetMATERIALS Laboratory roof one ways work ensure building green possible LEED platinum greenbuilding innovation lab science ontario solar solarenergy,"[""leed"",""platinum"",""greenbuilding"",""innovation"",""lab"",""science"",""ontario"",""solar"",""solarenergy""]",Economical,30,0.26666666666666666,en,naturalresourcescanada_instagram,"['energy', 'materials', 'green', 'innovation']",positive,Decent Work and Economic Growth,"['work', 'innovation', 'labor']"
23,2017-06-05_11-50-31,2017-06-05T11:50:31,https://instagram.fyvr3-1.fna.fbcdn.net/vp/73eec99889853208743672890fe3de12/5AEECDAA/t51.2885-15/e35/18950284_1908119876121389_8241940519018561536_n.jpg,"Minister Carr and delegates meet with Vice Chairman of CNPC, Wang Dongjin",Minister Carr delegates meet Vice Chairman CNPC Wang Dongjin partners CanadaChina,"[""partners"",""canadachina""]",Environmental,30,0.0,en,naturalresourcescanada_instagram,"['ice', 'air']",neutral,Affordable and clean energy,['air']
24,2017-03-21_13-35-42,2017-03-21T13:35:42,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d35c57acfe442f8ed7f8bcd0d38dc20a/5AFB6586/t51.2885-15/e35/17332469_265003753956343_3808528242176950272_n.jpg,"Happy International Day of Forests! The health and well-being of our nation’s forests matters. Canada is proud of its world-recognized forest management practices. The Government of Canada is committed to the sustainable management of its forests so as to maintain their environmental, social and economic values and benefits over time. ",Happy International Day Forests nThe health well forests matters nCanada proud world recognized forest management practices Government Canada committed sustainable management forests maintain environmental social economic values benefits time IntForestDay CDNForests Forest,"[""intforestday"",""cdnforests"",""forest""]",Environmental,30,0.0,en,naturalresourcescanada_instagram,"['sustainable', 'or', 'ice', 'government']",neutral,Gender Equality,"['recognize', 'men', 'value', 'practices']"
25,2017-12-05_11-10-47,2017-12-05T11:10:47,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3714d00420503caff7f85fc7eb89a53b/5AEAE280/t51.2885-15/e35/24838511_134563107259242_4143980851740278784_n.jpg,Our autonomous underwater vehicle in the Arctic Ocean travelled more than km & reached depths over km — achieving a !,autonomous underwater vehicle Arctic Ocean travelled 1000 km reached depths km achieving WorldRecord NRCanSci,"[""worldrecord"",""nrcansci""]",Environmental,30,0.0,en,naturalresourcescanada_instagram,"['water', 'or']",neutral,Clean Water and Sanitation,['water']
26,2017-08-31_13-42-45,2017-08-31T13:42:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c2e78340c5259dcbc3117503afa809fc/5AE7FE67/t51.2885-15/e35/21224251_336991996754984_9092887584622772224_n.jpg,"A helicopter flies over the Canadian Shield in the district of Keewatin, Northwest Territories, west of Hudson Bay, in",TBT helicopter flies Canadian Shield district Keewatin Northwest Territories west Hudson Bay 1952,"[""tbt""]",Environmental,29,0.0,en,naturalresourcescanada_instagram,['or'],neutral,No Poverty,[]
27,2017-07-19_05-53-57,2017-07-19T05:53:57,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a030943144eb251b0bd9cace46e3ec5f/5AEFF4D7/t51.2885-15/e35/20066567_1430463477045932_4454745757357965312_n.jpg,"Hi everyone, and welcome to my summer home! It’s geophysicist Vicki Tschirhart here! My field site is located in the Patterson Lake corridor, southwestern Athabasca Basin, a region known for its uranium deposits. Our multidisciplinary field party includes geochemists, geochronologists, geophysicists and geologists, eerts who have the collective goal of understanding how and why these deposits formed. ",Hi everyone welcome summer home geophysicist Vicki Tschirhart nMy field site located Patterson Lake corridor southwestern Athabasca Basin region known uranium deposits nOur multidisciplinary field party includes geochemists geochronologists geophysicists geologists experts collective goal understanding deposits formed Fieldwork SummerFieldwork NRCanSci GeoScience Exploration cribs homesweethome,"[""fieldwork"",""summerfieldwork"",""nrcansci"",""geoscience"",""exploration"",""cribs"",""homesweethome""]",Environmental,28,0.0,en,naturalresourcescanada_instagram,"['or', 'lake ', 'mer']",neutral,Gender Equality,['work']
28,2017-01-17_11-43-28,2017-01-17T11:43:28,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b575c2332125f2bfa78e109506eef7a9/5AD9FFDC/t51.2885-15/e35/15876887_1039492506174122_7880758461191946240_n.jpg,Researchers are studying waves off the coast of British Columbia to determine their renewable energy potential and the ideal locations for wave energy conversion,Researchers studying waves coast British Columbia determine renewable energy potential ideal locations wave energy conversion waves water RenewableEnergy renewables energy ScienceatWork BC science Canada,"[""waves"",""water"",""renewableenergy"",""renewables"",""energy"",""scienceatwork"",""bc"",""science"",""canada""]",Environmental,28,0.0,en,naturalresourcescanada_instagram,"['water', 'or', 'coast']",neutral,Affordable and clean energy,"['renewable energy', 'energy']"
29,2017-05-31_10-58-49,2017-05-31T10:58:49,https://instagram.fyvr3-1.fna.fbcdn.net/vp/459ebfacbc1cee185db0772ced40950e/5AF398B9/t51.2885-15/e35/18879050_761252420745292_7140896077544161280_n.jpg,People shared their thoughts about our energy future at the booth on SparkStreet during the Innovation fair.,People shared thoughts energy future GenEnergy booth SparkStreet Innovation fair,"[""genenergy""]",Environmental,28,0.0,en,naturalresourcescanada_instagram,"['park', 'tree', 'air']",neutral,Affordable and clean energy,"['energy', 'air']"
30,2017-07-19_15-03-08,2017-07-19T15:03:08,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a38e8db407e3f487bb0b3e875478749f/5ADE3DC6/t51.2885-15/e35/20225308_1348751471911692_7907130509577158656_n.jpg,"We may be done in the field for the day, but we need to go over the data collected, discuss our findings and plan our targets for tomorrow. Fieldwork often involves very long work days — but it’s worth it for the science. ",may done field day need go data collected discuss findings plan targets tomorrow Fieldwork often involves long work days worth science ItsWorthItForTheExercise AndNature Fieldwork,"[""itsworthitfortheexercise"",""andnature"",""fieldwork""]",Environmental,28,0.205,en,naturalresourcescanada_instagram,"['or', 'nature']",positive,Gender Equality,['work']
31,2017-08-04_10-51-32,2017-08-04T10:51:32,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8bbcdc57acbce3a930544d2ce8874145/5AFC8B76/t51.2885-15/e35/20589955_869287163237656_2750481624540905472_n.jpg,"Student research assistants Nicolas Piette-Lauziere and Zoik Brault are in the field at the edge of Cape Breton Highlands National Park. They are proudly displaying their commemorative t-shirts! Over the last month, Nicolas and Zoik have been mapping a fault zone on Cape Breton Island that separates rocks with different geological histories on either side. By studying the fault zone in the field, and collecting samples to study in the lab, Nicolas hopes to discover when and why it formed, and how it may have created a pathway for magma deep in the Earth’s crust to rise and form granite.",Student research assistants Nicolas Piette Lauziere Zoik Brault field edge Cape Breton Highlands National Park proudly displaying GSC175 commemorative shirts nOver last month Nicolas Zoik mapping fault zone Cape Breton Island separates rocks different geological histories either side studying fault zone field collecting samples study lab Nicolas hopes discover formed may created pathway magma deep crust rise form granite,"[""gsc175""]",Environmental,26,0.0,en,naturalresourcescanada_instagram,"['lands', 'park', 'or']",neutral,"Industry, Innovation and Infrastructure",['research']
