Unnamed: 0,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
70,"{""username"":""genstmp"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25039082_2027160454236385_9038467376865083392_n.jpg"",""id"":""23254845""}",1491314766,1.78758e+16,2017-03-09_13-28-30,,[],[],nan,['nan'],[u'nan']
71,"{""username"":""deuxevades"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20905175_155481628363098_5172971590417121280_a.jpg"",""id"":""4240552929""}",1489179570,1.78509e+16,2017-03-10_11-53-22,Magnifique !,[],[],Magnifique,['Magnifique'],[u'magnifiqu']
72,"{""username"":""k_e_nza"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13113854_1723316337906813_1493120449_a.jpg"",""id"":""2131365030""}",1489529107,1.78637e+16,2017-03-14_13-16-51,**randonee est mal ecrit...,[],[],randonee mal ecrit,"['randonee', 'mal', 'ecrit']","[u'randone', u'mal', u'ecrit']"
73,"{""username"":""harleyasphalt"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11906151_409020105970743_1839667842_a.jpg"",""id"":""213764486""}",1489522873,1.78754e+16,2017-03-14_13-16-51,Very cool!,[],[],cool,['cool'],[u'cool']
74,"{""username"":""deuxevades"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20905175_155481628363098_5172971590417121280_a.jpg"",""id"":""4240552929""}",1489630140,1.78534e+16,2017-03-15_13-58-19,Magnifique !,[],[],Magnifique,['Magnifique'],[u'magnifiqu']
75,"{""username"":""gerd_traveller"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11373573_345314182344958_1589288351_a.jpg"",""id"":""521104771""}",1489931177,1.78689e+16,2017-03-16_12-51-19,One of the best ideas and projects I noticed this year!,[],[],One best ideas projects noticed year,"['One', 'best', 'ideas', 'projects', 'noticed', 'year']","[u'one', u'best', u'idea', u'project', u'notic', u'year']"
76,"{""username"":""audreychampagne16"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14134761_330273823978434_1303825298_n.jpg"",""id"":""376141550""}",1489717629,1.78538e+16,2017-03-16_12-51-19,,[],[],nan,['nan'],[u'nan']
77,"{""username"":""ouramdream"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15802283_1156318444482514_7272321011649871872_a.jpg"",""id"":""3233368055""}",1490284502,1.78517e+16,2017-03-19_18-07-04,,[],[],nan,['nan'],[u'nan']
78,"{""username"":""marine.run"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18646422_747867998719058_7561743434499751936_a.jpg"",""id"":""2068082231""}",1490489105,1.78753e+16,2017-03-20_13-25-54,Le petit bonheur.,[],[],petit bonheur,"['petit', 'bonheur']","[u'petit', u'bonheur']"
79,"{""username"":""suofei21"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12135191_1130693627019880_1449217552_a.jpg"",""id"":""230928942""}",1490188212,1.78749e+16,2017-03-21_13-20-14,Um jour!,[],[],Um jour,"['Um', 'jour']","['um', u'jour']"
80,"{""username"":""thehoneyjam"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14596744_439792693032082_24498467686580224_a.jpg"",""id"":""1355428537""}",1492456261,1.78787e+16,2017-03-22_12-44-21,Flawless,[],[],Flawless,['Flawless'],[u'flawless']
