,owner,created_at,id,post_id,text_cleaned,hashtags,urls
24,"{""username"":""thegreatjoceline"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14134621_1589686114668080_820281783_a.jpg"",""id"":""3684009738""}",1480737609,1.7845E+16,2016-11-30_06-26-45,Cutr,[],[]
25,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480516035,1.78671E+16,2016-11-30_06-26-45,,"['#Mercredi', '#Hibou', '#Hiboux', '#Oiseaux', '#Oiseau', '#Faune', '#Ornithologie']",[]
26,"{""username"":""myrvezy"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13744275_1744066059212634_320013516_a.jpg"",""id"":""3483840575""}",1480718108,1.7845E+16,2016-12-02_08-26-00,This is awesome,[],[]
27,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480696073,1.78563E+16,2016-12-02_08-26-00,,"['#ScienceArctique', '#EnvironnementCan', '#EnvironnementCanada', '#Toundra', '#Arctique', '#Science', '#Biologie', '#Faune']",[]
28,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480976443,1.78666E+16,2016-12-05_14-19-17,éanPacifique,"['#Cop13', '#EnvironnementCan', '#EnvironnementCanada', '#Oc', '#OiseauxMarins', '#Ornithologie', '#Canada150']",[]
29,"{""username"":""ihabmokayed"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26181279_174151140007048_6370159604956921856_n.jpg"",""id"":""293328761""}",1481905339,1.7857E+16,2016-12-15_09-42-20,"ah thank you, why not follow both, depuis je parle les deux langues!",[],[]
30,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1481905011,1.78688E+16,2016-12-15_09-42-20,yes it is! FYI if you prefer you can follow our English account,[],[]
31,"{""username"":""ihabmokayed"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26181279_174151140007048_6370159604956921856_n.jpg"",""id"":""293328761""}",1481833315,1.78723E+16,2016-12-15_09-42-20,That's quite cool!,[],[]
32,"{""username"":""arcticrangeadvt"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/11850420_141054042908966_1422400190_a.jpg"",""id"":""2203840401""}",1482675352,1.78592E+16,2016-12-22_07-24-10,Wow! We like this pic!!,[],[]
33,"{""username"":""scienceborealis"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/14449287_314447988931019_8130849381726289920_a.jpg"",""id"":""4007154200""}",1483042573,1.78462E+16,2016-12-29_05-44-19,Posting some great photos of your northern research.,[],[]
34,"{""username"":""fvennessacecce"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20902565_1915169038734867_682059609971621888_a.jpg"",""id"":""1556658735""}",1483716073,1.78689E+16,2017-01-06_06-48-35,Bien hâte de le voir revenir,[],[]
35,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1483714208,1.78484E+16,2017-01-06_06-48-35,,"['#EnvironnementCan', '#EnvironnementCanada']",[]
36,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1484320616,1.7847E+16,2017-01-12_12-28-09,beaucoup de chemin en effet!!,[],[]
37,"{""username"":""thegreatjoceline"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14134621_1589686114668080_820281783_a.jpg"",""id"":""3684009738""}",1484270165,1.78692E+16,2017-01-12_12-28-09,On en a fait du chemin?,[],[]
38,"{""username"":""dannyslapbass"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19051051_460898334262363_7030596292271144960_a.jpg"",""id"":""1788974774""}",1484755482,1.78472E+16,2017-01-18_06-46-45,bien sur!!,[],[]
39,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1484754531,1.78614E+16,2017-01-18_06-46-45,Il est tellement mignon,[],[]
40,"{""username"":""dannyslapbass"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19051051_460898334262363_7030596292271144960_a.jpg"",""id"":""1788974774""}",1484752375,1.78577E+16,2017-01-18_06-46-45,Nice!!!,[],[]
41,"{""username"":""jericka88"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26222394_2072301653006353_4941605056551059456_n.jpg"",""id"":""32927813""}",1485484023,1.78478E+16,2017-01-26_10-32-16,Wow! Quelle magnifique et étrange espèce.,[],[]
