,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
14,14,946395534398455808,26,50,2017-12-28 15:00:53,"Exciting news! Starting in , admission to places will be for youth and under. 0U8 Where will you be eloring? c","['#ParksCanada', '#FREE']","['https://t.co/U8DWrr6', 'https://t.co/rn8TDxkSg']",Exciting news Starting admission places youth 0U8 eloring,"['Exciting', 'news', 'Starting', 'admission', 'places', 'youth', '0U8', 'eloring']","[u'excit', u'news', u'start', u'admiss', u'place', u'youth', u'0u8', u'elor']","Exciting news! Starting in 2018, admission to #ParksCanada places will be #FREE for youth 17 and under. 🙌 https://t.co/U8DWrr60U8 Where will you be exploring? https://t.co/rn8TDxkSgc"
15,15,946149993735483392,15,41,2017-12-27 22:45:11,"may be almost over… but that doesn’t mean the fun has to end! Check out ’ tips on visiting the adventure-ridden Torngat Mountains National Park, :",['#Canada150'],"['https://t.co/FAxT5SDfLy', 'https://t.co/KpAHeSwKXO']",may almost mean fun end Check tips visiting adventure ridden Torngat Mountains National Park,"['may', 'almost', 'mean', 'fun', 'end', 'Check', 'tips', 'visiting', 'adventure', 'ridden', 'Torngat', 'Mountains', 'National', 'Park']","[u'may', u'almost', u'mean', u'fun', u'end', u'check', u'tip', u'visit', u'adventur', u'ridden', u'torngat', u'mountain', u'nation', u'park']","#Canada150 may be almost over… but that doesn’t mean the fun has to end! Check out @CBCKids’ tips on visiting the adventure-ridden Torngat Mountains National Park, @parkscanadanl: https://t.co/FAxT5SDfLy https://t.co/KpAHeSwKXO"
16,16,946123677309067264,3,12,2017-12-27 21:00:37,"A cosy rustic winter shelter awaits you at . Come by snowshoe, ski, fat bike, or on foot. ️ Enjoy the blanketing silence of the snowy forest. 1",['#WinterCamping'],"['https://t.co/82ikpjBdX', 'https://t.co/hFeovlRKlo']",cosy rustic winter shelter awaits Come snowshoe ski fat bike foot Enjoy blanketing silence snowy forest,"['cosy', 'rustic', 'winter', 'shelter', 'awaits', 'Come', 'snowshoe', 'ski', 'fat', 'bike', 'foot', 'Enjoy', 'blanketing', 'silence', 'snowy', 'forest']","[u'cosi', u'rustic', u'winter', u'shelter', u'await', u'come', u'snowsho', u'ski', u'fat', u'bike', u'foot', u'enjoy', u'blanket', u'silenc', u'snowi', u'forest']","A cosy rustic winter shelter awaits you at @KouchibouguacNP. Come by snowshoe, ski, fat bike, or on foot. ❄️ Enjoy the blanketing silence of the snowy forest. 🌲 #WinterCamping @SeeNewBrunswick
https://t.co/82ikpjBdX1 https://t.co/hFeovlRKlo"
17,17,946078574993436673,9,40,2017-12-27 18:01:24,What to do after the ? Book your adventure that’s what!,"['#holidays', '#2018camping', '#ExploreCanada']","['https://t.co/ePsOQZnx5q', 'https://t.co/NuOVrF8qlV']",Book adventure,"['Book', 'adventure']","[u'book', u'adventur']",What to do after the #holidays? Book your #2018camping adventure that’s what! https://t.co/ePsOQZnx5q #ExploreCanada https://t.co/NuOVrF8qlV
18,18,946048222702788610,30,58,2017-12-27 16:00:47,"The song , by Scottish poet Robert Burns, bids farewell to the old year at the stroke of midnight on . We’re excited to share this performance, shot on location at and .","['#AuldLangSyne', '#NewYearsEve', '#CapeSpearNHS', '#GrosMorneNP']",['https://t.co/flLs1cki23'],song Scottish poet Robert Burns bids farewell old year stroke midnight excited share performance shot location,"['song', 'Scottish', 'poet', 'Robert', 'Burns', 'bids', 'farewell', 'old', 'year', 'stroke', 'midnight', 'excited', 'share', 'performance', 'shot', 'location']","[u'song', u'scottish', u'poet', u'robert', u'burn', u'bid', u'farewel', u'old', u'year', u'stroke', u'midnight', u'excit', u'share', u'perform', u'shot', u'locat']","The song #AuldLangSyne, by Scottish poet Robert Burns, bids farewell to the old year at the stroke of midnight on #NewYearsEve. We’re excited to share this @TenorsMusic performance, shot on location at #CapeSpearNHS and #GrosMorneNP. @ParksCanadaNL https://t.co/flLs1cki23"
19,19,946018029120475141,2,11,2017-12-27 14:00:48,Get into the with this great list of destinations. We've got both family-friendly and bird-friendly adventures to discover! via,"['#HolidaySpirit', '#ParksCanada', '#BirdIsTheWord', '#Holidays', '#WinterFun', '#TravelHappiness']","['https://t.co/fkKn7SCSyn', 'https://t.co/JALfdUDMm4']",Get great list destinations got family friendly bird friendly adventures discover via,"['Get', 'great', 'list', 'destinations', 'got', 'family', 'friendly', 'bird', 'friendly', 'adventures', 'discover', 'via']","[u'get', u'great', u'list', u'destin', u'got', u'famili', u'friend', u'bird', u'friend', u'adventur', u'discov', u'via']",Get into the #HolidaySpirit with this great list of 10 #ParksCanada destinations. We've got both family-friendly and bird-friendly adventures to discover! #BirdIsTheWord #Holidays #WinterFun 🛷 https://t.co/fkKn7SCSyn via #TravelHappiness @jennsmithnelson https://t.co/JALfdUDMm4
20,20,945806577533095937,10,31,2017-12-27 00:00:34,"From starry backcountry nights to cozy rustic shelters, we’ve got Adventures to help you get your on all year round! ️ 1","['#WinterCamping', '#campvibes']","['https://t.co/82ikpjBdX', 'https://t.co/fmWLDZRkJl']",starry backcountry nights cozy rustic shelters got Adventures help get year round,"['starry', 'backcountry', 'nights', 'cozy', 'rustic', 'shelters', 'got', 'Adventures', 'help', 'get', 'year', 'round']","[u'starri', u'backcountri', u'night', u'cozi', u'rustic', u'shelter', u'got', u'adventur', u'help', u'get', u'year', u'round']","From starry backcountry nights to cozy rustic shelters, we’ve got 10 #WinterCamping Adventures to help you get your #campvibes on all year round! ⛺️  @ExploreCanada
https://t.co/82ikpjBdX1 https://t.co/fmWLDZRkJl"
21,21,945786337256509442,15,40,2017-12-26 22:40:09,"If you didn’t get the you were hoping for from this year, don’t worry – get a Family/Group pass for % off until December st!","['#DiscoveryPass', '#BoxingDay']",['https://t.co/vWeEooDPWo'],get hoping year worry get Family Group pass December st,"['get', 'hoping', 'year', 'worry', 'get', 'Family', 'Group', 'pass', 'December', 'st']","[u'get', u'hope', u'year', u'worri', u'get', u'famili', u'group', u'pass', u'decemb', 'st']","If you didn’t get the #DiscoveryPass you were hoping for from 🎅 this year, don’t worry – get a Family/Group pass for 20% off until December 31st! #BoxingDay https://t.co/vWeEooDPWo"
22,22,945746293065908224,16,31,2017-12-26 20:01:02,"Sometimes, the journey is the destination! Escape the ordinary at our places, like The Tenors did during their recent adventure.",['#exploreNL'],['https://t.co/R9Idz3ukVm'],Sometimes journey destination Escape ordinary places like Tenors recent adventure,"['Sometimes', 'journey', 'destination', 'Escape', 'ordinary', 'places', 'like', 'Tenors', 'recent', 'adventure']","[u'sometim', u'journey', u'destin', u'escap', u'ordinari', u'place', u'like', u'tenor', u'recent', u'adventur']","Sometimes, the journey is the destination! Escape the ordinary at our @ParksCanadaNL places, like The Tenors did during their recent adventure. 📷 @tomcochrane  @Canada #exploreNL https://t.co/R9Idz3ukVm"
23,23,945723483362865153,3,20,2017-12-26 18:30:23,Get outside this week and start eeriencing some of the benefits of connecting with nature!,"['#NatureForAll', '#GetOutdoors']","['https://t.co/OGEOCaWvQ7', 'https://t.co/62iUuCvECE']",Get outside week start eeriencing benefits connecting nature,"['Get', 'outside', 'week', 'start', 'eeriencing', 'benefits', 'connecting', 'nature']","[u'get', u'outsid', u'week', u'start', u'eerienc', u'benefit', u'connect', u'natur']","Get outside this week and start experiencing some of the benefits of connecting with nature! #NatureForAll #GetOutdoors

https://t.co/OGEOCaWvQ7 https://t.co/62iUuCvECE"
24,24,945702059235520512,3,28,2017-12-26 17:05:15,It’s ! Are you doing any eloring over your break? Share your photos! You can always use the break to plan your next adventure.,"['#TravelTuesday', '#winter', '#PlanAhead']",['https://t.co/NdiacoIXHK'],eloring break Share photos always use break plan next adventure,"['eloring', 'break', 'Share', 'photos', 'always', 'use', 'break', 'plan', 'next', 'adventure']","[u'elor', u'break', u'share', u'photo', u'alway', u'use', u'break', u'plan', u'next', u'adventur']",It’s #TravelTuesday! Are you doing any exploring over your #winter break? Share your photos! You can always use the break to plan your next adventure. #PlanAhead https://t.co/NdiacoIXHK
25,25,945660521977655297,37,169,2017-12-26 14:20:12,It’s ! We want to say thank YOU for making so amazing.,"['#ThankYouNoteDay', '#Canada150']",['https://t.co/cuqwmuN7Lh'],want say thank making amazing,"['want', 'say', 'thank', 'making', 'amazing']","[u'want', u'say', u'thank', u'make', u'amaz']",It’s #ThankYouNoteDay! We want to say thank YOU for making #Canada150 so amazing. ❤ https://t.co/cuqwmuN7Lh
26,26,945429071357468672,5,31,2017-12-25 23:00:30,"Winter activities by day , campfire stories by night ️: if you’ve never tried camping in the colder months before, you’re in for a treat! Here are Adventures to get you started! 1",['#WinterCamping'],"['https://t.co/82ikpjBdX', 'https://t.co/ceDO301Q9M']",Winter activities day campfire stories night never tried camping colder months treat Adventures get started,"['Winter', 'activities', 'day', 'campfire', 'stories', 'night', 'never', 'tried', 'camping', 'colder', 'months', 'treat', 'Adventures', 'get', 'started']","[u'winter', u'activ', u'day', u'campfir', u'stori', u'night', u'never', u'tri', u'camp', u'colder', u'month', u'treat', u'adventur', u'get', u'start']","Winter activities by day 🏒, campfire stories by night ⛺️: if you’ve never tried camping in the colder months before, you’re in for a treat! Here are 10 #WinterCamping Adventures to get you started! @CampInCanada
https://t.co/82ikpjBdX1 https://t.co/ceDO301Q9M"
27,27,945401294591754240,5,30,2017-12-25 21:10:07,"While you spend time with today, dream about your next together! Which of our places would you love to visit with family?","['#family', '#adventure', '#MotivationMonday']",['https://t.co/Q2aocbov6B'],spend time today dream next together places would love visit family,"['spend', 'time', 'today', 'dream', 'next', 'together', 'places', 'would', 'love', 'visit', 'family']","[u'spend', u'time', u'today', u'dream', u'next', u'togeth', u'place', u'would', u'love', u'visit', u'famili']","While you spend time with #family today, dream about your next #adventure together! Which of our places would you love to visit with family? #MotivationMonday https://t.co/Q2aocbov6B"
28,28,945281778432069632,14,55,2017-12-25 13:15:13,"!! This holiday season, spend time with family and friends, and enjoy nature together. How are you celebrating today?",['#MerryChristmas'],['https://t.co/WpsMlf3LTX'],holiday season spend time family friends enjoy nature together celebrating today,"['holiday', 'season', 'spend', 'time', 'family', 'friends', 'enjoy', 'nature', 'together', 'celebrating', 'today']","[u'holiday', u'season', u'spend', u'time', u'famili', u'friend', u'enjoy', u'natur', u'togeth', u'celebr', u'today']","#MerryChristmas!! 🎄🌟 This holiday season, spend time with family and friends, and enjoy nature together. How are you celebrating today? https://t.co/WpsMlf3LTX"
29,29,945098041731747840,18,77,2017-12-25 01:05:06,"‘Twas the night before , and all through the tundra, not a creature was stirring, not even a seal. Merry ! U0u","['#Christmas', '#ChristmasEve']",['https://t.co/7zHBTJa'],Twas night tundra creature stirring even seal Merry U0u,"['Twas', 'night', 'tundra', 'creature', 'stirring', 'even', 'seal', 'Merry', 'U0u']","[u'twas', u'night', u'tundra', u'creatur', u'stir', u'even', u'seal', u'merri', u'u0u']","‘Twas the night before #Christmas, and all through the tundra, not a creature was stirring, not even a seal. Merry #ChristmasEve! 🎄❄ https://t.co/7zHBTJaU0u"
30,30,945037653895974912,9,45,2017-12-24 21:05:09,"Over your break, we encourage you to sit back, relax, and watch cute videos! Check out our favourites playlist this : U","['#holiday', '#animal', '#wildlife', '#SubscriberSunday']","['https://t.co/kMuearyiv7', 'https://t.co/hTu4Dsc6A']",break encourage sit back relax watch cute videos Check favourites playlist,"['break', 'encourage', 'sit', 'back', 'relax', 'watch', 'cute', 'videos', 'Check', 'favourites', 'playlist']","[u'break', u'encourag', u'sit', u'back', u'relax', u'watch', u'cute', u'video', u'check', u'favourit', u'playlist']","Over your #holiday break, we encourage you to sit back, relax, and watch cute #animal videos! Check out our #wildlife favourites playlist this #SubscriberSunday: https://t.co/kMuearyiv7 https://t.co/hTu4Dsc6AU"
31,31,945003668822216705,9,32,2017-12-24 18:50:06,"wishes everyone a safe and happy holiday season! Follow their , GRASSLANDS STYLE","['#GrasslandsNP', '#12DaysOfChristmas', '#Holidays', '#HappyHolidays']",['https://t.co/RiFTAYlsHH'],wishes everyone safe happy holiday season Follow GRASSLANDS STYLE,"['wishes', 'everyone', 'safe', 'happy', 'holiday', 'season', 'Follow', 'GRASSLANDS', 'STYLE']","[u'wish', u'everyon', u'safe', u'happi', u'holiday', u'season', u'follow', u'grassland', u'style']","#GrasslandsNP wishes everyone a safe and happy holiday season! Follow their #12DaysOfChristmas, GRASSLANDS STYLE @ParksCanada_SK  #Holidays #HappyHolidays https://t.co/RiFTAYlsHH"
32,32,944945882650333184,8,39,2017-12-24 15:00:29,"Are you an eert backcountry winter camper? The NHS offers a , unpatrolled wilderness where in winter, you can pitch your tent wherever you please. 1","['#ChilkootTrail', '#WildAndFree', '#WinterCamping', '#ExploreYukon']","['https://t.co/82ikpjBdX', 'https://t.co/iseFdWbksE']",eert backcountry winter camper NHS offers unpatrolled wilderness winter pitch tent wherever please,"['eert', 'backcountry', 'winter', 'camper', 'NHS', 'offers', 'unpatrolled', 'wilderness', 'winter', 'pitch', 'tent', 'wherever', 'please']","[u'eert', u'backcountri', u'winter', u'camper', u'nhs', u'offer', u'unpatrol', u'wilder', u'winter', u'pitch', u'tent', u'wherev', u'pleas']","Are you an expert backcountry winter camper? ⛺ The #ChilkootTrail NHS offers a #WildAndFree, unpatrolled wilderness where in winter, you can pitch your tent wherever you please. #WinterCamping  @ParksCanYukon #ExploreYukon 
https://t.co/82ikpjBdX1 https://t.co/iseFdWbksE"
33,33,944913072635957248,10,40,2017-12-24 12:50:06,"will be all about family fun, so why not practice now? Get the whole family out skating and share your photos, we you!!",['#ParksChallenge'],['https://t.co/1p1k3evu0b'],family fun practice Get whole family skating share photos,"['family', 'fun', 'practice', 'Get', 'whole', 'family', 'skating', 'share', 'photos']","[u'famili', u'fun', u'practic', u'get', u'whole', u'famili', u'skate', u'share', u'photo']","2018 will be all about family fun, so why not practice now? Get the whole family out skating and share your photos, we #ParksChallenge you!! https://t.co/1p1k3evu0b"
34,34,944757065456783360,5,27,2017-12-24 02:30:11,"Looking for a wilderness escape in ? At , listen to crash against granite shores and hike the boundless boreal forest beyond. d","['#LakeSuperior', '#HiddenGems', '#wildernessculture', '#DiscoverON']","['https://t.co/2o7V4cpkB', 'https://t.co/NwQA3vuL1w']",Looking wilderness escape listen crash granite shores hike boundless boreal forest beyond,"['Looking', 'wilderness', 'escape', 'listen', 'crash', 'granite', 'shores', 'hike', 'boundless', 'boreal', 'forest', 'beyond']","[u'look', u'wilder', u'escap', u'listen', u'crash', u'granit', u'shore', u'hike', u'boundless', u'boreal', u'forest', u'beyond']","Looking for a wilderness escape in 2018? At @PukaskwaNP, listen to #LakeSuperior crash against granite shores and hike the boundless boreal forest beyond.
#HiddenGems💎 #wildernessculture #DiscoverON
https://t.co/2o7V4cpkBd https://t.co/NwQA3vuL1w"
35,35,944695389529296902,0,9,2017-12-23 22:25:07,Happy ! Discover 🇨🇦’s roots firsthand and elore a national historic site near you:,['#RootsDay'],"['https://t.co/q55mHP8b6R', 'https://t.co/zDPeLYqoQw']",Happy Discover roots firsthand elore national historic site near,"['Happy', 'Discover', 'roots', 'firsthand', 'elore', 'national', 'historic', 'site', 'near']","[u'happi', u'discov', u'root', u'firsthand', u'elor', u'nation', u'histor', u'site', u'near']",Happy #RootsDay! Discover 🇨🇦’s roots firsthand and explore a national historic site near you: https://t.co/q55mHP8b6R https://t.co/zDPeLYqoQw
36,36,944641287092875264,3,25,2017-12-23 18:50:08,"Canada is filled with so many cool things to do and places that make you say ""Wow""! Come and eerience some of our ! d","['#HiddenGems', '#2018StartsNow']","['https://t.co/2o7V4cpkB', 'https://t.co/rK368w4Sr7']",Canada filled many cool things places make say Wow Come eerience,"['Canada', 'filled', 'many', 'cool', 'things', 'places', 'make', 'say', 'Wow', 'Come', 'eerience']","[u'canada', u'fill', u'mani', u'cool', u'thing', u'place', u'make', u'say', u'wow', u'come', u'eerienc']","Canada is filled with so many cool things to do and places that make you say 😍 ""Wow""!  Come and experience some of our #HiddenGems! 💎 #2018StartsNow @Canada
https://t.co/2o7V4cpkBd https://t.co/rK368w4Sr7"
37,37,944609856052518914,14,62,2017-12-23 16:45:14,"From starry backcountry nights to cozy rustic shelters, we’ve got Adventures to help you get your on all year round! ️ 1","['#WinterCamping', '#campvibes']","['https://t.co/82ikpjBdX', 'https://t.co/w3EZAqE9qS']",starry backcountry nights cozy rustic shelters got Adventures help get year round,"['starry', 'backcountry', 'nights', 'cozy', 'rustic', 'shelters', 'got', 'Adventures', 'help', 'get', 'year', 'round']","[u'starri', u'backcountri', u'night', u'cozi', u'rustic', u'shelter', u'got', u'adventur', u'help', u'get', u'year', u'round']","From starry backcountry nights to cozy rustic shelters, we’ve got 10 #WinterCamping Adventures to help you get your #campvibes on all year round! ⛺️ @ExploreCanada
https://t.co/82ikpjBdX1 https://t.co/w3EZAqE9qS"
38,38,944583685638107136,6,37,2017-12-23 15:01:14,Thinking of ? How about our in January!,"['#NewYearResolutions', '#NewYearReservations', '#2018camping']","['https://t.co/ePsOQZnx5q', 'https://t.co/WX45Tmssb5']",Thinking January,"['Thinking', 'January']","[u'think', u'januari']",Thinking of #NewYearResolutions? How about our #NewYearReservations in January! https://t.co/ePsOQZnx5q ⛺ #2018camping https://t.co/WX45Tmssb5
