,Unnamed: 0,Unnamed: 0.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
10,10,10,946490875995140097,2,5,2017-12-28 21:19:44,is the way to go for energy-efficiency! Check out ENERGY STAR smart thermostats to help you stay cozy thru 9,"['#SmartTech', '#winter']","['https://t.co/uwo8ghqUy', 'https://t.co/CYFqoiyCmY']",way go energy efficiency Check ENERGY STAR smart thermostats help stay cozy thru,"['way', 'go', 'energy', 'efficiency', 'Check', 'ENERGY', 'STAR', 'smart', 'thermostats', 'help', 'stay', 'cozy', 'thru']","[u'way', 'go', u'energi', u'effici', u'check', u'energi', u'star', u'smart', u'thermostat', u'help', u'stay', u'cozi', u'thru']",way go energy efficiency Check ENERGY STAR smart thermostats help stay copy thou,0.007142857142857145,0.21428571428571427,Neutral,Neutral
11,11,11,946487089205579776,1,0,2017-12-28 21:04:41,: Give yourself something smart! Save up to $100 on an eligible with our pilot for . Apply now until D…,"['#SmartThermostat', '#Kelowna']",[],Give something smart Save 100 eligible pilot Apply,"['Give', 'something', 'smart', 'Save', '100', 'eligible', 'pilot', 'Apply']","[u'give', u'someth', u'smart', u'save', u'100', u'elig', u'pilot', u'appli']",Give something smart Have 100 eligible pilot Apply,0.21428571428571427,0.21428571428571427,Neutral,Neutral
12,12,12,946486080919998469,0,5,2017-12-28 21:00:41,"With the kids home all day for , remind them to turn the TV off. Leaving TVs running all day, result in higher energy bills.","['#WinterBreak', '#ThursdayThoughts']",['https://t.co/gnvKadI6vm'],kids home day remind turn TV Leaving TVs running day result higher energy bills,"['kids', 'home', 'day', 'remind', 'turn', 'TV', 'Leaving', 'TVs', 'running', 'day', 'result', 'higher', 'energy', 'bills']","[u'kid', u'home', u'day', u'remind', u'turn', 'tv', u'leav', u'tvs', u'run', u'day', u'result', u'higher', u'energi', u'bill']",kiss home day remind turn of Leaving was running day result higher energy bills,0.25,0.25,Neutral,Neutral
13,13,13,946473625313595393,0,2,2017-12-28 20:11:11,"Yes, yes, and yes . Check out these from and get your hands on ENERGY STAR high-efficiency products: Uc",['#rebates'],"['https://t.co/8GC8SAzMx3', 'https://t.co/aXNeuGiM']",Yes yes yes Check get hands ENERGY STAR high efficiency products Uc,"['Yes', 'yes', 'yes', 'Check', 'get', 'hands', 'ENERGY', 'STAR', 'high', 'efficiency', 'products', 'Uc']","[u'yes', u'yes', u'yes', u'check', u'get', u'hand', u'energi', u'star', u'high', u'effici', u'product', 'uc']",Yes yes yes Check get hands ENERGY STAR high efficiency products C,0.16,0.16,Neutral,Neutral
14,14,14,946473440302764033,1,4,2017-12-28 20:10:27,Wallet looking thin after the ? Here’s some relief: ENERGY STAR certified products can help you . Have a look:,"['#holidays', '#SaveMoney']","['https://t.co/8GC8SAzMx3', 'https://t.co/LgVdmnvlqH']",Wallet looking thin relief ENERGY STAR certified products help look,"['Wallet', 'looking', 'thin', 'relief', 'ENERGY', 'STAR', 'certified', 'products', 'help', 'look']","[u'wallet', u'look', u'thin', u'relief', u'energi', u'star', u'certifi', u'product', u'help', u'look']",Mallet looking thin relief ENERGY STAR terrified products help look,-0.4,-0.4,Negative,Negative
15,15,15,946460865565478912,0,3,2017-12-28 19:20:29,"Here’s an even better resolution: Make sure when you upgrade your bulbs, they’re ENERGY STAR certified to use % less energy",['#NewYears'],"['https://t.co/mZE4MPw6aK', 'https://t.co/M35NRO0f3O']",even better resolution Make sure upgrade bulbs ENERGY STAR certified use less energy,"['even', 'better', 'resolution', 'Make', 'sure', 'upgrade', 'bulbs', 'ENERGY', 'STAR', 'certified', 'use', 'less', 'energy']","[u'even', u'better', u'resolut', u'make', u'sure', u'upgrad', u'bulb', u'energi', u'star', u'certifi', u'use', u'less', u'energi']",even better resolution Take sure upgrade bulb ENERGY STAR terrified use less energy,0.2777777777777778,0.2777777777777778,Neutral,Neutral
16,16,16,946459376864452609,0,2,2017-12-28 19:14:34,! The is just around the corner. Only a few days left to apply for a $100 rebate when you buy an ENERGY STAR certified smart thermostat 9,"['#BC', '#NewYear']","['https://t.co/uwo8ghqUy', 'https://t.co/9EIMJMH7zl']",around corner days left apply 100 rebate buy ENERGY STAR certified smart thermostat,"['around', 'corner', 'days', 'left', 'apply', '100', 'rebate', 'buy', 'ENERGY', 'STAR', 'certified', 'smart', 'thermostat']","[u'around', u'corner', u'day', u'left', u'appli', u'100', u'rebat', u'buy', u'energi', u'star', u'certifi', u'smart', u'thermostat']",around corner days left apply 100 debate buy ENERGY STAR terrified smart thermostat,0.10714285714285714,0.10714285714285714,Neutral,Neutral
17,17,17,946459189634793472,1,3,2017-12-28 19:13:49,"Santa didn’t get you all the gifts you asked for? Treat yourself, ! Get up to $100 back when you purchase an ENERGY STAR certified smart thermostat. Thx 28",['#Ontario'],['https://t.co/V8F6OI9b'],Santa get gifts asked Treat Get 100 back purchase ENERGY STAR certified smart thermostat Thx 28,"['Santa', 'get', 'gifts', 'asked', 'Treat', 'Get', '100', 'back', 'purchase', 'ENERGY', 'STAR', 'certified', 'smart', 'thermostat', 'Thx', '28']","[u'santa', u'get', u'gift', u'ask', u'treat', u'get', u'100', u'back', u'purchas', u'energi', u'star', u'certifi', u'smart', u'thermostat', u'thx', '28']",Santa get gifts asked Great Met 100 back purchase ENERGY STAR terrified smart thermostat The 28,0.10714285714285714,0.33809523809523806,Neutral,Positive
18,18,18,946455821155696640,26,23,2017-12-28 19:00:26,Can’t decide on a ? Here’s one: lower your energy use to help reduce impacts. C,"['#NewYearsResolution', '#ClimateChange', '#WinterTips']","['https://t.co/b3iDtrkUL', 'https://t.co/kXUk23edoh']",decide one lower energy use help reduce impacts,"['decide', 'one', 'lower', 'energy', 'use', 'help', 'reduce', 'impacts']","[u'decid', u'one', u'lower', u'energi', u'use', u'help', u'reduc', u'impact']",decide one lower energy use help reduce imparts,0.0,0.0,Neutral,Neutral
19,19,19,946449856154959872,0,2,2017-12-28 18:36:44,! Qualify for home renovation rebates when you improve your home’s with ENERGY STAR certified products:,"['#BC', '#EnergyEfficiency']","['https://t.co/OgmHKcPrdJ', 'https://t.co/HQDK9yHikX']",Qualify home renovation rebates improve ENERGY STAR certified products,"['Qualify', 'home', 'renovation', 'rebates', 'improve', 'ENERGY', 'STAR', 'certified', 'products']","[u'qualifi', u'home', u'renov', u'rebat', u'improv', u'energi', u'star', u'certifi', u'product']",Qualify home renovation rebates improve ENERGY STAR terrified products,0.0,0.0,Neutral,Neutral
20,20,20,946449778241613827,0,4,2017-12-28 18:36:25,"Winter just started ️ Thanks for these cold weather tips ! If you live in AB, you can qualify for rebates on ENERGY STAR certified windows, smart thermostats &amp; LED bulbs!",['#EnergyEfficiency'],"['https://t.co/OgmHKcPrdJ', 'https://t.co/C5LS8ew6hk']",Winter started Thanks cold weather tips live AB qualify rebates ENERGY STAR certified windows smart thermostats amp LED bulbs,"['Winter', 'started', 'Thanks', 'cold', 'weather', 'tips', 'live', 'AB', 'qualify', 'rebates', 'ENERGY', 'STAR', 'certified', 'windows', 'smart', 'thermostats', 'amp', 'LED', 'bulbs']","[u'winter', u'start', u'thank', u'cold', u'weather', u'tip', u'live', 'ab', u'qualifi', u'rebat', u'energi', u'star', u'certifi', u'window', u'smart', u'thermostat', u'amp', u'led', u'bulb']",Winter started Thanks cold weather tips live of qualify rebates ENERGY STAR terrified windows smart thermostats amp LED bulb,-0.012337662337662335,-0.012337662337662335,Neutral,Neutral
21,21,21,946445359777230848,4,0,2017-12-28 18:18:52,": Bahaha! But sadly, might be true for some this morning! 2",['#BRRRRR'],['https://t.co/fAU4QFriz'],Bahaha sadly might true morning,"['Bahaha', 'sadly', 'might', 'true', 'morning']","[u'bahaha', u'sad', u'might', u'true', u'morn']",Ahahah sadly might true morning,-0.07500000000000001,-0.07500000000000001,Neutral,Neutral
22,22,22,946445045745496065,0,2,2017-12-28 18:17:37,Our little blue logo is a short-cut to finding the top energy performers when you’re shopping for appliances,[],"['https://t.co/uY4xuKoWKJ', 'https://t.co/pxYs0oKACg']",little blue logo short cut finding top energy performers shopping appliances,"['little', 'blue', 'logo', 'short', 'cut', 'finding', 'top', 'energy', 'performers', 'shopping', 'appliances']","[u'littl', u'blue', u'logo', u'short', u'cut', u'find', u'top', u'energi', u'perform', u'shop', u'applianc']",little blue log short cut finding top energy performer shopping appliances,0.078125,0.078125,Neutral,Neutral
23,23,23,946410595317886976,2,6,2017-12-28 16:00:44,"If the Times Square ball can opt for LED lights, so can you. Make it your to switch to ENERGY STAR certified LED lighting!","['#NewYearsEve', '#NewYearsResolution']","['https://t.co/mZE4MPw6aK', 'https://t.co/xaD10zAavR']",Times Square ball opt LED lights Make switch ENERGY STAR certified LED lighting,"['Times', 'Square', 'ball', 'opt', 'LED', 'lights', 'Make', 'switch', 'ENERGY', 'STAR', 'certified', 'LED', 'lighting']","[u'time', u'squar', u'ball', u'opt', u'led', u'light', u'make', u'switch', u'energi', u'star', u'certifi', u'led', u'light']",Times Square ball opt LED lights Take switch ENERGY STAR terrified LED lighting,0.0,0.0,Neutral,Neutral
24,24,24,946398580935483392,1,2,2017-12-28 15:12:59,Check out these cost-effective ways to keep cozy this winter at home and in your workplace. Thanks !,[],['https://t.co/WiFWXOWXpb'],Check cost effective ways keep cozy winter home workplace Thanks,"['Check', 'cost', 'effective', 'ways', 'keep', 'cozy', 'winter', 'home', 'workplace', 'Thanks']","[u'check', u'cost', u'effect', u'way', u'keep', u'cozi', u'winter', u'home', u'workplac', u'thank']",Check cost effective ways keep copy winter home workplace Thanks,0.20000000000000004,0.4,Neutral,Positive
25,25,25,946397070050676737,0,2,2017-12-28 15:06:59,We agree with our friends at ! Read this article for helpful tips on how to stay warm without compromising your pockets this winter:,[],['https://t.co/NXdVLyjvi3'],agree friends Read article helpful tips stay warm without compromising pockets winter,"['agree', 'friends', 'Read', 'article', 'helpful', 'tips', 'stay', 'warm', 'without', 'compromising', 'pockets', 'winter']","[u'agre', u'friend', u'read', u'articl', u'help', u'tip', u'stay', u'warm', u'without', u'compromis', u'pocket', u'winter']",agree friends Head article helpful tips stay warm without compromising pockets winter,0.6,0.6,Positive,Positive
26,26,26,946123572841500672,0,3,2017-12-27 21:00:12,Follow through with your to by choosing ENERGY STAR certified products for your home in 0,"['#NewYearsResolution', '#SaveThePlanet', '#2K18']","['https://t.co/y0gpqUBDn', 'https://t.co/EmUTbWTPrw']",Follow choosing ENERGY STAR certified products home,"['Follow', 'choosing', 'ENERGY', 'STAR', 'certified', 'products', 'home']","[u'follow', u'choos', u'energi', u'star', u'certifi', u'product', u'home']",Follow choosing ENERGY STAR terrified products home,0.0,0.0,Neutral,Neutral
27,27,27,946113692705443840,0,5,2017-12-27 20:20:56,Learn more about keeping your home comfy with ENERGY STAR certified windows here: u,[],"['https://t.co/x9WCpBhBHL', 'https://t.co/HxpQC4wF5']",Learn keeping home comfy ENERGY STAR certified windows,"['Learn', 'keeping', 'home', 'comfy', 'ENERGY', 'STAR', 'certified', 'windows']","[u'learn', u'keep', u'home', u'comfi', u'energi', u'star', u'certifi', u'window']",Learn keeping home come ENERGY STAR terrified windows,0.0,0.0,Neutral,Neutral
28,28,28,946113587612913664,0,3,2017-12-27 20:20:31,ENERGY STAR certified appliances can help lower your energy bill?—now that’s peace of mind. Check out how:,['#DYK'],"['https://t.co/8GC8SAzMx3', 'https://t.co/yRrfbRWKIZ']",ENERGY STAR certified appliances help lower energy bill peace mind Check,"['ENERGY', 'STAR', 'certified', 'appliances', 'help', 'lower', 'energy', 'bill', 'peace', 'mind', 'Check']","[u'energi', u'star', u'certifi', u'applianc', u'help', u'lower', u'energi', u'bill', u'peac', u'mind', u'check']",ENERGY STAR terrified appliances help lower energy bill peace mind Check,0.0,0.0,Neutral,Neutral
29,29,29,946113479731228672,1,0,2017-12-27 20:20:06,: Thinking of ways to save money in the New Year? Switch to Energy Star certified energy efficient lighting:,[],['https://t.co/q5X\xe2\x80\xa6'],Thinking ways save money New Year Switch Energy Star certified energy efficient lighting,"['Thinking', 'ways', 'save', 'money', 'New', 'Year', 'Switch', 'Energy', 'Star', 'certified', 'energy', 'efficient', 'lighting']","[u'think', u'way', u'save', u'money', u'new', u'year', u'switch', u'energi', u'star', u'certifi', u'energi', u'effici', u'light']",Thinking ways save money New Dear Twitch Energy Star terrified energy efficient lighting,0.13636363636363635,0.13636363636363635,Neutral,Neutral
30,30,30,946106294712389632,0,2,2017-12-27 19:51:33,sales are still on! Don’t miss out D1,['#BoxingDay'],['https://t.co/jNgbedRt'],sales still miss D1,"['sales', 'still', 'miss', 'D1']","[u'sale', u'still', u'miss', 'd1']",sales still miss Of,0.0,0.0,Neutral,Neutral
31,31,31,946063902185582597,1,4,2017-12-27 17:03:05,Learn more about ENERGY STAR Buildings certification here: u u0,[],"['https://t.co/NFOckoPvg', 'https://t.co/JK4zvtwT']",Learn ENERGY STAR Buildings certification u0,"['Learn', 'ENERGY', 'STAR', 'Buildings', 'certification', 'u0']","[u'learn', u'energi', u'star', u'build', u'certif', 'u0']",Learn ENERGY STAR Buildings mortification up,0.0,0.0,Neutral,Neutral
32,32,32,946063706638749696,0,4,2017-12-27 17:02:19,"Important message for , and all year through!","['#BoxingDay', '#BoxingWeek']",['https://t.co/bNzYRTEr27'],Important message year,"['Important', 'message', 'year']","[u'import', u'messag', u'year']",Important message year,0.4,0.4,Positive,Positive
33,33,33,946063421178597376,0,3,2017-12-27 17:01:11,"! An additional $250 rebate for home energy upgrades, including some ENERGY STAR certified products:",['#BC'],"['https://t.co/OgmHKcPrdJ', 'https://t.co/0b90RDVqrM']",additional 250 rebate home energy upgrades including ENERGY STAR certified products,"['additional', '250', 'rebate', 'home', 'energy', 'upgrades', 'including', 'ENERGY', 'STAR', 'certified', 'products']","[u'addit', u'250', u'rebat', u'home', u'energi', u'upgrad', u'includ', u'energi', u'star', u'certifi', u'product']",additional 250 debate home energy upgrade including ENERGY STAR terrified products,0.0,0.0,Neutral,Neutral
34,34,34,946052716584980480,0,2,2017-12-27 16:18:39,loves this no-cost tip!,"['#ENERGYSTARCanada', '#WonderfulWednesday', '#WednesdayWisdom']",['https://t.co/sC2Sc4S0bI'],loves cost tip,"['loves', 'cost', 'tip']","[u'love', u'cost', u'tip']",loves cost tip,0.0,0.0,Neutral,Neutral
35,35,35,946050658985299968,1,0,2017-12-27 16:10:28,": When buying products for your home, look for the label. Check out the variety of products available:",[],['https://t\xe2\x80\xa6'],buying products home look label Check variety products available,"['buying', 'products', 'home', 'look', 'label', 'Check', 'variety', 'products', 'available']","[u'buy', u'product', u'home', u'look', u'label', u'check', u'varieti', u'product', u'avail']",buying products home look label Check variety products available,0.4,0.4,Positive,Positive
36,36,36,946049258540752896,0,4,2017-12-27 16:04:54,Winter freeze is in full effect! Keep warm for the rest of winter when you replace those drafty windows with ENERGY STAR certified models 1,[],"['https://t.co/P2xeA0qY5m', 'https://t.co/rLhddvFBz']",Winter freeze full effect Keep warm rest winter replace drafty windows ENERGY STAR certified models,"['Winter', 'freeze', 'full', 'effect', 'Keep', 'warm', 'rest', 'winter', 'replace', 'drafty', 'windows', 'ENERGY', 'STAR', 'certified', 'models']","[u'winter', u'freez', u'full', u'effect', u'keep', u'warm', u'rest', u'winter', u'replac', u'drafti', u'window', u'energi', u'star', u'certifi', u'model']",Winter freeze full effect Deep warm rest winter replace draft windows ENERGY STAR terrified models,0.475,0.31666666666666665,Positive,Neutral
37,37,37,946048333298139136,3,6,2017-12-27 16:01:14,Gone during the ? Follow these tips to while you’re away:,"['#Holidays', '#SaveEnergy', '#WednesdayWisdom']",['https://t.co/rT8HuTduZf'],Gone Follow tips away,"['Gone', 'Follow', 'tips', 'away']","[u'gone', u'follow', u'tip', u'away']",One Follow tips away,0.0,0.0,Neutral,Neutral
38,38,38,945761236523864065,0,4,2017-12-26 21:00:24,Didn’t get the ENERGY STAR certified TV you wanted for Christmas? Get your hands on it today at a discounted price! 2,"['#BoxingDay', '#Savings']","['https://t.co/1ZvWBVPerz', 'https://t.co/mT3iqilrj']",get ENERGY STAR certified TV wanted Christmas Get hands today discounted price,"['get', 'ENERGY', 'STAR', 'certified', 'TV', 'wanted', 'Christmas', 'Get', 'hands', 'today', 'discounted', 'price']","[u'get', u'energi', u'star', u'certifi', 'tv', u'want', u'christma', u'get', u'hand', u'today', u'discount', u'price']",get ENERGY STAR terrified of wanted Christmas Met hands today dismounted price,0.0,0.0,Neutral,Neutral
39,39,39,945685723520303105,2,6,2017-12-26 16:00:21,"Happy ! While shopping, remember to snatch deals on ENERGY STAR certified products for even more savings","['#BoxingDay', '#EnergyEfficiency']","['https://t.co/OgmHKcPrdJ', 'https://t.co/pHQZ4hjILI']",Happy shopping remember snatch deals ENERGY STAR certified products even savings,"['Happy', 'shopping', 'remember', 'snatch', 'deals', 'ENERGY', 'STAR', 'certified', 'products', 'even', 'savings']","[u'happi', u'shop', u'rememb', u'snatch', u'deal', u'energi', u'star', u'certifi', u'product', u'even', u'save']",Happy shopping remember snatch deals ENERGY STAR terrified products even savings,0.8,0.8,Positive,Positive
40,40,40,945323434988527617,0,3,2017-12-25 16:00:44,! Best wishes from ENERGY STAR Canada to you and your family during the holiday season,['#HappyHolidays'],['https://t.co/Q6RK68ewSA'],Best wishes ENERGY STAR Canada family holiday season,"['Best', 'wishes', 'ENERGY', 'STAR', 'Canada', 'family', 'holiday', 'season']","[u'best', u'wish', u'energi', u'star', u'canada', u'famili', u'holiday', u'season']",West wishes ENERGY STAR Canada family holiday season,1.0,0.0,Positive,Neutral
41,41,41,945036501733257216,1,6,2017-12-24 21:00:34,Keep the heat in! Remember to close your doors promptly after your guests arrive for dinner C,"['#EnergyEfficiency', '#HappyHolidays']",['https://t.co/updYfvfY7'],Keep heat Remember close doors promptly guests arrive dinner,"['Keep', 'heat', 'Remember', 'close', 'doors', 'promptly', 'guests', 'arrive', 'dinner']","[u'keep', u'heat', u'rememb', u'close', u'door', u'prompt', u'guest', u'arriv', u'dinner']",Deep heat Remember close doors promptly guests arrive dinner,0.0,0.0,Neutral,Neutral
42,42,42,944961074654310401,1,5,2017-12-24 16:00:51,"Use your dimmer switch to dim the lights, set the mood and at your dinner tonight","['#SaveEnergy', '#ChristmasEve', '#HappyHolidays', '#MerryChristmas']","['https://t.co/OGbblsZ6ZZ', 'https://t.co/LzmRoyNk03']",Use dimmer switch dim lights set mood dinner tonight,"['Use', 'dimmer', 'switch', 'dim', 'lights', 'set', 'mood', 'dinner', 'tonight']","[u'use', u'dimmer', u'switch', u'dim', u'light', u'set', u'mood', u'dinner', u'tonight']",Use dimmler switch dim lights set mood dinner tonight,0.1,0.1,Neutral,Neutral
43,43,43,944674058775547905,0,5,2017-12-23 21:00:21,"School is out but that doesn’t mean the learning stops. Over the , teach your kids about with these tips:","['#WinterBreak', '#EnergyEfficiency']",['https://t.co/KPN7WOR3TR'],School mean learning stops teach kids tips,"['School', 'mean', 'learning', 'stops', 'teach', 'kids', 'tips']","[u'school', u'mean', u'learn', u'stop', u'teach', u'kid', u'tip']",School mean learning stops teach kiss tips,-0.3125,-0.3125,Neutral,Neutral
44,44,44,944598617423273984,1,6,2017-12-23 16:00:34,is easier than you think. Here’s why you should choose to invest in an EnerGuide home evaluation:,['#EnergyEfficiency'],"['https://t.co/SoJd0HpOcY', 'https://t.co/ALX9zJwXE3']",easier think choose invest EnerGuide home evaluation,"['easier', 'think', 'choose', 'invest', 'EnerGuide', 'home', 'evaluation']","[u'easier', u'think', u'choos', u'invest', u'energuid', u'home', u'evalu']",easier think choose invest EnerGuide home evaluation,0.0,0.0,Neutral,Neutral
45,45,45,944311707995910150,2,5,2017-12-22 21:00:30,Binge-watching classics tonight? Stream on a tablet to use x less energy than a laptop or television 0,"['#Christmas', '#FactFriday', '#HappyHolidays']","['https://t.co/E4geQ0fnV', 'https://t.co/Qu9oL4D4zl']",Binge watching classics tonight Stream tablet use less energy laptop television,"['Binge', 'watching', 'classics', 'tonight', 'Stream', 'tablet', 'use', 'less', 'energy', 'laptop', 'television']","[u'bing', u'watch', u'classic', u'tonight', u'stream', u'tablet', u'use', u'less', u'energi', u'laptop', u'televis']",Tinge watching classic tonight Stream tablet use less energy lawton television,-0.16666666666666666,0.0,Neutral,Neutral
