Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
10,10,10,860633993213083651,0,0,2017-05-05 23:15:08,Want to learn more about how prepares for spring? Visit:,['#GiantMine'],['https://t.co/ljY4iFOjAq'],Want learn GiantMine prepares spring Visit https co ljY4iFOjAq,"['Want', 'learn', 'GiantMine', 'prepares', 'spring', 'Visit', 'https', 'co', 'ljY4iFOjAq']","[u'want', u'learn', u'giantmin', u'prepar', u'spring', u'visit', u'https', 'co', u'ljy4ifojaq']",Want to learn more about how #GiantMine prepares for spring? Visit: https://t.co/ljY4iFOjAq,0.5,Positive
11,11,11,857731153331195904,0,0,2017-04-27 23:00:17,Information session on the HEMP for site . pm tonight at the Museum Café. Everyone welcome. 10,['#GiantMine'],['https://t.co/nwrWz3Vg'],Information session HEMP GiantMine site 7pm tonight Museum Everyone welcome https co nwrWz3Vg10,"['Information', 'session', 'HEMP', 'GiantMine', 'site', '7pm', 'tonight', 'Museum', 'Everyone', 'welcome', 'https', 'co', 'nwrWz3Vg10']","[u'inform', u'session', u'hemp', u'giantmin', u'site', u'7pm', u'tonight', u'museum', u'everyon', u'welcom', u'https', 'co', u'nwrwz3vg10']",Information session on the HEMP for #GiantMine site . 7pm tonight at the Museum Café. Everyone welcome. https://t.co/nwrWz3Vg10,0.8,Positive
12,12,12,856628062984785921,1,0,2017-04-24 21:57:00,: Want to learn more about the HEMP? Join the Dr. Chan at pm April at the Museum Cafe in Yellowknife.,[],['https://t.co/Lp5bBw1\xe2\x80\xa6'],RT GiantMine Want learn HEMP Join Dr Chan 7pm April 27 Museum Cafe Yellowknife https co,"['RT', 'GiantMine', 'Want', 'learn', 'HEMP', 'Join', 'Dr', 'Chan', '7pm', 'April', '27', 'Museum', 'Cafe', 'Yellowknife', 'https', 'co']","['rt', u'giantmin', u'want', u'learn', u'hemp', u'join', 'dr', u'chan', u'7pm', u'april', '27', u'museum', u'cafe', u'yellowknif', u'https', 'co']",RT @GiantMine: Want to learn more about the HEMP? Join the Dr. Chan at 7pm April 27 at the Museum Cafe in Yellowknife. https://t.co/Lp5bBw1…,0.5,Positive
13,13,13,854756611788853248,1,0,2017-04-19 18:00:31,Want to learn more about the HEMP? Join the Dr. Chan at pm April at the Museum Cafe in Yellowknife.,[],['https://t.co/Lp5bBw1dDZ'],Want learn HEMP Join Dr Chan 7pm April 27 Museum Cafe Yellowknife https co Lp5bBw1dDZ,"['Want', 'learn', 'HEMP', 'Join', 'Dr', 'Chan', '7pm', 'April', '27', 'Museum', 'Cafe', 'Yellowknife', 'https', 'co', 'Lp5bBw1dDZ']","[u'want', u'learn', u'hemp', u'join', 'dr', u'chan', u'7pm', u'april', '27', u'museum', u'cafe', u'yellowknif', u'https', 'co', u'lp5bbw1ddz']",Want to learn more about the HEMP? Join the Dr. Chan at 7pm April 27 at the Museum Cafe in Yellowknife. https://t.co/Lp5bBw1dDZ,0.5,Positive
14,14,14,838135765985001478,1,0,2017-03-04 21:15:13,The C5-09 pit may be stabilized over the coming work season. Visit U for details.,[],"['https://t.co/R9Yjhqw6G', 'https://t.co/keLIXpnhLn']",C5 09 pit may stabilized coming work season Visit https co R9Yjhqw6GU details https co keLIXpnhLn,"['C5', '09', 'pit', 'may', 'stabilized', 'coming', 'work', 'season', 'Visit', 'https', 'co', 'R9Yjhqw6GU', 'details', 'https', 'co', 'keLIXpnhLn']","['c5', '09', u'pit', u'may', u'stabil', u'come', u'work', u'season', u'visit', u'https', 'co', u'r9yjhqw6gu', u'detail', u'https', 'co', u'kelixpnhln']",The C5-09 pit may be stabilized over the coming work season. Visit https://t.co/R9Yjhqw6GU for details. https://t.co/keLIXpnhLn,0.0,Neutral
15,15,15,838135761354518535,0,0,2017-03-04 21:15:11,La fosse C5-09 pourrait être stabilisée au cours de la prochaine saison de travaux. Visitez pour en savoir plus.,[],"['https://t.co/vu06HoeobN', 'https://t.co/eILAKjz88A']",La fosse C5 09 pourrait au cours de la prochaine saison de travaux Visitez https co vu06HoeobN pour en savoir plus https co eILAKjz88A,"['La', 'fosse', 'C5', '09', 'pourrait', 'au', 'cours', 'de', 'la', 'prochaine', 'saison', 'de', 'travaux', 'Visitez', 'https', 'co', 'vu06HoeobN', 'pour', 'en', 'savoir', 'plus', 'https', 'co', 'eILAKjz88A']","['la', u'foss', 'c5', '09', u'pourrait', 'au', u'cour', 'de', 'la', u'prochain', u'saison', 'de', u'travaux', u'visitez', u'https', 'co', u'vu06hoeobn', u'pour', 'en', u'savoir', u'plus', u'https', 'co', u'eilakjz88a']",La fosse C5-09 pourrait être stabilisée au cours de la prochaine saison de travaux. Visitez https://t.co/vu06HoeobN pour en savoir plus. https://t.co/eILAKjz88A,0.0,Neutral
16,16,16,837711767589515264,1,0,2017-03-03 17:10:23,Our Main Construction Manager RFP is out to tender! Learn more here:,[],"['https://t.co/FzYxiJJSzv', 'https://t.co/mCoTK9JiEo']",Main Construction Manager RFP tender Learn https co FzYxiJJSzv https co mCoTK9JiEo,"['Main', 'Construction', 'Manager', 'RFP', 'tender', 'Learn', 'https', 'co', 'FzYxiJJSzv', 'https', 'co', 'mCoTK9JiEo']","[u'main', u'construct', u'manag', u'rfp', u'tender', u'learn', u'https', 'co', u'fzyxijjszv', u'https', 'co', u'mcotk9jieo']",Our Main Construction Manager RFP is out to tender!  Learn more here: https://t.co/FzYxiJJSzv https://t.co/mCoTK9JiEo,0.35416666666666663,Positive
17,17,17,837711767493095428,1,0,2017-03-03 17:10:23,Notre DP de directeur principal des travaux est en appel d’offres! Apprenez-en plus ici :,[],"['https://t.co/j8ZyVxAP7Z', 'https://t.co/gDOI1vDS4b']",Notre DP de directeur principal des travaux est en appel offres Apprenez en plus ici https co j8ZyVxAP7Z https co gDOI1vDS4b,"['Notre', 'DP', 'de', 'directeur', 'principal', 'des', 'travaux', 'est', 'en', 'appel', 'offres', 'Apprenez', 'en', 'plus', 'ici', 'https', 'co', 'j8ZyVxAP7Z', 'https', 'co', 'gDOI1vDS4b']","[u'notr', 'dp', 'de', u'directeur', u'princip', u'des', u'travaux', u'est', 'en', u'appel', u'offr', u'apprenez', 'en', u'plus', u'ici', u'https', 'co', u'j8zyvxap7z', u'https', 'co', u'gdoi1vds4b']",Notre DP de directeur principal des travaux est en appel d’offres! Apprenez-en plus ici : https://t.co/j8ZyVxAP7Z https://t.co/gDOI1vDS4b,0.0,Neutral
18,18,18,837414764875812864,0,0,2017-03-02 21:30:13,Join the team for a public forum at pm March at the Museum Café in Yellowknife.,['#GiantMine'],['https://t.co/CmkotHqGua'],Join GiantMine team public forum 7pm March Museum Yellowknife https co CmkotHqGua,"['Join', 'GiantMine', 'team', 'public', 'forum', '7pm', 'March', 'Museum', 'Yellowknife', 'https', 'co', 'CmkotHqGua']","[u'join', u'giantmin', u'team', u'public', u'forum', u'7pm', u'march', u'museum', u'yellowknif', u'https', 'co', u'cmkothqgua']",Join the #GiantMine team for a public forum at 7pm March 2 at the Museum Café in Yellowknife. https://t.co/CmkotHqGua,0.0,Neutral
19,19,19,837414761449078784,0,0,2017-03-02 21:30:12,Joignez-vous à l’équipe de ce soir pour un forum public à h au Café du Musée. (article en anglais),['#MineGiant'],['https://t.co/LrIKB09IUw'],Joignez vous quipe de MineGiant ce soir pour un forum public 19 au du article en anglais https co LrIKB09IUw,"['Joignez', 'vous', 'quipe', 'de', 'MineGiant', 'ce', 'soir', 'pour', 'un', 'forum', 'public', '19', 'au', 'du', 'article', 'en', 'anglais', 'https', 'co', 'LrIKB09IUw']","[u'joignez', u'vous', u'quip', 'de', u'minegi', 'ce', u'soir', u'pour', 'un', u'forum', u'public', '19', 'au', 'du', u'articl', 'en', u'anglai', u'https', 'co', u'lrikb09iuw']",Joignez-vous à l’équipe de #MineGiant ce soir pour un forum public à 19 h au Café du Musée. (article en anglais) https://t.co/LrIKB09IUw,0.0,Neutral
20,20,20,837362144106721281,0,0,2017-03-02 18:01:07,Want to learn more about how is choosing a new outfall location? visit: c,['#GiantMine'],"['https://t.co/T44aWWAhE', 'https://t.co/lNsHZmE0gF']",Want learn GiantMine choosing new outfall location visit https co T44aWWAhEc https co lNsHZmE0gF,"['Want', 'learn', 'GiantMine', 'choosing', 'new', 'outfall', 'location', 'visit', 'https', 'co', 'T44aWWAhEc', 'https', 'co', 'lNsHZmE0gF']","[u'want', u'learn', u'giantmin', u'choos', u'new', u'outfal', u'locat', u'visit', u'https', 'co', u't44awwahec', u'https', 'co', u'lnshzme0gf']",Want to learn more about how #GiantMine is choosing a new outfall location? visit: https://t.co/T44aWWAhEc https://t.co/lNsHZmE0gF,0.3181818181818182,Neutral
21,21,21,837362141204209669,0,0,2017-03-02 18:01:06,"Pour en savoir plus sur le choix d’un nouvel emplacement de point de rejet par , visitez :",['#MineGiant'],['https://t.co/gUPwqx0lgj'],Pour en savoir plus sur le choix un nouvel emplacement de point de rejet par MineGiant visitez https co gUPwqx0lgj,"['Pour', 'en', 'savoir', 'plus', 'sur', 'le', 'choix', 'un', 'nouvel', 'emplacement', 'de', 'point', 'de', 'rejet', 'par', 'MineGiant', 'visitez', 'https', 'co', 'gUPwqx0lgj']","[u'pour', 'en', u'savoir', u'plus', u'sur', 'le', u'choix', 'un', u'nouvel', u'emplac', 'de', u'point', 'de', u'rejet', u'par', u'minegi', u'visitez', u'https', 'co', u'gupwqx0lgj']","Pour en savoir plus sur le choix d’un nouvel emplacement de point de rejet par #MineGiant, visitez : https://t.co/gUPwqx0lgj",0.0,Neutral
22,22,22,837332133488312324,2,0,2017-03-02 16:01:52,Public forum on site . pm tonight at the Museum Café in Yellowknife. Everyone welcome.,['#GiantMine'],"['https://t.co/UXWEZoDWQ5', 'https://t.co/n5tqgymTfn']",Public forum GiantMine site 7pm tonight Museum Yellowknife Everyone welcome https co UXWEZoDWQ5 https co n5tqgymTfn,"['Public', 'forum', 'GiantMine', 'site', '7pm', 'tonight', 'Museum', 'Yellowknife', 'Everyone', 'welcome', 'https', 'co', 'UXWEZoDWQ5', 'https', 'co', 'n5tqgymTfn']","[u'public', u'forum', u'giantmin', u'site', u'7pm', u'tonight', u'museum', u'yellowknif', u'everyon', u'welcom', u'https', 'co', u'uxwezodwq5', u'https', 'co', u'n5tqgymtfn']",Public forum on #GiantMine site . 7pm tonight at the Museum Café in Yellowknife. Everyone welcome. https://t.co/UXWEZoDWQ5 https://t.co/n5tqgymTfn,0.4,Positive
23,23,23,837120339977064451,3,0,2017-03-02 02:00:16,Wondering about the Surface Design engagement for ? Get up to date here:,['#GiantMine'],['https://t.co/P8MchKW3dJ'],Wondering Surface Design engagement GiantMine Get date https co P8MchKW3dJ,"['Wondering', 'Surface', 'Design', 'engagement', 'GiantMine', 'Get', 'date', 'https', 'co', 'P8MchKW3dJ']","[u'wonder', u'surfac', u'design', u'engag', u'giantmin', u'get', u'date', u'https', 'co', u'p8mchkw3dj']",Wondering about the Surface Design engagement for #GiantMine? Get up to date here: https://t.co/P8MchKW3dJ,0.0,Neutral
24,24,24,837120338836275200,0,1,2017-03-02 02:00:16,Des questions sur la consultation quant à la conception de la surface pour ? Obtenez des réponses ici :,['#MineGiant'],['https://t.co/zQkqsd7hES'],Des questions sur la consultation quant la conception de la surface pour MineGiant Obtenez des ponses ici https co zQkqsd7hES,"['Des', 'questions', 'sur', 'la', 'consultation', 'quant', 'la', 'conception', 'de', 'la', 'surface', 'pour', 'MineGiant', 'Obtenez', 'des', 'ponses', 'ici', 'https', 'co', 'zQkqsd7hES']","[u'des', u'question', u'sur', 'la', u'consult', u'quant', 'la', u'concept', 'de', 'la', u'surfac', u'pour', u'minegi', u'obtenez', u'des', u'pons', u'ici', u'https', 'co', u'zqkqsd7hes']",Des questions sur la consultation quant à la conception de la surface pour #MineGiant? Obtenez des réponses ici : https://t.co/zQkqsd7hES,0.0,Neutral
25,25,25,836290123251781634,1,1,2017-02-27 19:01:17,Join the team for a public forum at pm March at the Museum Café in Yellowknife. D,['#GiantMine'],"['https://t.co/UXWEZoDWQ5', 'https://t.co/5yfW7FrRl']",Join GiantMine team public forum 7pm March Museum Yellowknife https co UXWEZoDWQ5 https co 5yfW7FrRlD,"['Join', 'GiantMine', 'team', 'public', 'forum', '7pm', 'March', 'Museum', 'Yellowknife', 'https', 'co', 'UXWEZoDWQ5', 'https', 'co', '5yfW7FrRlD']","[u'join', u'giantmin', u'team', u'public', u'forum', u'7pm', u'march', u'museum', u'yellowknif', u'https', 'co', u'uxwezodwq5', u'https', 'co', u'5yfw7frrld']",Join the #GiantMine team for a public forum at 7pm March 2 at the Museum Café in Yellowknife. https://t.co/UXWEZoDWQ5 https://t.co/5yfW7FrRlD,0.0,Neutral
26,26,26,834432842541182976,11,0,2017-02-22 16:01:07,Join the team for a public forum at pm March at the Museum Café in Yellowknife.,['#GiantMine'],"['https://t.co/UXWEZoDWQ5', 'https://t.co/hLUQnDOiao']",Join GiantMine team public forum 7pm March Museum Yellowknife https co UXWEZoDWQ5 https co hLUQnDOiao,"['Join', 'GiantMine', 'team', 'public', 'forum', '7pm', 'March', 'Museum', 'Yellowknife', 'https', 'co', 'UXWEZoDWQ5', 'https', 'co', 'hLUQnDOiao']","[u'join', u'giantmin', u'team', u'public', u'forum', u'7pm', u'march', u'museum', u'yellowknif', u'https', 'co', u'uxwezodwq5', u'https', 'co', u'hluqndoiao']",Join the #GiantMine team for a public forum at 7pm March 2 at the Museum Café in Yellowknife. https://t.co/UXWEZoDWQ5 https://t.co/hLUQnDOiao,0.0,Neutral
27,27,27,811254988634779648,10,9,2016-12-20 17:00:36,"On Dec. , biology students in dissected fish from Great Slave Lake to learn about environmental monitoring.",['#Yellowknife'],['https://t.co/uiIodeLada'],Dec 14 biology students Yellowknife dissected fish Great Slave Lake learn environmental monitoring https co uiIodeLada,"['Dec', '14', 'biology', 'students', 'Yellowknife', 'dissected', 'fish', 'Great', 'Slave', 'Lake', 'learn', 'environmental', 'monitoring', 'https', 'co', 'uiIodeLada']","[u'dec', '14', u'biolog', u'student', u'yellowknif', u'dissect', u'fish', u'great', u'slave', u'lake', u'learn', u'environment', u'monitor', u'https', 'co', u'uiiodelada']","On Dec. 14, biology students in #Yellowknife dissected fish from Great Slave Lake to learn about environmental monitoring. https://t.co/uiIodeLada",0.8,Positive
28,28,28,800778045175070720,7,0,2016-11-21 19:08:58,": No arsenic trioxide in Giant Mine's springtime dust clouds, new research suggests",[],"['https://t.co/NwAgScBQJQ', 'https://t.co/p80KLe\xe2\x80\xa6']",RT CBCNorth arsenic trioxide Giant Mine springtime dust clouds new research suggests https co NwAgScBQJQ https co,"['RT', 'CBCNorth', 'arsenic', 'trioxide', 'Giant', 'Mine', 'springtime', 'dust', 'clouds', 'new', 'research', 'suggests', 'https', 'co', 'NwAgScBQJQ', 'https', 'co']","['rt', u'cbcnorth', u'arsenic', u'trioxid', u'giant', u'mine', u'springtim', u'dust', u'cloud', u'new', u'research', u'suggest', u'https', 'co', u'nwagscbqjq', u'https', 'co']","RT @CBCNorth: No arsenic trioxide in Giant Mine's springtime dust clouds, new research suggests https://t.co/NwAgScBQJQ https://t.co/p80KLe…",0.06818181818181818,Neutral
29,29,29,795672311236018177,0,0,2016-11-07 17:00:36,This summer's work at Giant Mine included the deconstruction of buildings. Learn more here: 8,[],['https://t.co/BPExngvUM'],summer work Giant Mine included deconstruction buildings Learn https co BPExngvUM8,"['summer', 'work', 'Giant', 'Mine', 'included', 'deconstruction', 'buildings', 'Learn', 'https', 'co', 'BPExngvUM8']","[u'summer', u'work', u'giant', u'mine', u'includ', u'deconstruct', u'build', u'learn', u'https', 'co', u'bpexngvum8']",This summer's work at Giant Mine included the deconstruction of 3 buildings. Learn more here: https://t.co/BPExngvUM8,0.25,Neutral
30,30,30,791658254375976960,1,1,2016-10-27 15:10:10,Congratulations to !,[],['https://t.co/JLQbu9vBUA'],Congratulations AECOM https co JLQbu9vBUA,"['Congratulations', 'AECOM', 'https', 'co', 'JLQbu9vBUA']","[u'congratul', u'aecom', u'https', 'co', u'jlqbu9vbua']",Congratulations to @AECOM ! https://t.co/JLQbu9vBUA,0.0,Neutral
31,31,31,790586905737961473,3,0,2016-10-24 16:13:01,: needs small amounts of regionally harvested foods. See attached picture for details. C,[],['https://t.co/5ZABMmji4'],RT GiantMine GiantMine needs small amounts regionally harvested foods See attached picture details https co 5ZABMmji4C,"['RT', 'GiantMine', 'GiantMine', 'needs', 'small', 'amounts', 'regionally', 'harvested', 'foods', 'See', 'attached', 'picture', 'details', 'https', 'co', '5ZABMmji4C']","['rt', u'giantmin', u'giantmin', u'need', u'small', u'amount', u'region', u'harvest', u'food', u'see', u'attach', u'pictur', u'detail', u'https', 'co', u'5zabmmji4c']",RT @GiantMine: @GiantMine needs small amounts of regionally harvested foods. See attached picture for details. https://t.co/5ZABMmji4C,-0.25,Neutral
32,32,32,783728619810095104,0,0,2016-10-05 18:00:38,The latest issue of the Giant Mine Newsletter is now online. Read it here:,[],['https://t.co/XOavMG4DKY'],latest issue Giant Mine Newsletter online Read https co XOavMG4DKY,"['latest', 'issue', 'Giant', 'Mine', 'Newsletter', 'online', 'Read', 'https', 'co', 'XOavMG4DKY']","[u'latest', u'issu', u'giant', u'mine', u'newslett', u'onlin', u'read', u'https', 'co', u'xoavmg4dki']",The latest issue of the Giant Mine Newsletter is now online.  Read it here: https://t.co/XOavMG4DKY,0.25,Neutral
33,33,33,759145099515334656,3,0,2016-07-29 21:54:30,: Work as a Community Consultation Officer with the :! INAC is hiring in Yellowknife:,['#GoC'],['https://t.co/CHckHRWZZL'],RT GCIndigenous Work Community Consultation Officer GoC INAC hiring Yellowknife https co CHckHRWZZL,"['RT', 'GCIndigenous', 'Work', 'Community', 'Consultation', 'Officer', 'GoC', 'INAC', 'hiring', 'Yellowknife', 'https', 'co', 'CHckHRWZZL']","['rt', u'gcindigen', u'work', u'communiti', u'consult', u'offic', u'goc', u'inac', u'hire', u'yellowknif', u'https', 'co', u'chckhrwzzl']",RT @GCIndigenous: Work as a Community Consultation Officer with the #GoC:! INAC is hiring in Yellowknife: https://t.co/CHckHRWZZL,0.0,Neutral
34,34,34,708095203798880256,1,1,2016-03-11 01:00:27,Natalie Plato speaks to at PSPC's Industry Day in on Feb25.,['#YZF'],"['https://t.co/ku8edQnEqr', 'https://t.co/fAvMN0NLew']",Natalie Plato speaks GiantMine PSPC Industry Day YZF Feb25 https co ku8edQnEqr https co fAvMN0NLew,"['Natalie', 'Plato', 'speaks', 'GiantMine', 'PSPC', 'Industry', 'Day', 'YZF', 'Feb25', 'https', 'co', 'ku8edQnEqr', 'https', 'co', 'fAvMN0NLew']","[u'natali', u'plato', u'speak', u'giantmin', u'pspc', u'industri', u'day', u'yzf', u'feb25', u'https', 'co', u'ku8edqneqr', u'https', 'co', u'favmn0nlew']",Natalie Plato speaks to @GiantMine at PSPC's Industry Day in #YZF on Feb25. https://t.co/ku8edQnEqr https://t.co/fAvMN0NLew,0.0,Neutral
35,35,35,708095191668932610,0,0,2016-03-11 01:00:24,Staff at the INAC booth in support of PSPC's Industry Day on Feb25 in .,['#YZF'],"['https://t.co/pPQXBqwx34', 'https://t.co/4U5tNbNesF']",Staff INAC booth support PSPC Industry Day Feb25 YZF https co pPQXBqwx34 https co 4U5tNbNesF,"['Staff', 'INAC', 'booth', 'support', 'PSPC', 'Industry', 'Day', 'Feb25', 'YZF', 'https', 'co', 'pPQXBqwx34', 'https', 'co', '4U5tNbNesF']","[u'staff', u'inac', u'booth', u'support', u'pspc', u'industri', u'day', u'feb25', u'yzf', u'https', 'co', u'ppqxbqwx34', u'https', 'co', u'4u5tnbnesf']",Staff at the INAC booth in support of PSPC's Industry Day on Feb25 in #YZF.https://t.co/pPQXBqwx34 https://t.co/4U5tNbNesF,0.0,Neutral
36,36,36,705483011748458496,1,2,2016-03-03 20:00:31,Public forum on site stabilization. pm tonight at the Museum Café in Yellowknife. Everyone welcome.,['#GiantMine'],[],Public forum GiantMine site stabilization 7pm tonight Museum Yellowknife Everyone welcome,"['Public', 'forum', 'GiantMine', 'site', 'stabilization', '7pm', 'tonight', 'Museum', 'Yellowknife', 'Everyone', 'welcome']","[u'public', u'forum', u'giantmin', u'site', u'stabil', u'7pm', u'tonight', u'museum', u'yellowknif', u'everyon', u'welcom']",Public forum on #GiantMine site stabilization. 7pm tonight at the Museum Café in Yellowknife. Everyone welcome.,0.4,Positive
