,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,Reactions_SUM,sentiment_score,sentiment_type
1136,1136,931951641208770566,2,0,2017-11-18 18:26:00,Join us this Sunday at the th Annual Hyde Creek Festival in c 9,"['#Salmon', '#PortCoquitlam']","['https://t.co/qgUEXZt46', 'https://t.co/96rxmx7Hr']",Join us Sunday 18th Annual Hyde Creek Salmon Festival PortCoquitlam https co qgUEXZt46c https co 96rxmx7Hr9,"['Join', 'us', 'Sunday', '18th', 'Annual', 'Hyde', 'Creek', 'Salmon', 'Festival', 'PortCoquitlam', 'https', 'co', 'qgUEXZt46c', 'https', 'co', '96rxmx7Hr9']","[u'join', 'us', u'sunday', u'18th', u'annual', u'hyde', u'creek', u'salmon', u'festiv', u'portcoquitlam', u'https', 'co', u'qguexzt46c', u'https', 'co', u'96rxmx7hr9']",Join us this Sunday at the 18th Annual Hyde Creek #Salmon Festival in #PortCoquitlam https://t.co/qgUEXZt46c https://t.co/96rxmx7Hr9,Environmental,en,2,0.0,Neutral
1137,1137,685606292195569664,2,0,2016-01-08 23:37:32,New Red Tide/PSP bivalve closure: Subarea -11. See all closures in effect:,['#shellfish'],"['https://t.co/0Ic1U7CWo3', 'https://t.co/DsTjqR4g4w']",New Red Tide PSP bivalve shellfish closure Subarea 25 11 See closures effect https co 0Ic1U7CWo3 https co DsTjqR4g4w,"['New', 'Red', 'Tide', 'PSP', 'bivalve', 'shellfish', 'closure', 'Subarea', '25', '11', 'See', 'closures', 'effect', 'https', 'co', '0Ic1U7CWo3', 'https', 'co', 'DsTjqR4g4w']","[u'new', u'red', u'tide', u'psp', u'bivalv', u'shellfish', u'closur', u'subarea', '25', '11', u'see', u'closur', u'effect', u'https', 'co', u'0ic1u7cwo3', u'https', 'co', u'dstjqr4g4w']",New Red Tide/PSP bivalve #shellfish closure: Subarea 25-11. See all closures in effect: https://t.co/0Ic1U7CWo3 https://t.co/DsTjqR4g4w,Social,en,2,0.06818181818181818,Neutral
1138,1138,839609157724565504,1,1,2017-03-08 22:49:57,We're celebrating this,"['#WomenInScience', '#InternationalWomensDay', '#IWD2017']",['https://t.co/VFivAaytaM'],celebrating WomenInScience InternationalWomensDay IWD2017 https co VFivAaytaM,"['celebrating', 'WomenInScience', 'InternationalWomensDay', 'IWD2017', 'https', 'co', 'VFivAaytaM']","[u'celebr', u'womeninsci', u'internationalwomensday', u'iwd2017', u'https', 'co', u'vfivaaytam']",We're celebrating #WomenInScience this #InternationalWomensDay #IWD2017 https://t.co/VFivAaytaM,Social,en,2,0.0,Neutral
1139,1139,770355163181776896,1,1,2016-08-29 20:19:18,"salmon update for Areas to , FN0914",['#FraserSockeye'],['https://t.co/zqNFLkd065'],FraserSockeye salmon update Areas 11 29 FN0914 https co zqNFLkd065,"['FraserSockeye', 'salmon', 'update', 'Areas', '11', '29', 'FN0914', 'https', 'co', 'zqNFLkd065']","[u'frasersockey', u'salmon', u'updat', u'area', '11', '29', u'fn0914', u'https', 'co', u'zqnflkd065']","#FraserSockeye salmon update for Areas 11 to 29, FN0914 https://t.co/zqNFLkd065",Environmental,en,2,0.0,Neutral
1140,1140,873316652917682176,1,1,2017-06-09 23:11:30,Get hooked on fishing. ’s Weekend is June -18,"['#BC', '#FamilyFishing']","['https://t.co/dMdVtmwq8Y', 'https://t.co/pAmkKgF1lb']",Get hooked fishing FamilyFishing Weekend June 16 18 https co dMdVtmwq8Y https co pAmkKgF1lb,"['Get', 'hooked', 'fishing', 'FamilyFishing', 'Weekend', 'June', '16', '18', 'https', 'co', 'dMdVtmwq8Y', 'https', 'co', 'pAmkKgF1lb']","[u'get', u'hook', u'fish', u'familyfish', u'weekend', u'june', '16', '18', u'https', 'co', u'dmdvtmwq8i', u'https', 'co', u'pamkkgf1lb']",Get hooked on fishing. #BC’s #FamilyFishing Weekend is June 16-18 https://t.co/dMdVtmwq8Y https://t.co/pAmkKgF1lb,Social,en,2,0.0,Neutral
1141,1141,946876122221961217,1,1,2017-12-29 22:50:34,"New Red Tide/PSP bivalve closures in areas , , , , , and . FN1314 Details:",['#shellfish'],['https://t.co/GYUmc8VWYa'],New Red Tide PSP bivalve shellfish closures areas 12 13 14 16 24 25 26 FN1314 Details https co GYUmc8VWYa,"['New', 'Red', 'Tide', 'PSP', 'bivalve', 'shellfish', 'closures', 'areas', '12', '13', '14', '16', '24', '25', '26', 'FN1314', 'Details', 'https', 'co', 'GYUmc8VWYa']","[u'new', u'red', u'tide', u'psp', u'bivalv', u'shellfish', u'closur', u'area', '12', '13', '14', '16', '24', '25', '26', u'fn1314', u'detail', u'https', 'co', u'gyumc8vwya']","New Red Tide/PSP bivalve #shellfish closures in areas 12, 13, 14, 16, 24, 25 and 26. FN1314 Details: https://t.co/GYUmc8VWYa",Social,en,2,0.06818181818181818,Neutral
1142,1142,771395865558867968,0,2,2016-09-01 17:14:40,"If you're going fishing this long weekend, plan ahead!",['#LabourDay'],"['https://t.co/YB3W744wdI', 'https://t.co/lVGLw5yBRX']",going fishing LabourDay long weekend plan ahead https co YB3W744wdI https co lVGLw5yBRX,"['going', 'fishing', 'LabourDay', 'long', 'weekend', 'plan', 'ahead', 'https', 'co', 'YB3W744wdI', 'https', 'co', 'lVGLw5yBRX']","[u'go', u'fish', u'labourday', u'long', u'weekend', u'plan', u'ahead', u'https', 'co', u'yb3w744wdi', u'https', 'co', u'lvglw5ybrx']","If you're going fishing this #LabourDay long weekend, plan ahead! 🎣 https://t.co/YB3W744wdI https://t.co/lVGLw5yBRX",Social,en,2,-0.0625,Neutral
1143,1143,872592780702384128,1,1,2017-06-07 23:15:05,What should you do if you accidentally catch a while fishing? Handling guidelines for recreational fishers,['#shark'],"['https://t.co/rwBEmw1PdN', 'https://t.co/qwno2gqvCh']",accidentally catch shark fishing Handling guidelines recreational fishers https co rwBEmw1PdN https co qwno2gqvCh,"['accidentally', 'catch', 'shark', 'fishing', 'Handling', 'guidelines', 'recreational', 'fishers', 'https', 'co', 'rwBEmw1PdN', 'https', 'co', 'qwno2gqvCh']","[u'accident', u'catch', u'shark', u'fish', u'handl', u'guidelin', u'recreat', u'fisher', u'https', 'co', u'rwbemw1pdn', u'https', 'co', u'qwno2gqvch']",What should you do if you accidentally catch a #shark while fishing? Handling guidelines for recreational fishers https://t.co/rwBEmw1PdN https://t.co/qwno2gqvCh,Environmental,en,2,0.0,Neutral
1144,1144,839997679946076160,2,0,2017-03-10 00:33:47,"New Sanitary Contamination closure: Area , West coast of Denman Island in Baynes Sound . See closure: c",['#shellfish'],"['https://t.co/CMeizpgXt', 'https://t.co/zQqnUZXoLV']",New Sanitary Contamination shellfish closure Area 14 West coast Denman Island Baynes Sound See closure https co CMeizpgXtc https co zQqnUZXoLV,"['New', 'Sanitary', 'Contamination', 'shellfish', 'closure', 'Area', '14', 'West', 'coast', 'Denman', 'Island', 'Baynes', 'Sound', 'See', 'closure', 'https', 'co', 'CMeizpgXtc', 'https', 'co', 'zQqnUZXoLV']","[u'new', u'sanitari', u'contamin', u'shellfish', u'closur', u'area', '14', u'west', u'coast', u'denman', u'island', u'bayn', u'sound', u'see', u'closur', u'https', 'co', u'cmeizpgxtc', u'https', 'co', u'zqqnuzxolv']","New Sanitary Contamination #shellfish closure: Area 14, West coast of Denman Island in Baynes Sound . See closure: https://t.co/CMeizpgXtc https://t.co/zQqnUZXoLV",Environmental,en,2,0.2681818181818182,Neutral
1145,1145,873993349602181122,1,1,2017-06-11 20:00:27,Have a go at fishing on weekend in,"['#FathersDay', '#BC']","['https://t.co/Y7QdeqdjFJ', 'https://t.co/BAeMJ51DkY']",go fishing FathersDay weekend BC https co Y7QdeqdjFJ https co BAeMJ51DkY,"['go', 'fishing', 'FathersDay', 'weekend', 'BC', 'https', 'co', 'Y7QdeqdjFJ', 'https', 'co', 'BAeMJ51DkY']","['go', u'fish', u'fathersday', u'weekend', 'bc', u'https', 'co', u'y7qdeqdjfj', u'https', 'co', u'baemj51dki']",Have a go at fishing on #FathersDay weekend in #BC https://t.co/Y7QdeqdjFJ https://t.co/BAeMJ51DkY,Social,en,2,0.0,Neutral
