,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,score,sentiment_score,sentiment_type
720,838132154026635266,3,2,2017-03-04 21:00:51,LED lights use % less energy &amp; last x longer? Make the switch to save more ! 9,"['#DYK', '#energy']","['https://t.co/4Nh5ATACWj', 'https://t.co/wTWenRRlb']",DYK LED lights use 75 less energy amp last 10x longer Make switch save energy https co 4Nh5ATACWj https co wTWenRRlb9,"['DYK', 'LED', 'lights', 'use', '75', 'less', 'energy', 'amp', 'last', '10x', 'longer', 'Make', 'switch', 'save', 'energy', 'https', 'co', '4Nh5ATACWj', 'https', 'co', 'wTWenRRlb9']","[u'dyk', u'led', u'light', u'use', '75', u'less', u'energi', u'amp', u'last', u'10x', u'longer', u'make', u'switch', u'save', u'energi', u'https', 'co', u'4nh5atacwj', u'https', 'co', u'wtwenrrlb9']",#DYK LED lights use 75% less energy &amp; last 10x longer? Make the switch to save more #energy! https://t.co/4Nh5ATACWj https://t.co/wTWenRRlb9,Economical,en,5,0.1527777777777778,Neutral
721,823274318222200836,3,2,2017-01-22 21:01:07,Find surprising with our online home heating system cost calculator! . 1,"['#energysavings', '#EnergyEfficiency']","['https://t.co/Fpkh99ryHa', 'https://t.co/8bBz3QBci']",Find surprising energysavings online home heating system cost calculator EnergyEfficiency https co Fpkh99ryHa https co 8bBz3QBci1,"['Find', 'surprising', 'energysavings', 'online', 'home', 'heating', 'system', 'cost', 'calculator', 'EnergyEfficiency', 'https', 'co', 'Fpkh99ryHa', 'https', 'co', '8bBz3QBci1']","[u'find', u'surpris', u'energysav', u'onlin', u'home', u'heat', u'system', u'cost', u'calcul', u'energyeffici', u'https', 'co', u'fpkh99ryha', u'https', 'co', u'8bbz3qbci1']",Find surprising #energysavings with our online home heating system cost calculator! #EnergyEfficiency. https://t.co/Fpkh99ryHa https://t.co/8bBz3QBci1,Economical,en,5,0.875,Positive
722,926177218354704385,2,3,2017-11-02 20:00:31,: Add it to the search for your dream home. Buy an ENERGY STAR home to,"['#EnergyEfficiency', '#SaveEnergy', '#ThursdayThought']","['https://t.co/2boTKYb1sf', 'https://t.co/YB1VkQ673h']",EnergyEfficiency Add search dream home Buy ENERGY STAR home SaveEnergy ThursdayThought https co 2boTKYb1sf https co YB1VkQ673h,"['EnergyEfficiency', 'Add', 'search', 'dream', 'home', 'Buy', 'ENERGY', 'STAR', 'home', 'SaveEnergy', 'ThursdayThought', 'https', 'co', '2boTKYb1sf', 'https', 'co', 'YB1VkQ673h']","[u'energyeffici', u'add', u'search', u'dream', u'home', u'buy', u'energi', u'star', u'home', u'saveenergi', u'thursdaythought', u'https', 'co', u'2botkyb1sf', u'https', 'co', u'yb1vkq673h']","#EnergyEfficiency: Add it to the search for your dream home. Buy an ENERGY STAR home to #SaveEnergy #ThursdayThought
https://t.co/2boTKYb1sf https://t.co/YB1VkQ673h",Economical,en,5,0.0,Neutral
723,925769376455905281,5,0,2017-11-01 16:59:53,: Pop Quiz! What are the benefits of using an certified ceiling fan? Find out here:,[],['https://t.co/upA5o51\xe2\x80\xa6'],RT SaveonEnergyOnt Pop Quiz benefits using certified ceiling fan Find https co,"['RT', 'SaveonEnergyOnt', 'Pop', 'Quiz', 'benefits', 'using', 'certified', 'ceiling', 'fan', 'Find', 'https', 'co']","['rt', u'saveonenergyont', u'pop', u'quiz', u'benefit', u'use', u'certifi', u'ceil', u'fan', u'find', u'https', 'co']",RT @SaveonEnergyOnt: Pop Quiz! What are the benefits of using an @ENERGYSTAR_CAN certified ceiling fan? Find out here: https://t.co/upA5o51…,Economical,en,5,0.0,Neutral
724,925704715358363648,0,5,2017-11-01 12:42:57,: Good news! Some ENERGY STAR cert heat pumps are eligible for this program! Check for details to start,"['#NL', '#saving']","['https://t.co/OgmHKcPrdJ', 'https://t.co/cXklXOMPKk']",NL Good news ENERGY STAR cert heat pumps eligible program Check details start saving https co OgmHKcPrdJ https co cXklXOMPKk,"['NL', 'Good', 'news', 'ENERGY', 'STAR', 'cert', 'heat', 'pumps', 'eligible', 'program', 'Check', 'details', 'start', 'saving', 'https', 'co', 'OgmHKcPrdJ', 'https', 'co', 'cXklXOMPKk']","['nl', u'good', u'news', u'energi', u'star', u'cert', u'heat', u'pump', u'elig', u'program', u'check', u'detail', u'start', u'save', u'https', 'co', u'ogmhkcprdj', u'https', 'co', u'cxklxompkk']",#NL: Good news! Some ENERGY STAR cert heat pumps are eligible for this program! Check for details to start #saving https://t.co/OgmHKcPrdJ https://t.co/cXklXOMPKk,Economical,en,5,1.0,Positive
725,939244343642247169,0,5,2017-12-08 21:24:36,—looking for ENERGY STAR certified products for the holidays? Get from ! u,"['#BC', '#rebates']","['https://t.co/uY4xuKoWKJ', 'https://t.co/8GSw2IhAt']",looking ENERGY STAR certified products holidays Get rebates FortisBC https co uY4xuKoWKJ https co 8GSw2IhAtu,"['looking', 'ENERGY', 'STAR', 'certified', 'products', 'holidays', 'Get', 'rebates', 'FortisBC', 'https', 'co', 'uY4xuKoWKJ', 'https', 'co', '8GSw2IhAtu']","[u'look', u'energi', u'star', u'certifi', u'product', u'holiday', u'get', u'rebat', u'fortisbc', u'https', 'co', u'uy4xukowkj', u'https', 'co', u'8gsw2ihatu']",#BC—looking for ENERGY STAR certified products for the holidays? Get #rebates from @FortisBC ! https://t.co/uY4xuKoWKJ https://t.co/8GSw2IhAtu,Economical,en,5,0.0,Neutral
726,842828248539119616,1,4,2017-03-17 20:01:28,"What do shamrocks, leprechauns &amp; products have in common? They’re all ! !","['#ENERGYSTARCanada', '#green', '#HappyStPatricksDay']","['https://t.co/pI1SCiM6xz', 'https://t.co/uwOZsD1725']",shamrocks leprechauns amp ENERGYSTARCanada products common green HappyStPatricksDay https co pI1SCiM6xz https co uwOZsD1725,"['shamrocks', 'leprechauns', 'amp', 'ENERGYSTARCanada', 'products', 'common', 'green', 'HappyStPatricksDay', 'https', 'co', 'pI1SCiM6xz', 'https', 'co', 'uwOZsD1725']","[u'shamrock', u'leprechaun', u'amp', u'energystarcanada', u'product', u'common', u'green', u'happystpatricksday', u'https', 'co', u'pi1scim6xz', u'https', 'co', u'uwozsd1725']","What do shamrocks, leprechauns &amp; #ENERGYSTARCanada products have in common? They’re all #green! #HappyStPatricksDay! https://t.co/pI1SCiM6xz https://t.co/uwOZsD1725",Economical,en,5,-0.30625,Neutral
727,788837028238598144,5,0,2016-10-19 20:19:38,": Recent poll: % answered correctly! LEDs can last ,000 hrs, work indoor &amp; out, be recycled &amp; save you $300/yr. https:/…",[],[],RT TorontoHydro Recent poll 83 answered correctly LEDs last 25 000 hrs work indoor amp recycled amp save 300 yr https,"['RT', 'TorontoHydro', 'Recent', 'poll', '83', 'answered', 'correctly', 'LEDs', 'last', '25', '000', 'hrs', 'work', 'indoor', 'amp', 'recycled', 'amp', 'save', '300', 'yr', 'https']","['rt', u'torontohydro', u'recent', u'poll', '83', u'answer', u'correct', u'led', u'last', '25', u'000', u'hrs', u'work', u'indoor', u'amp', u'recycl', u'amp', u'save', u'300', 'yr', u'https']","RT @TorontoHydro: Recent poll: 83% answered correctly! LEDs can last 25,000 hrs, work indoor &amp; out, be recycled &amp; save you $300/yr. https:/…",Environmental,en,5,0.0,Neutral
728,850419264695799808,1,4,2017-04-07 18:45:27,/3: Congrats to TO-based for its US EPA Award for outstanding achievement in energy efficiency,['#ENERGYSTARPOY'],[],Congrats based bkforevergreen US EPA ENERGYSTAR Award outstanding achievement energy efficiency ENERGYSTARPOY,"['Congrats', 'based', 'bkforevergreen', 'US', 'EPA', 'ENERGYSTAR', 'Award', 'outstanding', 'achievement', 'energy', 'efficiency', 'ENERGYSTARPOY']","[u'congrat', u'base', u'bkforevergreen', 'us', u'epa', u'energystar', u'award', u'outstand', u'achiev', u'energi', u'effici', u'energystarpoy']",1/3: Congrats to TO-based @bkforevergreen for its US EPA @ENERGYSTAR Award for outstanding achievement in energy efficiency #ENERGYSTARPOY,Economical,en,5,0.5,Positive
729,851521437387116544,1,4,2017-04-10 19:45:05,Great blog on saving gadgets! The th tip on appliances is our fave!,"['#energy', '#ENERGYSTARCanada']","['https://t.co/upQAzHqjO4', 'https://t.co/WBz0hag8jv']",Great blog energy saving gadgets 4th tip ENERGYSTARCanada appliances fave https co upQAzHqjO4 https co WBz0hag8jv,"['Great', 'blog', 'energy', 'saving', 'gadgets', '4th', 'tip', 'ENERGYSTARCanada', 'appliances', 'fave', 'https', 'co', 'upQAzHqjO4', 'https', 'co', 'WBz0hag8jv']","[u'great', u'blog', u'energi', u'save', u'gadget', u'4th', u'tip', u'energystarcanada', u'applianc', u'fave', u'https', 'co', u'upqazhqjo4', u'https', 'co', u'wbz0hag8jv']",Great blog on #energy saving gadgets! The 4th tip on #ENERGYSTARCanada appliances is our fave! https://t.co/upQAzHqjO4 https://t.co/WBz0hag8jv,Economical,en,5,1.0,Positive
