,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,Reactions_SUM,sentiment_score,sentiment_type
406,406,732634144509952000,2,0,2016-05-17 18:09:26,e obs. officielle de mer Pacifique en eaux canadiennes avril,"['#ange', '#requin']",['https://t.co/SkHP3v2n3O'],1e obs officielle ange de mer Pacifique en eaux canadiennes 30 avril 2016 requin https co SkHP3v2n3O,"['1e', 'obs', 'officielle', 'ange', 'de', 'mer', 'Pacifique', 'en', 'eaux', 'canadiennes', '30', 'avril', '2016', 'requin', 'https', 'co', 'SkHP3v2n3O']","['1e', u'ob', u'officiell', u'ang', 'de', u'mer', u'pacifiqu', 'en', u'eaux', u'canadienn', '30', u'avril', u'2016', u'requin', u'https', 'co', u'skhp3v2n3o']",1e obs. officielle #ange de mer Pacifique en eaux canadiennes 30 avril 2016 #requin 🌊 https://t.co/SkHP3v2n3O,Environmental,fr,2,0.0,Neutral
407,407,756594441910181888,2,0,2016-07-22 20:59:06,: Porter votre peut sauver votre vie! en tout temps sur l’eau écuritéNautique,"['#GiletdeSauvetage', '#SoyezPrudent', '#S', '#SAR']",[],RT Porter votre GiletdeSauvetage peut sauver votre vie SoyezPrudent en tout temps sur eau Nautique SAR,"['RT', 'Porter', 'votre', 'GiletdeSauvetage', 'peut', 'sauver', 'votre', 'vie', 'SoyezPrudent', 'en', 'tout', 'temps', 'sur', 'eau', 'Nautique', 'SAR']","['rt', u'porter', u'votr', u'giletdesauvetag', u'peut', u'sauver', u'votr', u'vie', u'soyezprud', 'en', u'tout', u'temp', u'sur', u'eau', u'nautiqu', u'sar']",RT @GCC_CCG: Porter votre #GiletdeSauvetage peut sauver votre vie! #SoyezPrudent en tout temps sur l’eau #SécuritéNautique #SAR,Environmental,fr,2,0.0,Neutral
408,408,899692996446343168,2,0,2017-08-21 18:01:40,: Gardez ces de recherche &amp; de sauvetage en main afin que vous puissiez réagir rapidement en cas d'incident SAR,['#s'],['https://t.co/\xe2\x80\xa6'],RT Gardez ces de recherche amp de sauvetage en main afin que vous puissiez agir rapidement en cas incident SAR https co,"['RT', 'Gardez', 'ces', 'de', 'recherche', 'amp', 'de', 'sauvetage', 'en', 'main', 'afin', 'que', 'vous', 'puissiez', 'agir', 'rapidement', 'en', 'cas', 'incident', 'SAR', 'https', 'co']","['rt', u'gardez', u'ces', 'de', u'recherch', u'amp', 'de', u'sauvetag', 'en', u'main', u'afin', u'que', u'vous', u'puissiez', u'agir', u'rapid', 'en', u'cas', u'incid', u'sar', u'https', 'co']",RT @GCC_CCG: Gardez ces #s de recherche &amp; de sauvetage en main afin que vous puissiez réagir rapidement en cas d'incident SAR https://t.co/…,Social,fr,2,0.16666666666666666,Neutral
409,409,890949598872731649,1,1,2017-07-28 14:58:32,Quoi faire quand vous voyez un requin? Voici des conseils 🦈 cU,['#SemaineRequin'],"['https://t.co/cc25yeMR', 'https://t.co/1TGtItp6h5']",RT Quoi faire quand vous voyez un requin Voici des conseils SemaineRequin https co cc25yeMRcU https co 1TGtItp6h5,"['RT', 'Quoi', 'faire', 'quand', 'vous', 'voyez', 'un', 'requin', 'Voici', 'des', 'conseils', 'SemaineRequin', 'https', 'co', 'cc25yeMRcU', 'https', 'co', '1TGtItp6h5']","['rt', u'quoi', u'fair', u'quand', u'vous', u'voyez', 'un', u'requin', u'voici', u'des', u'conseil', u'semainerequin', u'https', 'co', u'cc25yemrcu', u'https', 'co', u'1tgtitp6h5']",RT @MPO_DFO Quoi faire quand vous voyez un requin? Voici des conseils #SemaineRequin 🦈 https://t.co/cc25yeMRcU https://t.co/1TGtItp6h5,Environmental,fr,2,0.0,Neutral
410,410,708418517561950209,1,1,2016-03-11 22:25:11,Recherche d'un emploi stimulant? postes techniques à Postulez maintenant! 0 U,['#yyj'],"['https://t.co/ZJUqutOxo', 'https://t.co/0BnARxELN']",Recherche un emploi stimulant postes techniques yyj Postulez maintenant https co ZJUqutOxo0 https co 0BnARxELNU,"['Recherche', 'un', 'emploi', 'stimulant', 'postes', 'techniques', 'yyj', 'Postulez', 'maintenant', 'https', 'co', 'ZJUqutOxo0', 'https', 'co', '0BnARxELNU']","[u'recherch', 'un', u'emploi', u'stimul', u'post', u'techniqu', u'yyj', u'postulez', u'mainten', u'https', 'co', u'zjuqutoxo0', u'https', 'co', u'0bnarxelnu']",Recherche d'un emploi stimulant? 2 postes techniques @GCC_CCG à #yyj Postulez maintenant! https://t.co/ZJUqutOxo0 https://t.co/0BnARxELNU,Social,fr,2,0.0,Neutral
411,411,906248907700699137,2,0,2017-09-08 20:12:31,: Canada accueille IMPAC5 à en &amp; continuera le dialogue int’l sur la protection marine (ang seulement),['#Vancouver'],['https://t\xe2\x80\xa6'],RT Canada accueille IMPAC5 Vancouver en 2021 amp continuera le dialogue sur la protection marine ang seulement https,"['RT', 'Canada', 'accueille', 'IMPAC5', 'Vancouver', 'en', '2021', 'amp', 'continuera', 'le', 'dialogue', 'sur', 'la', 'protection', 'marine', 'ang', 'seulement', 'https']","['rt', u'canada', u'accueill', u'impac5', u'vancouv', 'en', u'2021', u'amp', u'continuera', 'le', u'dialogu', u'sur', 'la', u'protect', u'marin', u'ang', u'seulement', u'https']",RT @MPO_DFO: Canada accueille IMPAC5 à #Vancouver en 2021 &amp; continuera le dialogue int’l sur la protection marine (ang seulement) https://t…,Environmental,fr,2,0.0,Neutral
412,412,905869317299990529,2,0,2017-09-07 19:04:10,: Nouvelles mesures pour réduire les effets du bruit sous-marin des navires sur les épaulards résidents du sud,[],['https://t.c\xe2\x80\xa6'],RT Nouvelles mesures pour duire les effets du bruit sous marin des navires sur les paulards sidents du sud https,"['RT', 'Nouvelles', 'mesures', 'pour', 'duire', 'les', 'effets', 'du', 'bruit', 'sous', 'marin', 'des', 'navires', 'sur', 'les', 'paulards', 'sidents', 'du', 'sud', 'https']","['rt', u'nouvell', u'mesur', u'pour', u'duir', u'les', u'effet', 'du', u'bruit', u'sous', u'marin', u'des', u'navir', u'sur', u'les', u'paulard', u'sident', 'du', u'sud', u'https']",RT @Transports_gc: Nouvelles mesures pour réduire les effets du bruit sous-marin des navires sur les épaulards résidents du sud https://t.c…,Economical,fr,2,0.0,Neutral
413,413,741278707260772352,2,0,2016-06-10 14:39:50,: Notre navire polyvalent de grande endurance NGCC ère,"['#SirWilfridLaurier', '#GCCFi']","['https://t.co/PdKrmy0nss', 'https://t\xe2\x80\xa6']",RT Notre navire polyvalent de grande endurance NGCC SirWilfridLaurier https co PdKrmy0nss https,"['RT', 'Notre', 'navire', 'polyvalent', 'de', 'grande', 'endurance', 'NGCC', 'SirWilfridLaurier', 'https', 'co', 'PdKrmy0nss', 'https']","['rt', u'notr', u'navir', u'polyval', 'de', u'grand', u'endur', u'ngcc', u'sirwilfridlauri', u'https', 'co', u'pdkrmy0nss', u'https']",RT @GCC_CCG: Notre navire polyvalent de grande endurance NGCC #SirWilfridLaurier @MPO_Pacifique https://t.co/PdKrmy0nss #GCCFière https://t…,Social,fr,2,0.0,Neutral
414,414,905839662752817153,2,0,2017-09-07 17:06:19,: Nouvelles mesures prises pr protéger milieu marin &amp; collectivités côtières grâce au Plan de protection des océans http…,[],[],RT salledepresseGC Nouvelles mesures prises pr ger milieu marin amp res ce au Plan de protection des ans,"['RT', 'salledepresseGC', 'Nouvelles', 'mesures', 'prises', 'pr', 'ger', 'milieu', 'marin', 'amp', 'res', 'ce', 'au', 'Plan', 'de', 'protection', 'des', 'ans']","['rt', u'salledepressegc', u'nouvell', u'mesur', u'prise', 'pr', u'ger', u'milieu', u'marin', u'amp', u'res', 'ce', 'au', u'plan', 'de', u'protect', u'des', u'an']",RT @salledepresseGC: Nouvelles mesures prises pr protéger milieu marin &amp; collectivités côtières grâce au Plan de protection des océans http…,Social,fr,2,0.0,Neutral
415,415,708739426088849409,2,0,2016-03-12 19:40:21,Garde d’honneur d’agents des êches au Law Enforcement Memorial (2015) de,"['#p', '#yyj']",['https://t.co/kK9ZjmHlz4'],Garde honneur agents des au Law Enforcement Memorial 2015 de yyj https co kK9ZjmHlz4,"['Garde', 'honneur', 'agents', 'des', 'au', 'Law', 'Enforcement', 'Memorial', '2015', 'de', 'yyj', 'https', 'co', 'kK9ZjmHlz4']","[u'gard', u'honneur', u'agent', u'des', 'au', u'law', u'enforc', u'memori', u'2015', 'de', u'yyj', u'https', 'co', u'kk9zjmhlz4']",Garde d’honneur d’agents des #pêches au Law Enforcement Memorial  (2015) de #yyj https://t.co/kK9ZjmHlz4,Environmental,fr,2,0.0,Neutral
