,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
608,918823909616771072,11,7,2017-10-13 13:01:05,How much does 🇨🇦 have compared to the rest of the world? Read the new State of 🇨🇦’s Forests Annual Report,['#forest'],"['https://t.co/agXSWRQe0E', 'https://t.co/oBPPdVw0sq']"
609,918572593514414082,8,8,2017-10-12 20:22:27,Canadians Give Voice to a Vision for Canada’s Energy Future,['#GenEnergy'],['https://t.co/ijf1RbQXwO']
610,918572208544509954,3,20,2017-10-12 20:20:55,Thank you to everyone who participated in the forum! Great discussions took place.,['#GenEnergy'],['https://t.co/G0MGIttVP6']
611,918571258396270593,1,3,2017-10-12 20:17:08,Min Carr concludes the dialogue on moving Canada’s energy future forward.,['#GenEnergy'],['https://t.co/jDJ0UYnLxx']
612,918567188382015488,12,12,2017-10-12 20:00:58,trees are used to make everyday products such as low-calorie sweeteners and biodegradable plastics? Learn more U,['#DYK'],"['https://t.co/T9PGFKRh8S', 'https://t.co/4I3YkmKDj']"
613,918564092956348417,5,0,2017-10-12 19:48:40,": Join us Friday, Oct. at am ADT for the announcement on Facebook Live. d",[],"['https://t.co/rFkdKL845', 'https://t.co/JWBQOboSmp']"
614,918554105391603712,4,8,2017-10-12 19:08:59,Discussion on global energy pathways now taking place with industry and government reps!,['#GenEnergy'],['https://t.co/K5dJDsnRVL']
615,918547420283326466,1,3,2017-10-12 18:42:25,Eldar Saetre of delivers keynote address on creating a advantage for Canada 0,"['#LowCarbon', '#GenEnergy']",['https://t.co/Sn2ALs2Oj']
616,918512928713773058,4,5,2017-10-12 16:25:22,"forum participants break into group discussions focusing on governance, public confidence and social change",['#GenEnergy'],['https://t.co/sd92SuaaRP']
617,918494117977624577,0,2,2017-10-12 15:10:37,"ICYMT: Min Carr, Rainer Baake, &amp; taking questions at in Winnipeg on Oct",['#GenEnergy'],['https://t.co/bnwvJympfA']
618,918491101429891072,6,11,2017-10-12 14:58:37,Ministers from across join the discussion on driving the energy transition through pan-Canadian collaboration U,['#GenEnergy'],['https://t.co/JbAGqv6oP']
619,918487076655517703,3,4,2017-10-12 14:42:38,Andrew Petter of provides remarks about the citizen dialogue on Canada’s energy future,['#GenEnergy'],['https://t.co/Ct1OQ8j0q7']
620,918481723805102082,1,0,2017-10-12 14:21:22,Min Carr and discuss this generation’s vision for a energy future,"['#LowCarbon', '#GenEnergy']",['https://t.co/tknenT1htv']
621,918481213567983616,2,0,2017-10-12 14:19:20,": Another full day of YEF and ahead. If you aren't in , you can follow the livestreamed conversation: https…","['#GenEnergy', '#wpg']",[]
622,918479474592829441,0,2,2017-10-12 14:12:25,&amp; to announce Green Municipal Fund investments in,"['#GoC', '#AtlanticCanada']",['https://t.co/rtaXIYjAAa']
623,918477181868826625,2,2,2017-10-12 14:03:19,PS Rudd provides a summary of day of the forum,['#GenEnergy'],['https://t.co/Hx0YfOydjW']
624,918476670285295616,7,12,2017-10-12 14:01:17,The sector is an important erter for 🇨🇦 and contributes to our economy. Learn how:,['#forest'],"['https://t.co/KNnTEfwudy', 'https://t.co/FGwLFDGZ3s']"
625,918472943381942272,5,4,2017-10-12 13:46:28,Day of the forum now live! Ask questions via our app: &amp;,['#GenEnergy'],"['https://t.co/0TkiR624nV', 'https://t.co/KsKzOaD9AM']"
626,918461609529495552,5,5,2017-10-12 13:01:26,Welcome back to the forum! Get the list of today’s speakers and learn how to participate virtually: 1,['#GenEnergy'],"['https://t.co/lGeqJ2Qorm', 'https://t.co/GSnRI1fXj']"
627,918244439100985344,5,7,2017-10-11 22:38:29,That’s a wrap for day of the forum in ! Join the virtual forum tomorrow for more:,"['#GenEnergy', '#Winnipeg']",['https://t.co/arLRbtv9yw']
628,918234883884974081,4,1,2017-10-11 22:00:30,PS Rudd &amp; Industry discuss next- generation solutions for Canada’s transition to a economy,"['#LowCarbon', '#GenEnergy']",['https://t.co/IZMMafuaZm']
629,918217920265818112,1,2,2017-10-11 20:53:06,forum participants break into group discussions focusing on tech and innovation in the energy sector,['#GenEnergy'],['https://t.co/ZDUtT5uMZ6']
630,918212026081665026,42,0,2017-10-11 20:29:41,: Supporting basic science is critical to building a economy and a more prosperous Canada,"['#LowCarbon', '#GenEnergy']",['https://t.co/\xe2\x80\xa6']
631,918211856841527296,6,0,2017-10-11 20:29:00,: Some inspiration for this - an amazing STEM panel of all women leaders at,"['#DayoftheGirl', '#GenEnergy']",['https://t.co/H1SzKVItis']
632,918204648409960448,13,3,2017-10-11 20:00:22,Insects accounted for % of forest damage in 🇨🇦 in . Read about disturbances in The State of 🇨🇦’s Forests,[],"['https://t.co/jOyvKK4v3A', 'https://t.co/XnPPFgUtw5']"
633,918190457615716352,12,18,2017-10-11 19:03:58,"., Elyse Allen &amp; Annette Verschuren discuss how Canada can adapt to rapid change in the energy industry",['#GenEnergy'],['https://t.co/bN5Y3eP6Zh']
634,918182080957337600,18,23,2017-10-11 18:30:41,"Min Carr, Clément Chartier, Duane Smith &amp; discuss inclusive prosperity for a shared energy future",['#GenEnergy'],['https://t.co/zURfOdTvHL']
635,918178167461998592,19,0,2017-10-11 18:15:08,: 🇨🇦 Indigenous communities create s of jobs with renewable energy projects. …,"['#GenEnergy', '#Gene']",['https://t.co/6qxPpftdLY']
636,918178060079333376,2,0,2017-10-11 18:14:43,: Our Youth Champions powering Canada's low-carbon future at Generation Energy! https://…,"['#Youth', '#GenEnergyYouth', '#GenEnergy']",['https://\xe2\x80\xa6']
637,918176228594667520,2,0,2017-10-11 18:07:26,": ""our hopes are to represent our communities &amp; our generation's needs for a cleaner future"" - Sara Ganowski, Canada Youth…",[],[]
638,918175237400940545,6,0,2017-10-11 18:03:30,": We're in today, bringing citizens from around to talk energy futures at https:/…","['#Winnipeg', '#Canada', '#genEnergy']",[]
639,918174485429280768,2,4,2017-10-11 18:00:30,Discover women who make their mark at . How will you ?,"['#NRCan', '#ClaimYourPlace', '#DayOfTheGirl']",['https://t.co/jfjBeC9UxQ']
640,918168965200871427,5,4,2017-10-11 17:38:34,The New Normal: What disruptive technologies should 🇨🇦 adopt to build the energy innovations of the future?,[],[]
641,918163492573798401,3,0,2017-10-11 17:16:49,: Excited to announce that we are one of the finalists for the Smart Energy Communities Awards …,"['#QUEST2017', '#CoLabNetwork']",[]
642,918159384068411397,23,10,2017-10-11 17:00:30,Don’t miss out on this afternoon’s speakers at the forum! Get the full line up and participate virtually:,['#GenEnergy'],"['https://t.co/9z5UzwrcgS', 'https://t.co/u240Y5KtkW']"
643,918151183507820544,0,1,2017-10-11 16:27:55,Showcasing Canadian Clean Tech Innovation,['#GenEnergy'],['https://t.co/OQdor7b1Ri']
644,918139133960310786,2,6,2017-10-11 15:40:02,"Min Carr, State Secretary Baake, &amp; take questions from audience and virtual forum participants",['#GenEnergy'],['https://t.co/wzUQcwu5rH']
645,918138198584381440,2,0,2017-10-11 15:36:19,": Learn how to join the conversation of a generation &amp; shape Canada's energy future, online or with the app",[],['https://t.co/\xe2\x80\xa6']
646,918133585017794560,3,8,2017-10-11 15:17:59,forum welcomes State Secretary Baake of the Federal Ministry for Economic Affairs and Energy in Germany 0,['#GenEnergy'],['https://t.co/KkjRln7x7']
647,918129850895994880,0,2,2017-10-11 15:03:09,Minister Carr holds press conference following Forum,['#GenEnergy'],['https://t.co/cznuyvwnAt']
648,918129457067708416,3,2,2017-10-11 15:01:35,There are so many things you can learn from tree rings,['#NRCanSci'],"['https://t.co/Nv0p5ukOPx', 'https://t.co/GJZroGitpJ']"
649,918125431668314112,3,3,2017-10-11 14:45:35,. speaks about the blueprint for the energy transition and the post-carbon society C,['#GenEnergy'],['https://t.co/C8sp78sm6']
650,918119025204449280,5,1,2017-10-11 14:20:08,Send in your questions via our app to have the opportunity for one of our speakers to answer!,['#GenEnergy'],['https://t.co/n590il1Bmk']
651,918118764046094336,3,0,2017-10-11 14:19:05,: None of us own the truth on climate and energy,['#GenEnergy'],['https://t.co/ugDr75czch']
652,918118672232828929,2,1,2017-10-11 14:18:43,. kicks off the forum with speech on the Global Energy Outlook,['#GenEnergy'],['https://t.co/H7aQAVakIs']
653,918117451073761280,6,0,2017-10-11 14:13:52,: Hear from &amp; tech industry representatives at the virtual forum Oct -12: …,"['#science', '#GenEnergy', '#CdnS']",['https://t.co/iLTEr9YBNg']
654,918117333578801153,8,0,2017-10-11 14:13:24,": As the Forum opens in Winnipeg today, this summary from of public opinion about energy issues. https:…",['#GenEnergy'],[]
655,918116230501949440,70,0,2017-10-11 14:09:01,: Happy International ! Celebrate the courageous women and girls who inspire you to,"['#DayOfTheGirl', '#ClaimYourPlace']",[]
656,918116122687401986,0,1,2017-10-11 14:08:36,Minister Carr kicks off clean energy conversation of a generation at Forum in Winnipeg,['#GenEnergy'],['https://t.co/uXyxmviqRp']
657,918115987140030464,608,0,2017-10-11 14:08:03,: Every girl has the potential to shape our world for the better &amp; the right to reach her full potential,[],['https://t.co/sKBkkjR\xe2\x80\xa6']
