status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
9079455019_10155628170890020,"Starting Jan. 1, @TransLink is reducing overcrowding and wait times, expanding service hours, and increasing reliability on bus routes across the region. Is your bus on the list? translink.ca/servicechanges",Transit Service Changes,link,http://translink.ca/servicechanges,2018-01-02 12:11:00,30,0,1,28,1,0,0,0,1,0
9079455019_10155632805665020,"'Tis the season to sparkle here, to share warm wishes and good cheer. SFU is closed for the holiday season and we look forward to reconnecting with you on Jan. 2, 2018.

Happy Holidays!",,video,https://www.facebook.com/simonfraseruniversity/videos/10155632805665020/,2017-12-22 15:39:31,43,2,5,39,4,0,0,0,0,0
9079455019_10155632432825020,"The winter wonderland continues up at #SFU! 

PC: @nishant_jeet_arora on IG.",Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155632432825020/?type=3,2017-12-22 12:40:09,196,0,7,168,26,1,1,0,0,0
9079455019_10155630719295020,,SFU Student Central,photo,https://www.facebook.com/SFUstudentcentral/photos/a.92333603718.84925.67308358718/10155333299948719/?type=3,2017-12-21 18:51:01,36,1,0,34,2,0,0,0,0,0
9079455019_10155630467325020,Wondering what to do now that exams are over? Have some fun and check out Daily Hive Vancouver  's list of 13 free things to do in Vancouver. http://ow.ly/FZ8930hnMYQ,13 FREE things to do in Vancouver this weekend,link,http://ow.ly/FZ8930hnMYQ,2017-12-21 16:45:12,108,7,13,103,5,0,0,0,0,0
9079455019_10155629925560020,Mars once had an ocean similar to the earth's -- what happened to it? A new SFU-led study may have the answer. http://ow.ly/BHyb30hnrhu,What happened to the ocean on Mars?,video,https://www.facebook.com/simonfraseruniversity/videos/10155629925560020/,2017-12-21 12:48:34,68,2,31,63,3,2,0,0,0,0
9079455019_10155628097555020,"In case you missed the news late last week, while you were acing your exams,TransLink is looking at weekend late night service options. 

Do you like this idea?",Need a late night train on the weekend? TransLink's taking a look,link,http://www.cbc.ca/news/canada/british-columbia/translink-to-study-late-night-train-service-on-friday-saturday-1.4449695,2017-12-20 18:00:27,84,5,0,79,5,0,0,0,0,0
9079455019_10155628084945020,2017 was a newsworthy year for SFU. Check out our list of top stories. http://ow.ly/LwL830hmlGv,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155628084945020/?type=3,2017-12-20 17:52:45,13,0,3,12,1,0,0,0,0,0
9079455019_10155627810800020,Skwxwú7mesh Úxwumixw (Squamish Nation) and Simon Fraser University have signed a Memorandum of Understanding - see the story: http://ow.ly/vcDy30hm9Pb,Skwxwú7mesh Úxwumixw (Squamish Nation) and Simon Fraser University sign Memorandum of Understanding - SFU News - Simon Fraser University,link,http://ow.ly/vcDy30hm9Pb,2017-12-20 16:05:55,24,2,2,19,4,0,1,0,0,0
9079455019_10155627579665020,"We can promise you this: you'll succeed. You'll stumble. There will be small victories and big wins. You'll be pushed. You'll push right back. When you've discovered your story, you've found what you're meant to do.  yourstory.sfu.ca",,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155627575655020/?type=3,2017-12-20 14:06:54,158,1,2,140,13,0,4,0,0,1
9079455019_10155627360120020,"Morning on campus ⛰️

Photos by our VP of Research & International Dr. Joy Johnson on Twitter: @drjoyjohnson",Photos from Simon Fraser University's post,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155627358255020/?type=3,2017-12-20 12:03:03,101,5,1,95,6,0,0,0,0,0
9079455019_10155625054600020,"Congratulations to SFU's Shelley Howieson, Ruky Abdulai and John Stockdale on their pending induction into the Burnaby Sports Hall of Fame! Read more: http://at.sfu.ca/BOPzbS",SFU Clan Celebrating 50 Years: One Giant Leap,video,https://youtu.be/tGHvBJ8Ky5s,2017-12-19 14:00:00,14,0,0,13,1,0,0,0,0,0
9079455019_10155624952875020,"Festive, fun opportunity!",SFU Health & Counselling,photo,https://www.facebook.com/SFUHCS/photos/a.428344657248618.103465.423935001022917/1558049817611424/?type=3,2017-12-19 12:12:14,25,0,0,24,1,0,0,0,0,0
9079455019_10155623114225020,Monitor www.sfu.ca and @SFU on Twitter for campus and class updates during winter weather on campus.,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155623114225020/?type=3,2017-12-18 18:00:41,18,1,5,18,0,0,0,0,0,0
9079455019_10155622835310020,"Exams are done! Enjoy the holidays!

PC: @r.artstagram_ on IG.",Simon Fraser University's cover photo,photo,https://www.facebook.com/simonfraseruniversity/photos/a.10150692980760020.447589.9079455019/10155622834830020/?type=3,2017-12-18 16:13:23,388,2,14,350,29,9,0,0,0,0
9079455019_10155615344305020,"Are you writing a final exam this weekend? 

Enjoy some virtual puppy therapy with Norm (go ahead, pet your screen) and good luck on your finals!",,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155615342310020/?type=3,2017-12-15 18:17:36,28,1,2,25,3,0,0,0,0,0
9079455019_10155614718875020,Flashback Friday to December 2016 when the SFU Clan swim team had a different practice. 😁,Simon Fraser University,video,https://www.facebook.com/simonfraseruniversity/videos/10154518175785020/,2017-12-15 15:30:00,115,1,2,91,6,2,16,0,0,0
9079455019_10155614627055020,Still looking for a course next semester?,SFU Faculty of Arts and Social Sciences,link,http://www.sfu.ca/fass/undergraduate/studentlife/FASSination/Courses-Spring2018.html,2017-12-15 13:58:47,11,0,0,10,1,0,0,0,0,0
9079455019_10155611949615020,"SFU Ceremonies & Events staffers Jordan and Paul are dressed for success and ready for the holidays. 

Are you? Share your own favourite festive fashion pic in the comments.",,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155611946440020/?type=3,2017-12-15 12:00:00,214,12,3,187,8,0,18,0,1,0
9079455019_10155612072570020,SFU's India Strategy has garnered recognition from Surrey's Drishti Magazine while a trio of alumni are celebrated for their achievements!,SFU's India Strategy Garners Recognition,video,https://www.facebook.com/simonfraseruniversity/videos/10155612072570020/,2017-12-14 17:27:54,29,1,5,27,2,0,0,0,0,0
9079455019_10155611576200020,"In the case of a volcanic eruption, who should be alerted? Who should be evacuated? Where and when might lava start flowing? 

Earth Sciences students participated in a simulation recently that taught them crisis management skills:

SFU Earth Science Student Union",Volcanic simulation teaches Earth Sciences students crisis management skills - SFU News - Simon Fraser University,link,http://www.sfu.ca/sfunews/stories/2017/12/volcanic-simulation-teaches-students-crisis-managment.html,2017-12-14 13:39:43,12,0,1,10,2,0,0,0,0,0
