comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10156113907992975_10156116489812975,401846167974_10156113907992975,10156113907992975_10156114026767975,Colin M Nutt awesome.  The titanic was unsinkable.,2017-12-23 09:16:00,0,0,0,0,0,0,0,0
10156113907992975_10156115177662975,401846167974_10156113907992975,,Bonjour,2017-12-22 20:45:53,0,0,0,0,0,0,0,0
10156113907992975_10156115376257975,401846167974_10156113907992975,,Maybe they should invest in electric buses instead... natural gas is still a fossil fuel that requires extraction transportation and burning further exasperating climate change,2017-12-22 22:15:32,0,0,0,0,0,0,0,0
10156113359497975_10156113585962975,401846167974_10156113359497975,,Merry Christmas to you,2017-12-22 10:15:15,0,0,0,0,0,0,0,0
10156113359497975_10156113725112975,401846167974_10156113359497975,,Oleg Gushchin 😂,2017-12-22 11:18:28,1,1,0,0,0,0,0,0
10156113359497975_10156114093032975,401846167974_10156113359497975,10156113359497975_10156113725112975,Good one 😂,2017-12-22 13:08:57,0,0,0,0,0,0,0,0
10156113359497975_10156113757602975,401846167974_10156113359497975,,Groaner but made me smile ! Thanks Transport and Infrastructure in Canada,2017-12-22 11:25:18,0,0,0,0,0,0,0,0
10156113359497975_10156113767862975,401846167974_10156113359497975,,I motion to put this on the cover of the next edition of the AIM !!!🤣✈,2017-12-22 11:28:00,0,0,0,0,0,0,0,0
10156113359497975_10156113956907975,401846167974_10156113359497975,,🤦🏻‍♂️,2017-12-22 12:19:04,0,0,0,0,0,0,0,0
10156113359497975_10156114093267975,401846167974_10156113359497975,,Alyssa Holt,2017-12-22 13:09:05,1,1,0,0,0,0,0,0
10156113359497975_10156114214617975,401846167974_10156113359497975,,Kloe Saigwan Syroy,2017-12-22 13:58:19,0,0,0,0,0,0,0,0
10156113359497975_10156114436667975,401846167974_10156113359497975,,Chanel Cole Jax Cole,2017-12-22 15:37:01,2,2,0,0,0,0,0,0
10156113359497975_10156115161187975,401846167974_10156113359497975,10156113359497975_10156114436667975,Hahaha 🙈,2017-12-22 20:37:22,0,0,0,0,0,0,0,0
10156113359497975_10156115105222975,401846167974_10156113359497975,,Bonjour,2017-12-22 20:03:32,0,0,0,0,0,0,0,0
10156113359497975_10156115251072975,401846167974_10156113359497975,,Good one!,2017-12-22 21:32:22,0,0,0,0,0,0,0,0
10156113359497975_10156121043342975,401846167974_10156113359497975,,"I hate to be the one to tell you, but ... don't quit your day job.",2017-12-24 20:21:28,0,0,0,0,0,0,0,0
10156111964217975_10156112168732975,401846167974_10156111964217975,,Brad Massey,2017-12-21 19:32:19,0,0,0,0,0,0,0,0
10156111964217975_10156112186612975,401846167974_10156111964217975,,Thomas Archer Shelby Jean Leah Lamey not sure what years you guys have,2017-12-21 19:38:34,0,0,0,0,0,0,0,0
10156111964217975_10156112207092975,401846167974_10156111964217975,10156111964217975_10156112186612975,2016 lol I’m good,2017-12-21 19:45:01,1,1,0,0,0,0,0,0
10156111964217975_10156113616152975,401846167974_10156111964217975,10156111964217975_10156112186612975,I think this happened to my 14,2017-12-22 10:34:05,0,0,0,0,0,0,0,0
10156111964217975_10156113783257975,401846167974_10156111964217975,10156111964217975_10156112186612975,im sure that’s what happened 😂,2017-12-22 11:31:41,0,0,0,0,0,0,0,0
10156111964217975_10156112242207975,401846167974_10156111964217975,,Don Prosser,2017-12-21 19:56:46,1,1,0,0,0,0,0,0
10156111964217975_10156112242632975,401846167974_10156111964217975,,Ryan L'Huillier,2017-12-21 19:56:52,0,0,0,0,0,0,0,0
10156111964217975_10156112247872975,401846167974_10156111964217975,,What year is yours Joyce Green ?,2017-12-21 19:58:28,0,0,0,0,0,0,0,0
10156111964217975_10156112262107975,401846167974_10156111964217975,10156111964217975_10156112247872975,I don’t know might be 2016 I hope,2017-12-21 20:04:45,0,0,0,0,0,0,0,0
10156111964217975_10156112256672975,401846167974_10156111964217975,,"Sarah, Tony... we should have a look into this",2017-12-21 20:01:42,0,0,0,0,0,0,0,0
10156111964217975_10156112262007975,401846167974_10156111964217975,10156111964217975_10156112256672975,Ah yeah I think so,2017-12-21 20:04:39,0,0,0,0,0,0,0,0
10156111964217975_10156112448387975,401846167974_10156111964217975,10156111964217975_10156112256672975,Yup,2017-12-21 21:53:21,0,0,0,0,0,0,0,0
10156111964217975_10156112256837975,401846167974_10156111964217975,,Tristan Barr yours 2017 or 2016?,2017-12-21 20:01:50,1,1,0,0,0,0,0,0
10156111964217975_10156112663797975,401846167974_10156111964217975,10156111964217975_10156112256837975,2017 😳,2017-12-22 00:03:28,0,0,0,0,0,0,0,0
10156111964217975_10156112262877975,401846167974_10156111964217975,,More information please,2017-12-21 20:05:28,0,0,0,0,0,0,0,0
10156111964217975_10156113343652975,401846167974_10156111964217975,10156111964217975_10156112262877975,Call bombardier,2017-12-22 07:51:01,0,0,0,0,0,0,0,0
10156111964217975_10156112274692975,401846167974_10156111964217975,,Allan Lumsden,2017-12-21 20:12:55,1,0,0,0,0,1,0,0
10156111964217975_10156112298792975,401846167974_10156111964217975,10156111964217975_10156112274692975,"Ugh....thanks Mike. Wade, you guys workin' these recalls at the shop?",2017-12-21 20:27:35,0,0,0,0,0,0,0,0
10156111964217975_10156112300557975,401846167974_10156111964217975,10156111964217975_10156112274692975,"PHEW!!! Not me!!!  

2017 Can-Am® Outlander and Outlander Max ATVs equipped with a Dynamic Power Steering (DPS) and 450 or 570 engines
December 19, 2017

As you may have heard, a safety campaign on some 2017 Can-Am Outlander ATVs was released in Canada and other countries meant to address an issue with Dynamic Power Steering (DPS). The DPS shaft may break causing loss of steering control. In some circumstances, this situation may cause injury or even death.",2017-12-21 20:28:40,1,1,0,0,0,0,0,0
10156111964217975_10156112288057975,401846167974_10156111964217975,,So my 2016 isn't affected? It would be nice to have more information on this.,2017-12-21 20:21:09,0,0,0,0,0,0,0,0
10156111964217975_10156112290627975,401846167974_10156111964217975,,Looks like it's only 2017 450/570 DPS models and the phone number to check your vin is at this link https://can-am.brp.com/off-road/owners/safety/safety-recalls.html,2017-12-21 20:22:48,3,3,0,0,0,0,0,0
10156111964217975_10156112307992975,401846167974_10156111964217975,,"Hope bombardier crashes and burns and liberals get some blame. Never should have been given tax payers money. 

Praying you fail. Criminals.

#classactionlawsuit",2017-12-21 20:33:01,1,1,0,0,0,0,0,0
10156111964217975_10156112367827975,401846167974_10156111964217975,10156111964217975_10156112307992975,BRP and bombardier are two different companies. Your comment has nothing to do with the recall.,2017-12-21 21:09:03,0,0,0,0,0,0,0,0
10156111964217975_10156112373622975,401846167974_10156111964217975,10156111964217975_10156112307992975,"Corvin Colbourne 🧐bombardier is a different company than bombardier recreational products? 
Surrrrrre.",2017-12-21 21:12:36,0,0,0,0,0,0,0,0
10156111964217975_10156113348027975,401846167974_10156111964217975,10156111964217975_10156112307992975,Brp was sold from bombardier. This title is misleading.,2017-12-22 07:54:29,0,0,0,0,0,0,0,0
10156111964217975_10156112310582975,401846167974_10156111964217975,,Brian Brazil,2017-12-21 20:34:23,0,0,0,0,0,0,0,0
10156111964217975_10156112313682975,401846167974_10156111964217975,,You get anything in the mail? Jeff Humphries,2017-12-21 20:36:14,0,0,0,0,0,0,0,0
10156111964217975_10156112329547975,401846167974_10156111964217975,10156111964217975_10156112313682975,Nope I haven’t heard anything yet,2017-12-21 20:46:04,0,0,0,0,0,0,0,0
10156111964217975_10156112366847975,401846167974_10156111964217975,10156111964217975_10156112313682975,hopefully it happens to jeff while we are all there,2017-12-21 21:08:23,2,1,0,0,1,0,0,0
10156111964217975_10156112371417975,401846167974_10156111964217975,,Marcus Devine Jered Scott Keigan Atwood Colin Belliveau,2017-12-21 21:11:23,0,0,0,0,0,0,0,0
10156111964217975_10156112388582975,401846167974_10156111964217975,,Marcel Plouffe Dave Bissonnette,2017-12-21 21:21:12,0,0,0,0,0,0,0,0
10156111964217975_10156112398902975,401846167974_10156111964217975,,Rebecca is yours 2017 or 2016,2017-12-21 21:29:01,0,0,0,0,0,0,0,0
10156111964217975_10156112415412975,401846167974_10156111964217975,,Keegan Lilly what year is Andrew's?,2017-12-21 21:36:55,0,0,0,0,0,0,0,0
10156111964217975_10156112441587975,401846167974_10156111964217975,,Justin Boucher Andrew Charette,2017-12-21 21:48:06,0,0,0,0,0,0,0,0
10156111964217975_10156112445627975,401846167974_10156111964217975,10156111964217975_10156112441587975,2017 that's me !,2017-12-21 21:51:10,0,0,0,0,0,0,0,0
10156111964217975_10156112502647975,401846167974_10156111964217975,10156111964217975_10156112441587975,its only for the 450 and the 570,2017-12-21 22:19:56,0,0,0,0,0,0,0,0
10156111964217975_10156112456357975,401846167974_10156111964217975,,Skyler Cosens,2017-12-21 21:58:56,0,0,0,0,0,0,0,0
10156111964217975_10156113259232975,401846167974_10156111964217975,10156111964217975_10156112456357975,Casey Clancy doesn’t include my bike. My bike is a 16. For some reason it’s only the 17 450 and 570’s,2017-12-22 06:40:51,0,0,0,0,0,0,0,0
10156111964217975_10156112503802975,401846167974_10156111964217975,,Sean Côté,2017-12-21 22:20:42,0,0,0,0,0,0,0,0
10156111964217975_10156112512192975,401846167974_10156111964217975,,All good for mine,2017-12-21 22:25:18,0,0,0,0,0,0,0,0
10156111964217975_10156112537952975,401846167974_10156111964217975,,Eric Vallée,2017-12-21 22:40:35,0,0,0,0,0,0,0,0
10156111964217975_10156112591057975,401846167974_10156111964217975,,Alex Calver Thomas Mills Matt Benham,2017-12-21 23:12:01,1,1,0,0,0,0,0,0
10156111964217975_10156112777772975,401846167974_10156111964217975,,Brett Evans,2017-12-22 01:35:42,0,0,0,0,0,0,0,0
10156111964217975_10156112840812975,401846167974_10156111964217975,,Sandiandsam Cluett tell pop,2017-12-22 02:00:21,0,0,0,0,0,0,0,0
10156111964217975_10156113172347975,401846167974_10156111964217975,,Steven Scammell yours 16 er 17?,2017-12-22 05:14:49,0,0,0,0,0,0,0,0
10156111964217975_10156113295212975,401846167974_10156111964217975,10156111964217975_10156113172347975,16 but still has the same system,2017-12-22 07:12:51,0,0,0,0,0,0,0,0
10156111964217975_10156113241252975,401846167974_10156111964217975,,Andrew Blanchard,2017-12-22 06:27:00,0,0,0,0,0,0,0,0
10156111964217975_10156113241747975,401846167974_10156111964217975,,Travis Parker,2017-12-22 06:27:31,0,0,0,0,0,0,0,0
10156111964217975_10156113274317975,401846167974_10156111964217975,,Hopefully no one got hurt looks lol me mine is going to have to go in!,2017-12-22 06:54:57,0,0,0,0,0,0,0,0
10156111964217975_10156113277567975,401846167974_10156111964217975,,.,2017-12-22 06:58:02,0,0,0,0,0,0,0,0
10156111964217975_10156113285952975,401846167974_10156111964217975,,Betsy Shecapio,2017-12-22 07:05:08,0,0,0,0,0,0,0,0
