,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls
48,1954692677890760_1969468969746464,134615279898518_1954692677890760,,2017-12-24 20:53:52,0,0,0,0,0,0,0,0,Silhla !!!!,[],[]
49,1965986990094662_1969505686409459,134615279898518_1965986990094662,,2017-12-24 21:30:36,0,0,0,0,0,0,0,0,Baptiste Puleo le souvenir d'aujourd'hui ? Mémorable à vie,[],[]
50,1965986990094662_1969793016380726,134615279898518_1965986990094662,,2017-12-25 04:13:57,0,0,0,0,0,0,0,0,Prochain cadeau un casque hein ma fille ?? Grrrr,[],[]
51,1965872510106110_1966939519999409,134615279898518_1965872510106110,,2017-12-22 14:05:02,1,1,0,0,0,0,0,0,Autrefois les enfants dans les réserves avaient qu une orange à Noël ça donne à réfléchir de nos jours,[],[]
52,1965872510106110_1966977193328975,134615279898518_1965872510106110,,2017-12-22 14:59:01,0,0,0,0,0,0,0,0,Camille Masson,[],[]
53,1965872510106110_1967215363305158,134615279898518_1965872510106110,,2017-12-22 20:50:34,1,1,0,0,0,0,0,0,Roxanne,[],[]
54,1965872510106110_1967227389970622,134615279898518_1965872510106110,1965872510106110_1967215363305158,2017-12-22 21:04:51,0,0,0,0,0,0,0,0,Cool!,[],[]
55,1965701726789855_1965833606776667,134615279898518_1965701726789855,,2017-12-21 12:49:30,0,0,0,0,0,0,0,0,C'est fait,[],[]
56,1965701726789855_1965837096776318,134615279898518_1965701726789855,,2017-12-21 12:53:30,2,0,0,0,0,2,0,0,"Je suis atteinte de la maladie de lyme chronic et plusieurs co infections. Diagnostiqué et traité aux États-Unis après ans d'errance médicale au Canada. J'évite maintenant les parcs, herbes haute etc.",[],[]
57,1965701726789855_1967492533277441,134615279898518_1965701726789855,1965701726789855_1965837096776318,2017-12-23 04:28:44,0,0,0,0,0,0,0,0,Mais es ce que tu sais où tu la contracté.... si je me trompe pas la lavande es un répulsif pour les tiques,[],[]
58,1965701726789855_1967593689933992,134615279898518_1965701726789855,1965701726789855_1965837096776318,2017-12-23 06:58:51,1,1,0,0,0,0,0,0,Non jamais vu la tique. Jamais eu de rash. Cest le cas de % des gens. JAMAIS FAIRE CA. JAMAIS LA BRULE NON PLUS. La tique va vomir a l'interieur de toi et t'empoisonnée encore plus.,[],[]
59,1965701726789855_1966219326738095,134615279898518_1965701726789855,,2017-12-21 21:49:15,0,0,0,0,0,0,0,0,Maxime Richard,[],[]
60,1965701726789855_1966605596699468,134615279898518_1965701726789855,,2017-12-22 07:52:01,1,1,0,0,0,0,0,0,Pascal Varin,[],[]
61,1965701726789855_1967085663318128,134615279898518_1965701726789855,,2017-12-22 17:24:48,0,0,0,0,0,0,0,0,Ñìckö Lãwless pratique pour dans ton coin,[],[]
62,1965701726789855_1967086143318080,134615279898518_1965701726789855,1965701726789855_1967085663318128,2017-12-22 17:25:38,0,0,0,0,0,0,0,0,Ohhhh je viens de voir le prix hahah laisse faire,[],[]
63,1965701726789855_1967211693305525,134615279898518_1965701726789855,,2017-12-22 20:46:14,0,0,0,0,0,0,0,0,Simon Lacroix,[],[]
64,1965701726789855_1967755876584440,134615279898518_1965701726789855,,2017-12-23 09:58:11,0,0,0,0,0,0,0,0,Guy Gervais,[],[]
65,1965701726789855_1967824816577546,134615279898518_1965701726789855,,2017-12-23 11:07:09,0,0,0,0,0,0,0,0,Béranger Duthion Edouard Albert Ludwig Barbeau Régis Éteint,[],[]
66,1965701726789855_1967962886563739,134615279898518_1965701726789855,,2017-12-23 14:00:17,0,0,0,0,0,0,0,0,Hyunseo Jerome Yang,[],[]
67,1965701726789855_1967968793229815,134615279898518_1965701726789855,,2017-12-23 14:08:07,0,0,0,0,0,0,0,0,Ahmad Akil,[],[]
68,1965701726789855_1968301546529873,134615279898518_1965701726789855,,2017-12-23 21:28:37,1,1,0,0,0,0,0,0,"Fait , première étape de notre voyage dans l'ouest Canadien et Américain été .",[],[]
69,1965701726789855_1968761153150579,134615279898518_1965701726789855,,2017-12-24 08:21:44,0,0,0,0,0,0,0,0,Mathieu Dionnee,[],[]
70,1965701726789855_1969703286389699,134615279898518_1965701726789855,,2017-12-25 01:58:59,1,1,0,0,0,0,0,0,Merry Christmas parc Canada,[],[]
71,1965701726789855_1969931223033572,134615279898518_1965701726789855,,2017-12-25 07:29:25,2,1,0,0,1,0,0,0,J’ai eu la carte en mais elle n’est pas acceptée dans les parcs Québec....,[],[]
72,1965701726789855_1972182839475077,134615279898518_1965701726789855,1965701726789855_1969931223033572,2017-12-27 09:23:26,1,1,0,0,0,0,0,0,"Bonjour Eric! Cette année, la Carte Découverte a été accepté dans tous les sites gérés par Parcs Canada. Le Québec a des parcs provinciaux non gérés par Parcs Canada qui n'ont pas été inclus, mais aussi des parcs nationaux qui ont été inclus.",[],[]
73,1965701726789855_1972792206080807,134615279898518_1965701726789855,1965701726789855_1969931223033572,2017-12-27 22:58:25,1,1,0,0,0,0,0,0,"les parcs nationaux et les parcs provinciaux sont pas gérer de la même facon et par la même autorité. si tu avais la carte de parcs canada, ce n'était pas la carte du réseau parcs quebec. si j'ai une carte cadeau valide dans tous les canadian tire, c'est normal qu'ils ne l'acceptent pas chez walmart.",[],[]
74,1965701726789855_1970068413019853,134615279898518_1965701726789855,,2017-12-25 10:04:44,1,1,0,0,0,0,0,0,"Eric, chaqu' un avec son parc))",[],[]
75,1965701726789855_1970262369667124,134615279898518_1965701726789855,,2017-12-25 13:36:47,1,1,0,0,0,0,0,0,Dalia Leal Orlando Ramirez,[],[]
76,1965701726789855_1970266543000040,134615279898518_1965701726789855,,2017-12-25 13:43:32,0,0,0,0,0,0,0,0,Quentin Roehn,[],[]
77,1965701726789855_1970272032999491,134615279898518_1965701726789855,,2017-12-25 13:52:46,0,0,0,0,0,0,0,0,Yan Ruscica %,[],[]
78,1965701726789855_1970729989620362,134615279898518_1965701726789855,,2017-12-26 01:28:23,0,0,0,0,0,0,0,0,Ouff cest pas donner :/,[],[]
79,1965701726789855_1971003026259725,134615279898518_1965701726789855,,2017-12-26 08:17:25,0,0,0,0,0,0,0,0,Jonathan Piccinali,[],[]
80,1965701726789855_1971048266255201,134615279898518_1965701726789855,,2017-12-26 09:13:06,0,0,0,0,0,0,0,0,Robert Bouchard,[],[]
81,1965701726789855_1971251276234900,134615279898518_1965701726789855,,2017-12-26 12:33:36,3,3,0,0,0,0,0,0,"Tant que je NE pourrai PAS emmener mon chien dans les sentiers (parc de la Mauricie), votre OFFRE EST REFUSÉE, REFUSÉE!",[],[]
82,1965701726789855_1971251739568187,134615279898518_1965701726789855,1965701726789855_1971251276234900,2017-12-26 12:34:21,0,0,0,0,0,0,0,0,,[],['https://www.facebook.com/groups/1451234228512143/']
83,1965701726789855_1971624866197541,134615279898518_1965701726789855,,2017-12-26 19:58:08,0,0,0,0,0,0,0,0,Stephen Barr,[],[]
84,1965701726789855_1972350932791601,134615279898518_1965701726789855,,2017-12-27 12:19:32,0,0,0,0,0,0,0,0,C'est plate elle était gratuite l'année passée... pour ma part je ne payerais pas ce prix,[],[]
85,1965701726789855_1972793729413988,134615279898518_1965701726789855,1965701726789855_1972350932791601,2017-12-27 23:00:58,0,0,0,0,0,0,0,0,très peu de parcs nationaux au québec. c'est mieux avec une carte des parcs provinciaux. mais plus cher. alors on oublie,[],[]
86,1965701726789855_1972424376117590,134615279898518_1965701726789855,,2017-12-27 13:47:48,0,0,0,0,0,0,0,0,Jus Jcq intéressant.,[],[]
87,1965701726789855_1972591886100839,134615279898518_1965701726789855,,2017-12-27 17:36:07,1,1,0,0,0,0,0,0,La nature appartient pas à tout le monde juste aux riches. Vive le Canada!,[],[]
88,1965701726789855_1972793832747311,134615279898518_1965701726789855,1965701726789855_1972591886100839,2017-12-27 23:01:14,1,0,0,0,0,0,1,0,"yep,. et les parcs provinciaux encore plus cher $$",[],[]
89,1965701726789855_1972800186080009,134615279898518_1965701726789855,1965701726789855_1972591886100839,2017-12-27 23:08:32,0,0,0,0,0,0,0,0,🤢,[],[]
90,1965701726789855_1972697839423577,134615279898518_1965701726789855,,2017-12-27 20:19:48,0,0,0,0,0,0,0,0,Alain Roberge Joannie Roberge,[],[]
