,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls
22,566325673547435_803789463134387,Options de règlement de votre plainte lié aux transports accessible avec l'Office,video,http://ow.ly/UUB5301KU8A,2017-12-07 14:00:50,0,0,0,0,0,0,0,0,0,0,"Nous offrons trois options de règlement des plaintes, qui vont de méthodes informelles à une option formelle. Voici une brève elication de chacune des trois options pour régler votre plainte:",[],['http://ow.ly/UUB5301KU8A']
23,566325673547435_803265276520139,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/803265276520139/?type=3,2017-12-06 12:00:49,0,0,0,0,0,0,0,0,0,0,"L'histoire de l'Office des transports du Canada a commencé il y a ans. Sa première incarnation – la Commission des chemins de fer – a été créée par une journée enneigée de février , à Ottawa. Tandis que le Canada évoluait, nos responsabilités et services évoluaient parallèlement. Comment en savoir davantage? Lisez Au cœur des transports : L’histoire en mouvement. >",[],['http://ow.ly/35ct30dbqMv']
24,566325673547435_802779813235352,"Transports accessibles pour tous, module 2 : Services disponibles aux voyageurs ayant une déficience",video,http://ow.ly/qF7W307vdvE,2017-12-05 14:00:25,0,0,0,0,0,0,0,0,0,0,"Les transporteurs devont fournir certain services aux passagers ayant une déficience quand un préavis est reçu au moins heures avant le départ. Découvrez quels types de services votre entreprise devrait fournir, visitez:",[],['http://ow.ly/qF7W307vdvE']
25,566325673547435_802191493294184,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/802191493294184/?type=3,2017-12-04 12:01:26,0,0,0,0,0,0,0,0,0,0,"Voulez vous savoir comment nous déterminons l’« adaptabilité » d’un navire étranger pour effectuer une activité maritime proposée? Trois étapes : . Nous considérons les caractéristiques techniques et opérationnelles du navire. . Nous examinons les incidences commerciales et économiques de l’utilisation du navire étranger par opposition à l’utilisation du navire canadien offert. . Nous avons besoin de vos arguments démontrant en quoi un navire étranger est « adapté » sur le plan commercial. Pour de plus amples renseignements, consultez la section de nos lignes directrices :",[],['http://ow.ly/bTAa30aDEoT']
26,566325673547435_801696930010307,Accessibilité des sites Web - Outil d'information pour les sites Web liées au transport | Office des transports du Canada,link,http://ow.ly/b9sF30drcor,2017-12-03 16:00:17,0,0,0,0,0,0,0,0,0,0,Vous créez un site Web lié au ? Consultez notre outil d'information ici >,"['#accessible', '#transport']",['http://ow.ly/b9sF30drcor']
27,566325673547435_801638123349521,Rapport de conformité : Accessibilité des sites Web | Office des transports du Canada,link,http://ow.ly/VYQH30dr9ff,2017-12-03 13:00:10,0,0,0,0,0,0,0,0,0,0,Nous vérifions les sites Web des fournisseurs de services de transport pour nous assurer qu'ils sont accessibles >,[],['http://ow.ly/VYQH30dr9ff']
28,566325673547435_801584323354901,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/801584323354901/?type=3,2017-12-03 10:00:15,0,0,0,0,0,0,0,0,0,0,"Notre Comité consultatif sur l'accessibilité, nos partenaires > ée internationale des personnes handicapées",['#Journ'],['http://ow.ly/MZZa30g5QWQ']
29,566325673547435_800687303444603,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/800687303444603/?type=3,2017-12-01 10:01:19,0,0,0,0,0,0,0,0,0,0,> Comprenez vos droits et responsabilités Le tarif constitue le contrat de transport entre vous et votre transporteur aérien – il couvre vos droits et obligations à titre de passager et les droits du transporteur et ses responsabilités envers vous. Vous les trouverez affichés aux bureaux des transporteurs aériens et sur leurs sites Web si ces derniers sont utilisés pour vendre des services de transport aérien. Prenez l'air averti > Dix conseils clés >,['#Astucesvoyage'],['http://ow.ly/4nk1SM']
30,566325673547435_800230990156901,"Transports accessibles pour tous, module 4 : Aider un passager aveugle ou ayant une vision partielle",video,http://ow.ly/D575307ve5G,2017-11-30 10:00:49,0,0,0,0,0,0,0,0,0,0,"Pour guider ou aider un voyageur qui est aveugle ou malvoyant, il ya plusieurs étapes que vous pouvez prendre pour faciliter la communication. Apprendre encore plus; Regarder notre quatrième vidéo de formation:",[],['http://ow.ly/D575307ve5G']
31,566325673547435_799838050196195,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/799838050196195/?type=3,2017-11-29 12:01:25,0,0,0,0,0,0,0,0,0,0,"L'an dernier, les agents verbalisateurs ont imposé des amendes totalisant plus de $ aux transporteurs aériens ayant commis diverses infractions aux règlements. Pour en savoir davantage sur nos activités d'application de la loi, consultez",[],['http://ow.ly/grWK30fiQtY']
