,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls
45,1203325126385126_1648118258572475,What to do if you have issues with your airline,video,https://www.facebook.com/CanadianTransportationAgency/videos/1648118258572475/,2017-11-14 12:00:00,1,1,0,0,0,0,1,0,0,0,What to do if you have issues with your airline?,[],['http://ow.ly/sqN7304E9qb']
46,1203325126385126_1664825886901712,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1664825886901712/?type=3,2017-11-13 12:00:56,0,0,0,0,0,0,0,0,0,0,"Wondering what steps are typically involved in a coasting trade pleadings process? This process is made up of at least one application, and it may also include an offer, an answer, a reply, a submission by an interested person, and a reply to that submission. More details regarding our pleadings process are available in Part of our Guidelines at 8",[],['http://ow.ly/k3Xp30aF1t']
47,1203325126385126_1662802563770711,,status,,2017-11-11 11:10:15,0,0,0,0,0,0,0,0,0,0,The CTA joins other Canadians in commemorating our fallen soldiers and their sacrifice > 9,['#CanadaRemembers'],['http://ow.ly/kBmN30gpQb']
48,1203325126385126_1661671213883846,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1661671213883846/?type=3,2017-11-10 10:01:36,0,1,0,0,0,0,0,0,0,0,"> Have Insurance When You Travel Include protection against baggage loss, delay, damage or theft, trip cancellation or interruption, personal injury or death, as well as sufficient medical coverage. > Top Tips >","['#TravelTips', '#FlySmart']",['http://ow.ly/uy2l3061cit']
49,1203325126385126_1660847367299564,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1660847367299564/?type=3,2017-11-09 13:00:23,1,3,1,0,1,0,0,0,0,0,"Transparent communications are an important part of the coasting trade pleadings process. For this process to run smoothly, all parties must copy each other on all actions taken every step of the way, and this must also be done within the set time limits. More details regarding our pleadings process are available in Part of our Guidelines at 8",[],['http://ow.ly/k3Xp30aF1t']
50,1203325126385126_1659981010719533,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1659981010719533/?type=3,2017-11-08 16:00:21,2,1,0,1,0,0,0,0,1,0,"You can hang up your gloves. We have other ways to resolve disputes. As a tribunal, we can resolve disputes by making decisions like a court. But we have other dispute resolution tools at our disposal including facilitation and mediation. For many disputes, we can bring people together through an informal resolution process to resolve an issue easily and to the satisfaction of the parties. To find out more, visit",[],['http://ow.ly/pdi130dcwFz']
51,1203325126385126_1659066094144358,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1659066094144358/?type=3,2017-11-07 19:00:11,0,0,0,0,0,0,0,0,0,0,Railways played a dramatic role in the creation of Canada > It's National Railway Day!,['#NRD2017'],['http://ow.ly/Nby830gpONo']
52,1203325126385126_1658922590825375,Arbitration: Rail arbitration | Canadian Transportation Agency,link,http://ow.ly/NBxF30dr4vE,2017-11-07 15:01:00,0,0,0,0,0,0,0,0,0,0,Learn more about the Agency's rail services >,"['#arbitration', '#WestCdnAg', '#CdnAg']",['http://ow.ly/NBxF30dr4vE']
53,1203325126385126_1648120098572291,Sometimes flights don't go as planned,video,https://www.facebook.com/CanadianTransportationAgency/videos/1648120098572291/,2017-11-07 12:00:00,1,0,0,0,0,0,0,0,1,0,"Check-ins, delays, cancellations, bumped from your flight? What you need to know here > 0",['#TravelTuesday'],['http://ow.ly/obLA3061bK']
54,1203325126385126_1654946171223017,What to do when your travel arrangements don't go as planned,video,https://www.facebook.com/CanadianTransportationAgency/videos/1654946171223017/,2017-11-07 12:00:00,2,3,0,1,0,0,0,0,1,0,What to do if your travel does not go according to plan,[],[]
