Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,language,average_sentiment_score,sentiment,account_name,lemmatized_text,matched_keywords,category,category
20,740556160168775681,2016-06-08 14:48:42,['https://t.co/GZ6pZeQ5Yi'],RT @MPO_DFO: #JournéeMondialeOcéans @ministre_ec https://t.co/GZ6pZeQ5Yi,RT ans https co GZ6pZeQ5Yi,['#Journ'],15,0,15,en,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', '#journéemondialeocéans', 'ministre_ec', 'httpstcogz6pzeq5yi']",['#journéemondialeocéans'],Environmental,Environmental
21,874318413388230656,2017-06-12 17:32:08,['https://t.co/uZjqtDR\xe2\x80\xa6'],"RT @PMcanadien: À l’occasion de la #SNFP, le PM Trudeau reconnaît le travail exceptionnel des fonctionnaires fédéraux. https://t.co/uZjqtDR…",RT PMcanadien occasion de la SNFP le PM Trudeau le travail exceptionnel des fonctionnaires raux https co,['#SNFP'],15,0,15,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['pmcanadien', ""l'occasion"", '#snfp', 'trudeau', 'reconnaît', 'travail', 'exceptionnel', 'fonctionnaire', 'fédéraux', 'httpstcouzjqtdr…']",['fonctionnaire'],Social,Social
22,735200668315725824,2016-05-24 20:07:53,"['https://t.co/hUWKlkVJF5', 'https://t.co/SQMgrBXhtV']",RT @MPO_DFO: Les emplois sont affichés! Répandez la nouvelle! https://t.co/hUWKlkVJF5 #PlusScience https://t.co/SQMgrBXhtV,RT Les emplois sont pandez la nouvelle https co hUWKlkVJF5 PlusScience https co SQMgrBXhtV,['#PlusScience'],13,0,13,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', 'les', 'emploi', 'affichés', 'répandez', 'nouveau', 'httpstcohuwklkvjf5', '#plusscience', 'httpstcosqmgrbxhtv']",['emploi'],Economical,Economical
23,712380841427607553,2016-03-22 20:50:02,[],RT @FinancesCanada: Il y a d?'excellentes raisons d?'envisager l'?avenir du Canada avec confiance. #Budget2016,RT FinancesCanada Il excellentes raisons envisager avenir du Canada avec confiance Budget2016,['#Budget2016'],13,0,13,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['ficescanada', ""d\x92'excellentes"", 'raison', ""d\x92'envisager"", ""l'\x92avenir"", 'canada', 'confiance', '#budget2016']",[],unknown,unknown
24,744969575377289216,2016-06-20 19:06:02,[],RT @salledepresseGC: Le gouvernement lance un examen des processus environnementaux/réglementaires pour rétablir la confiance du public htt…,RT salledepresseGC Le gouvernement lance un examen des processus environnementaux glementaires pour tablir la confiance du public,[],13,0,13,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['salledepressegc', 'gouvernement', 'lance', 'examen', 'processus', 'environnementauxréglementaires', 'rétablir', 'confiance', 'public', 'htt…']",[],unknown,unknown
25,685188438283399168,2016-01-07 19:57:08,['https://t.co/o11GVQmNC3'],RT @FinancesCanada: Que devrait contenir le budget fédéral? Nous le demandons aux Canadiens! #CPB16 https://t.co/o11GVQmNC3,RT FinancesCanada Que devrait contenir le budget ral Nous le demandons aux Canadiens CPB16 https co o11GVQmNC3,['#CPB16'],12,0,12,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['ficescanada', 'devrait', 'contenir', 'budget', 'fédéral', 'demandons', 'canadien', '#cpb16', 'httpstcoo11gvqmnc3']","['budget', 'fédéral']",Social,Social
26,836622419708243968,2017-02-28 17:01:43,['https://t.co/CbThx\xe2\x80\xa6'],RT @MPO_DFO: La conservation marine et l’application de la loi vous intéressent? Postulez pour devenir agent des pêches! https://t.co/CbThx…,RT La conservation marine et application de la loi vous ressent Postulez pour devenir agent des https co,[],12,0,12,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', 'conservation', 'marine', ""l'application"", 'loi', 'intéressent', 'postulez', 'devenir', 'agent', 'pêche', 'httpstcocbthx…']","['conservation', 'marine']",Environmental,Environmental
27,905839038225162241,2017-09-07 17:03:51,['https://t.co/\xe2\x80\xa6'],RT @MPO_DFO: À ne pas manquer! Venez nous voir sur FB direct du @museedelanature avec @canada_c3 ce soir 18h #ParlonsBaleines https://t.co/…,RT ne pas manquer Venez nous voir sur FB direct du museedelanature avec ce soir 18h ParlonsBaleines https co,['#ParlonsBaleines'],12,0,12,fr,0.1,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', 'manquer', 'venez', 'voir', 'direct', 'museedelanature', 'canada_c3', 'soir', '18h', '#parlonsbaleines', 'httpstco…']",[],unknown,unknown
28,725700190917779456,2016-04-28 14:56:23,[],"RT @PMcanadien: Pour le Jour de deuil national, rendons hommage aux personnes mortes, blessées ou qui sont devenues malades en milieu de tr…",RT PMcanadien Pour le Jour de deuil national rendons hommage aux personnes mortes es ou qui sont devenues malades en milieu de,[],12,0,12,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['pmcanadien', 'jour', 'deuil', 'national', 'rendons', 'hommage', 'personne', 'mort', 'blessé', 'devenues', 'malade', 'milieu', 'tr…']",[],unknown,unknown
29,806250729258287105,2016-12-06 21:35:27,[],RT @MPO_Science: #LSV Décembre est le Mois de la science dans l'Arctique. Célébrons ensemble la recherche dans le Nord du Canada avec le #S…,RT LSV cembre est le Mois de la science dans Arctique brons ensemble la recherche dans le Nord du Canada avec le,"['#LSV', '#S']",12,0,12,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_science', '#lsv', 'décembre', 'mois', 'science', ""l'arctique"", 'célébrons', 'ensemble', 'recherche', 'nord', 'canada', '#s…']",['nord'],Social,Social
