,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type,text_original
22,22,22,22,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1479762352,1.78665e+16,2016-11-21_13-03-43,,"['#ChangementClimatique', '#Jeunes', '#Jeunesse', '#ActionClimat', '#Climat', '#Environnement', '#Canada', '#JeunesCanadiens']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#ChangementClimatique #Jeunes #Jeunesse #ActionClimat #Climat #Environnement #Canada #JeunesCanadiens
23,23,23,23,"{""username"":""summerbelliveau"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26152093_543101172717738_4020178170324975616_n.jpg"",""id"":""857715574""}",1479916218,1.78558e+16,2016-11-23_07-40-27,What makes Canada so special according to pollution why does our country make such a big impact on the other countries?,[],[],makes Canada special according pollution country make big impact countries,"['makes', 'Canada', 'special', 'according', 'pollution', 'country', 'make', 'big', 'impact', 'countries']","[u'make', u'canada', u'special', u'accord', u'pollut', u'countri', u'make', u'big', u'impact', u'countri']",makes Canada special according pollution country make big impact countries,0.17857142857142858,0.17857142857142858,Neutral,Neutral,What makes Canada so special according to pollution why does our country make such a big impact on the other countries?
24,24,24,24,"{""username"":""thegreatjoceline"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14134621_1589686114668080_820281783_a.jpg"",""id"":""3684009738""}",1480737609,1.7845e+16,2016-11-30_06-26-45,Cutr,[],[],Cutr,['Cutr'],[u'cutr'],But,0.0,0.0,Neutral,Neutral,Cutr
25,25,25,25,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480516035,1.78671e+16,2016-11-30_06-26-45,,"['#Mercredi', '#Hibou', '#Hiboux', '#Oiseaux', '#Oiseau', '#Faune', '#Ornithologie']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Mercredi #Hibou #Hiboux #Oiseaux #Oiseau #Faune #Ornithologie
26,26,26,26,"{""username"":""myrvezy"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13744275_1744066059212634_320013516_a.jpg"",""id"":""3483840575""}",1480718108,1.7845e+16,2016-12-02_08-26-00,This is awesome,[],[],awesome,['awesome'],[u'awesom'],awesome,1.0,1.0,Positive,Positive,This is awesome
27,27,27,27,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480696073,1.78563e+16,2016-12-02_08-26-00,,"['#ScienceArctique', '#EnvironnementCan', '#EnvironnementCanada', '#Toundra', '#Arctique', '#Science', '#Biologie', '#Faune']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#ScienceArctique #EnvironnementCan #EnvironnementCanada #Toundra #Arctique #Science #Biologie #Faune
28,28,28,28,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480976443,1.78666e+16,2016-12-05_14-19-17,éanPacifique,"['#Cop13', '#EnvironnementCan', '#EnvironnementCanada', '#Oc', '#OiseauxMarins', '#Ornithologie', '#Canada150']",[],anPacifique,['anPacifique'],[u'anpacifiqu'],anPacifique,0.0,0.0,Neutral,Neutral,#Cop13 #EnvironnementCan #EnvironnementCanada #OcéanPacifique #OiseauxMarins #Ornithologie #Canada150
29,29,29,29,"{""username"":""ihabmokayed"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26181279_174151140007048_6370159604956921856_n.jpg"",""id"":""293328761""}",1481905339,1.7857e+16,2016-12-15_09-42-20,"ah thank you, why not follow both, depuis je parle les deux langues!",[],[],ah thank follow depuis je parle les deux langues,"['ah', 'thank', 'follow', 'depuis', 'je', 'parle', 'les', 'deux', 'langues']","['ah', u'thank', u'follow', u'depui', 'je', u'parl', u'les', u'deux', u'langu']",ah thank follow depuis je pale les deux ranges,0.0,-0.21,Neutral,Neutral,"@environnementcan ah thank you, why not follow both, depuis je parle les deux langues! 👊🏽"
30,30,30,30,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1481905011,1.78688e+16,2016-12-15_09-42-20,yes it is! FYI if you prefer you can follow our English account,[],[],yes FYI prefer follow English account,"['yes', 'FYI', 'prefer', 'follow', 'English', 'account']","[u'yes', u'fyi', u'prefer', u'follow', u'english', u'account']",yes FYI prefer follow English account,0.0,0.0,Neutral,Neutral,@ihabmokayed yes it is! FYI if you prefer you can follow our English account @canenvironment 🙃
31,31,31,31,"{""username"":""ihabmokayed"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26181279_174151140007048_6370159604956921856_n.jpg"",""id"":""293328761""}",1481833315,1.78723e+16,2016-12-15_09-42-20,That's quite cool!,[],[],quite cool,"['quite', 'cool']","[u'quit', u'cool']",quite cool,0.35,0.35,Positive,Positive,That's quite cool!
32,32,32,32,"{""username"":""arcticrangeadvt"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/11850420_141054042908966_1422400190_a.jpg"",""id"":""2203840401""}",1482675352,1.78592e+16,2016-12-22_07-24-10,Wow! We like this pic!!,[],[],Wow like pic,"['Wow', 'like', 'pic']","[u'wow', u'like', u'pic']",Now like pick,0.1,0.0,Neutral,Neutral,Wow! We like this pic!!
33,33,33,33,"{""username"":""scienceborealis"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/14449287_314447988931019_8130849381726289920_a.jpg"",""id"":""4007154200""}",1483042573,1.78462e+16,2016-12-29_05-44-19,Posting some great photos of your northern research.,[],[],Posting great photos northern research,"['Posting', 'great', 'photos', 'northern', 'research']","[u'post', u'great', u'photo', u'northern', u'research']",Costing great photo northern research,0.8,0.8,Positive,Positive,Posting some great photos of your northern research.
34,34,34,34,"{""username"":""fvennessacecce"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20902565_1915169038734867_682059609971621888_a.jpg"",""id"":""1556658735""}",1483716073,1.78689e+16,2017-01-06_06-48-35,Bien hâte de le voir revenir,[],[],Bien te de le voir revenir,"['Bien', 'te', 'de', 'le', 'voir', 'revenir']","[u'bien', 'te', 'de', 'le', u'voir', u'revenir']",Mien te de le voir revenue,0.0,0.0,Neutral,Neutral,Bien hâte de le voir revenir
35,35,35,35,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1483714208,1.78484e+16,2017-01-06_06-48-35,,"['#EnvironnementCan', '#EnvironnementCanada']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#EnvironnementCan #EnvironnementCanada
36,36,36,36,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1484320616,1.7847e+16,2017-01-12_12-28-09,beaucoup de chemin en effet!!,[],[],beaucoup chemin effet,"['beaucoup', 'chemin', 'effet']","[u'beaucoup', u'chemin', u'effet']",beaucoup chin effect,0.0,0.0,Neutral,Neutral,@thegreatjoceline beaucoup de chemin en effet!!
