,Unnamed: 0,Unnamed: 0.1,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
20,20,20,"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}",1477411404,1.7854e+16,2016-10-25_08-00-33,Wow!! That's amazing! check this out!,[],[],Wow amazing check,"['Wow', 'amazing', 'check']","[u'wow', u'amaz', u'check']",Now amazing check,0.35000000000000003,0.6000000000000001,Positive,Positive
21,21,21,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477407679,1.78667e+16,2016-10-25_08-00-33,",","['#BecauseOfHer', '#BirdYear', '#BirdBanding', '#Nature', '#BirdsOfInstagram', '#BirdLovers', '#Birdstagram', '#WomensHistoryMonth', '#FemaleEmpowerment', '#Empowerment', '#Equality', '#GirlPower', '#TBT', '#Throwback', '#PhotoOfTheDay', '#Arctic', '#Wildlife', '#NoFilter', '#BlackAndWhite']",[],,[],[],,0.0,0.0,Neutral,Neutral
22,22,22,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477492111,1.7866e+16,2016-10-26_07-27-29,,"['#WildlifeWednesday', '#Wildlife', '#Nature', '#ExploreBC', '#BC', '#Canada', '#FraserRiver', '#Heron', '#Birdstagram', '#BirdNerd', '#BirdsLover', '#PhotoOfTheDay']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
23,23,23,"{""username"":""pierre.gravelle"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18298816_301209626958984_1774565493252816896_a.jpg"",""id"":""2118093691""}",1477610242,1.78538e+16,2016-10-27_07-49-44,,['#ecccbreadandbutter'],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
24,24,24,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477579812,1.78436e+16,2016-10-27_07-49-44,,"['#Throwback', '#WinterWeather', '#Weather', '#WinterIsComing', '#PhotoOfTheDay', '#NoFilterNeeded', '#NoFilter', '#WeatherStation', '#ExploreBC', '#BC', '#Vancouver', '#Whistler', '#CanadianWinter']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
25,25,25,"{""username"":""pierre.gravelle"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18298816_301209626958984_1774565493252816896_a.jpg"",""id"":""2118093691""}",1477695234,1.78438e+16,2016-10-28_07-53-53,,['#ecccbreadandbutter'],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
26,26,26,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477687219,1.78437e+16,2016-10-28_07-53-53,Thanks ! Come back everyday for more amazing photos,[],[],Thanks Come back everyday amazing photos,"['Thanks', 'Come', 'back', 'everyday', 'amazing', 'photos']","[u'thank', u'come', u'back', u'everyday', u'amaz', u'photo']",Thanks Some back everyday amazing photo,0.15000000000000002,0.15000000000000002,Neutral,Neutral
27,27,27,"{""username"":""krago_official"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12292703_197781987228498_1139119416_a.jpg"",""id"":""2317851561""}",1477681696,1.78547e+16,2016-10-28_07-53-53,Gorgeous,[],[],Gorgeous,['Gorgeous'],[u'gorgeous'],Gorgeous,0.7,0.7,Positive,Positive
28,28,28,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477666502,1.78547e+16,2016-10-28_07-53-53,,"['#Vancouver', '#VancouverIsland', '#ExploreBC', '#Lighthouse', '#LightStation', '#Helicopter', '#WestCoast', '#PhotoOfTheDay', '#PacificOcean', '#Pacific', '#CanadianCoastGuard', '#CanEnvironment']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
29,29,29,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477921638,1.78642e+16,2016-10-31_06-46-48,,"['#Halloween', '#Spooky', '#Owl', '#Owls', '#InstaOwls', '#InstaBirds', '#OwlsOfInstagram', '#PhotoOfTheDay', '#Reconyx', '#Wildlife', '#Canada', '#CanEnvironment', '#Enviroween']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
