Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,language,average_sentiment_score,sentiment,account_name,words_matched_list,matched_keywords,category,FSDS_matched_keywords,FSDS_category
24,871806844515352577,2017-06-05 19:12:03,[],RT @CommerceCanada: Le gouvernement invite les Canadiens à donner leurs points de vue sur l’Accord de libre-échange nord-américain🇨🇦🇲🇽🇺🇸 ht…,RT CommerceCanada Le gouvernement invite les Canadiens donner leurs points de vue sur Accord de libre change nord,[],12,0,12,fr,0.0,Neutral,AAC_Canada_tweeter,"['change', 'nord']",[],['other'],[],unknown
25,811669920169787394,2016-12-21 20:29:23,['https://t.co/esfn3Qth\xe2\x80\xa6'],RT @salledepresseGC: Aujourd'hui le Canada a déposé les documents requis pour réadhérer à la @UNCCD #CANclimateaction https://t.co/esfn3Qth…,RT salledepresseGC Aujourd hui le Canada les documents requis pour rer la UNCCD CANclimateaction https co,['#CANclimateaction'],12,0,12,fr,0.0,Neutral,AAC_Canada_tweeter,"['climate', 'climat']",[],['other'],[],unknown
26,773587715732475904,2016-09-07 18:24:18,['https://t.co/anEwuBwzjQ'],#GC investit 35.3 M$ pour augmenter la capacité scientifique du Centre de R-D de Swift Current https://t.co/anEwuBwzjQ,GC investit 35 pour augmenter la scientifique du Centre de de Swift Current https co anEwuBwzjQ,['#GC'],4,7,11,fr,0.0,Neutral,AAC_Canada_tweeter,['invest'],[],['other'],['scientifique'],Clean growth
27,854385522919309313,2017-04-18 17:25:57,"['https://t.co/dulLnHroUi', 'https://t.co/1rweDABciK']",Le Canada exporte plus de 30 millions de kg de produits de l’érable chaque année. Plus d’info : https://t.co/dulLnHroUi #DécouvrirAg #AgCan https://t.co/1rweDABciK,Le Canada exporte plus de 30 millions de kg de produits de rable chaque Plus info https co dulLnHroUi couvrirAg AgCan https co 1rweDABciK,"['#D', '#AgCan']",6,5,11,fr,0.0,Neutral,AAC_Canada_tweeter,"['export', 'produits']",[],['other'],"['produit', 'produit', '#agcan', '#agcan']",Sustainable food
28,907978890605465603,2017-09-13 14:46:51,[],RT @CommerceCanada: Exportateurs de produits de la mer : renseignez-vous sur l’administration des quotas d’origine établis dans l’#AECG htt…,RT CommerceCanada Exportateurs de produits de la mer renseignez vous sur administration des quotas origine tablis dans AECG,['#AECG'],11,0,11,fr,0.0,Neutral,AAC_Canada_tweeter,"['commerce', 'export', 'produits']",[],['other'],"['produit', 'produit']",Clean growth
29,907978844170276870,2017-09-13 14:46:40,[],RT @CommerceCanada: Conseils aux entreprises 🇨🇦de produits de la mer sur façon de tirer parti des nouv. occasions dans l’UE avec #AECG http…,RT CommerceCanada Conseils aux entreprises de produits de la mer sur de tirer parti des nouv occasions dans UE avec AECG,['#AECG'],11,0,11,fr,0.0,Neutral,AAC_Canada_tweeter,"['commerce', 'produits']",[],['other'],"['entreprise', 'entreprise', 'entreprise', 'produit', 'produit', '#aecg']",Clean growth
30,870318136058421248,2017-06-01 16:36:28,[],RT @environnementca: 5 juin : le Canada sera l’hôte de la #JournéeMondialeDelEnvironnement. Comment vous rapprocherez-vous de la #nature? h…,RT environnementca juin le Canada sera te de la eMondialeDelEnvironnement Comment vous rapprocherez vous de la nature,"['#Journ', '#nature']",10,0,10,fr,0.0,Neutral,AAC_Canada_tweeter,"['environnement', 'nature']",[],['other'],['#nature'],Connecting Canadians with nature
31,872497957765087233,2017-06-07 16:58:18,"['https://t.co/jLchEN7Zzp', 'https://t.co/lpaiTxCUUB']",RT @environnementca: 2/2 Consultez la cote air santé : https://t.co/jLchEN7Zzp #SemaineEnviro https://t.co/lpaiTxCUUB,RT environnementca Consultez la cote air https co jLchEN7Zzp SemaineEnviro https co lpaiTxCUUB,['#SemaineEnviro'],10,0,10,fr,0.0,Neutral,AAC_Canada_tweeter,"['environnement', 'air']",[],['other'],"['air', 'air', 'santé', 'santé']",Healthy wildlife populations
32,892843376227229696,2017-08-02 20:23:43,['https://t.co/HvdZ2fFLb'],1/2 Le SP Poissant explique q'une #PolitiqueAlimentaireCanada porte sur divers thèmes. https://t.co/HvdZ2fFLbc,Le SP Poissant explique une PolitiqueAlimentaireCanada porte sur divers mes https co HvdZ2fFLbc,['#PolitiqueAlimentaireCanada'],5,5,10,fr,0.0,Neutral,AAC_Canada_tweeter,"['or', 'air']",[],['other'],['#politiquealimentairecanada'],Sustainable food
33,940321441156861953,2017-12-11 20:44:36,[],RT @environnementca: Notre plan pour lutter contre le changement climatique et faire croître l’économie est bien amorcé. Jetez-y un coup d’…,RT environnementca Notre plan pour lutter contre le changement climatique et faire tre conomie est bien Jetez un coup,[],9,0,9,fr,0.0,Neutral,AAC_Canada_tweeter,"['climat', 'environnement', 'changement climatique', 'climatique', 'air']",[],['other'],"['changement_climatique', 'changement_climatique', 'changement_climatique', 'changement_climatique', 'changement_climatique', 'croître']",Clean growth
